id,prior_position,prior_time,prior:smax_gaussian,prior:receptor_smax_gaussian,integrand:TotalIntegrand,integrand:FlowIntegrand
1AVX_p0_r0,"[-18.338394165039062, -29.48447608947754, -32.84990310668945]",1.0,-14.22971248626709,-31.675304412841797,-19.322996,-0.0021319794
1AVX_p0_r1,"[10.105918884277344, -11.44491195678711, 78.28015899658203]",1.0,-16.494239807128906,-19.282272338867188,-8.681891,-0.0006307455
1AVX_p0_r2,"[-31.17302703857422, -17.280317306518555, -44.1986083984375]",1.0,-14.751455307006836,-32.203765869140625,-11.788787,-0.0018291852
1AVX_p0_r3,"[11.474254608154297, 30.0572452545166, -46.501285552978516]",1.0,-14.736778259277344,-32.64085006713867,-18.959038,7.146789e-05
1AVX_p0_r4,"[-8.513360023498535, 7.1530046463012695, -16.114696502685547]",1.0,-13.173367500305176,-26.811344146728516,-16.020535,-0.002223486
1AVX_p0_r5,"[8.960057258605957, -12.35685920715332, -7.091439723968506]",1.0,-13.117776870727539,-27.81348991394043,-12.484259,-0.0003067922
1AVX_p0_r6,"[-37.975101470947266, 37.69169998168945, -17.743839263916016]",1.0,-14.725750923156738,-24.81881332397461,-5.2360444,-0.0022009304
1AVX_p0_r7,"[-7.105597496032715, 10.093259811401367, 31.468276977539062]",1.0,-13.595194816589355,-20.50670051574707,-8.297909,-0.0016880732
1AVX_p0_r8,"[11.986865997314453, 19.110782623291016, 4.8217668533325195]",1.0,-13.256051063537598,-24.659025192260742,-9.275496,0.0013674287
1AVX_p0_r9,"[20.352128982543945, -37.79052734375, 8.652524948120117]",1.0,-14.025518417358398,-28.772987365722656,-25.146528,-0.0030610955
1AVX_p0_r10,"[29.937633514404297, -17.24932861328125, -12.50161361694336]",1.0,-13.710458755493164,-30.867156982421875,-13.444916,0.00097355194
1AVX_p0_r11,"[2.1147022247314453, -36.70637130737305, -32.0768928527832]",1.0,-14.283050537109375,-33.42557907104492,-13.974101,-0.001225169
1AVX_p0_r12,"[4.455653190612793, -45.56462860107422, 15.50922966003418]",1.0,-14.258477210998535,-27.42435073852539,-14.060452,-0.0025559396
1AVX_p0_r13,"[-6.791884422302246, 4.266928195953369, -26.41478157043457]",1.0,-13.383784294128418,-28.745967864990234,-7.0034285,-0.00149269
1AVX_p0_r14,"[-8.490514755249023, 15.42304801940918, -28.32134246826172]",1.0,-13.578218460083008,-28.442214965820312,-14.753485,0.0013508031
1AVX_p1_r0,"[-43.08173751831055, -27.5401554107666, 31.200489044189453]",1.0,-14.953722953796387,-14.137200355529785,2.2215862,8.534122
1AVX_p1_r1,"[14.030472755432129, -22.970748901367188, 26.25093650817871]",1.0,-13.745753288269043,-13.245221138000488,7.557287,7.351345
1AVX_p1_r2,"[-13.431108474731445, 41.73755645751953, -3.7678117752075195]",1.0,-14.03630542755127,-15.867010116577148,0.8290277,4.8465023
1AVX_p1_r3,"[5.3750457763671875, -19.572551727294922, -2.230271100997925]",1.0,-13.192047119140625,-13.125218391418457,2.7628045,4.665357
1AVX_p1_r4,"[28.943435668945312, 20.935340881347656, 26.42929458618164]",1.0,-14.05736255645752,-14.956521987915039,5.1838555,6.7171683
1AVX_p1_r5,"[28.011760711669922, -7.486937522888184, -41.246795654296875]",1.0,-14.372636795043945,-15.200591087341309,1.9385321,8.323067
1AVX_p1_r6,"[9.933697700500488, 26.708885192871094, -0.6774225234985352]",1.0,-13.411798477172852,-14.781731605529785,0.35653532,3.8642766
1AVX_p1_r7,"[-11.716535568237305, -49.35997009277344, -32.70795440673828]",1.0,-14.98457145690918,-14.321667671203613,-2.296183,0.8674741
1AVX_p1_r8,"[2.650949478149414, 43.827964782714844, 9.704032897949219]",1.0,-14.083789825439453,-15.848699569702148,1.8649923,4.59622
1AVX_p1_r9,"[30.443614959716797, -12.558351516723633, 33.11663818359375]",1.0,-14.17220687866211,-13.94658088684082,2.0825708,6.2837377
1AVX_p1_r10,"[5.833763122558594, -34.574546813964844, 4.523256301879883]",1.0,-13.654792785644531,-13.038263320922852,2.3372307,9.083923
1AVX_p1_r11,"[27.76207733154297, 17.17565155029297, -7.429962158203125]",1.0,-13.583152770996094,-14.772204399108887,-0.84463674,3.7659605
1AVX_p1_r12,"[-49.26765823364258, 25.27922821044922, 58.977455139160156]",1.0,-16.596342086791992,-17.082265853881836,3.6587272,4.8814955
1AVX_p1_r13,"[-67.41343688964844, 31.87236976623535, 6.856122016906738]",1.0,-16.075645446777344,-17.362382888793945,3.9528823,2.9791806
1AVX_p1_r14,"[8.460226058959961, 21.927040100097656, 7.583162307739258]",1.0,-13.299227714538574,-14.416818618774414,0.9047928,6.997943
1AVX_p2_r0,"[36.37818908691406, 12.565256118774414, 30.303773880004883]",1.0,-14.293506622314453,-14.184429168701172,3.4243748,5.732548
1AVX_p2_r1,"[-26.411800384521484, -15.555947303771973, 50.68345642089844]",1.0,-14.909509658813477,-16.898666381835938,-5.7085505,1.0829201
1AVX_p2_r2,"[19.61859893798828, -3.612588405609131, 35.61793899536133]",1.0,-13.886284828186035,-14.58915901184082,-5.9480205,2.563519
1AVX_p2_r3,"[0.07806825637817383, -26.066322326660156, -48.69611358642578]",1.0,-14.655281066894531,-15.472352027893066,-10.712597,0.24229129
1AVX_p2_r4,"[-29.55374526977539, -50.94225311279297, 13.785346984863281]",1.0,-14.992948532104492,-17.686532974243164,-7.415493,3.1376956
1AVX_p2_r5,"[-30.597253799438477, 35.7018928527832, 62.90293502807617]",1.0,-16.386850357055664,-17.076993942260742,1.3415443,2.9376316
1AVX_p2_r6,"[-24.78701400756836, -57.272216796875, 13.856584548950195]",1.0,-15.230690002441406,-18.028902053833008,-6.68408,1.6294951
1AVX_p2_r7,"[-37.48556137084961, 19.996295928955078, -19.200695037841797]",1.0,-14.168011665344238,-14.583393096923828,-6.373539,1.4706577
1AVX_p2_r8,"[-19.222970962524414, -8.89491081237793, -20.396692276000977]",1.0,-13.440778732299805,-14.377263069152832,0.74213845,2.4332304
1AVX_p2_r9,"[-9.720410346984863, -5.433011531829834, -13.238530158996582]",1.0,-13.126665115356445,-13.874859809875488,-4.028398,4.3801136
1AVX_p2_r10,"[12.239875793457031, -16.885414123535156, 24.563440322875977]",1.0,-13.537238121032715,-14.638450622558594,-2.884222,2.2641256
1AVX_p2_r11,"[-58.58132553100586, -14.00634765625, -64.84092712402344]",1.0,-17.311683654785156,-18.605390548706055,-3.188015,2.879198
1AVX_p2_r12,"[3.0077996253967285, 37.99516296386719, 14.196205139160156]",1.0,-13.879414558410645,-13.427607536315918,1.7574902,7.9173923
1AVX_p2_r13,"[-52.05559539794922, 5.55499267578125, 3.1369643211364746]",1.0,-14.488454818725586,-15.804208755493164,1.4701924,8.308343
1AVX_p2_r14,"[-0.21080398559570312, 3.451125144958496, 22.679656982421875]",1.0,-13.252809524536133,-13.952122688293457,-3.1679847,2.9550006
1AVX_p3_r0,"[-35.15924835205078, -22.271991729736328, 6.639923095703125]",1.0,-13.947242736816406,-13.602213859558105,4.1329813,8.691256
1AVX_p3_r1,"[-40.73267364501953, 40.263893127441406, -48.754669189453125]",1.0,-16.10338020324707,-18.37051010131836,2.4620965,6.559696
1AVX_p3_r2,"[-55.69813919067383, -7.847228527069092, 37.89869689941406]",1.0,-15.516059875488281,-15.193768501281738,2.919047,5.031232
1AVX_p3_r3,"[17.770084381103516, -13.568525314331055, -11.561142921447754]",1.0,-13.31237506866455,-13.575196266174316,1.448491,2.7852287
1AVX_p3_r4,"[-33.03788757324219, 17.83037757873535, 16.272228240966797]",1.0,-13.890524864196777,-14.68105411529541,2.4205852,5.4729013
1AVX_p3_r5,"[45.71931457519531, 38.205963134765625, -57.65361785888672]",1.0,-16.77923583984375,-19.277908325195312,2.9467206,1.771378
1AVX_p3_r6,"[4.694963455200195, -34.02527618408203, -24.490440368652344]",1.0,-13.949043273925781,-13.70464038848877,5.6088886,8.112825
1AVX_p3_r7,"[28.323400497436523, -16.567529678344727, -18.409637451171875]",1.0,-13.746859550476074,-14.022806167602539,2.8612761,9.877221
1AVX_p3_r8,"[-24.87531089782715, -44.22704315185547, 13.612674713134766]",1.0,-14.493806838989258,-13.402162551879883,6.420971,12.400927
1AVX_p3_r9,"[-63.70765686035156, -17.74523162841797, -44.80486297607422]",1.0,-16.50542640686035,-16.868362426757812,-0.2221708,2.8116
1AVX_p3_r10,"[-0.24014854431152344, 4.960917949676514, -17.5341796875]",1.0,-13.144916534423828,-14.018769264221191,2.6555269,1.3417742
1AVX_p3_r11,"[-0.4942622184753418, -5.362231254577637, -14.813166618347168]",1.0,-13.098423957824707,-13.617033958435059,3.3714445,6.2685614
1AVX_p3_r12,"[-0.1840829849243164, -13.000041007995605, 11.75483512878418]",1.0,-13.131080627441406,-13.087845802307129,2.9824617,7.311764
