index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-2.6373186,6.5641675
1,0.025641026,0.020715402,-0.012488917,-0.089582525,-2.6373186,6.5641675
2,0.051282052,0.012320739,0.09102247,0.042382665,-2.6373186,6.5641675
3,0.07692308,0.023466898,-0.03731302,0.010497216,-2.6373186,6.5641675
4,0.102564104,0.10045377,-0.004829157,0.09033206,-2.6373186,6.5641675
5,0.12820514,0.18140444,0.07159573,0.120230205,-2.6373186,6.5641675
6,0.15384616,0.19137926,0.10363996,-0.15984717,-2.6373186,6.5641675
7,0.17948718,0.17289178,0.09438896,-0.12320544,-2.6373186,6.5641675
8,0.20512821,0.34745872,0.20093265,-0.28856763,-2.6373186,6.5641675
9,0.23076923,0.4427577,0.84289277,-0.22613627,-2.6373186,6.5641675
10,0.25641027,0.71743554,0.6143348,0.0027103722,-2.6373186,6.5641675
11,0.2820513,0.95248276,0.5161909,-0.07161952,-2.6373186,6.5641675
12,0.30769232,1.0546458,0.72768545,0.3390024,-2.6373186,6.5641675
13,0.33333334,0.1476028,0.5047511,0.2997967,-2.6373186,6.5641675
14,0.35897437,0.06549729,0.7715577,0.27828705,-2.6373186,6.5641675
15,0.3846154,-0.19443229,1.3587471,0.26680252,-2.6373186,6.5641675
16,0.41025642,-0.30825776,2.225305,0.8136654,-2.6373186,6.5641675
17,0.43589744,-0.96896064,2.800572,1.0303898,-2.6373186,6.5641675
18,0.46153846,-2.0482259,1.7381877,0.30126643,-2.6373186,6.5641675
19,0.4871795,-1.6940173,1.2930237,-0.61269355,-2.6373186,6.5641675
20,0.5128205,-1.6566782,1.9888053,-0.15896252,-2.6373186,6.5641675
21,0.5384615,-0.86504185,1.0820861,-0.78455496,-2.6373186,6.5641675
22,0.56410253,-0.36911055,0.5088653,-2.218577,-2.6373186,6.5641675
23,0.5897436,0.14918455,1.6412299,0.7164943,-2.6373186,6.5641675
24,0.61538464,-1.4720416,1.6055046,0.47362638,-2.6373186,6.5641675
25,0.64102566,-0.21014655,2.7220683,-0.22966492,-2.6373186,6.5641675
26,0.6666667,-3.8180003,0.3565309,-0.758189,-2.6373186,6.5641675
27,0.6923077,-4.2493124,0.74145114,0.20331562,-2.6373186,6.5641675
28,0.71794873,-6.8588285,1.5445545,-1.0299718,-2.6373186,6.5641675
29,0.74358976,-10.362285,-2.0671546,-5.4893036,-2.6373186,6.5641675
30,0.7692308,-9.894181,-0.85467184,-0.96503925,-2.6373186,6.5641675
31,0.7948718,-5.822564,-2.0810966,-5.3359675,-2.6373186,6.5641675
32,0.82051283,-0.60138845,7.0572376,-10.289898,-2.6373186,6.5641675
33,0.84615386,1.441242,10.516146,-0.1826582,-2.6373186,6.5641675
34,0.8717949,13.081196,10.938905,-12.008802,-2.6373186,6.5641675
35,0.8974359,8.501494,7.797037,-9.8140335,-2.6373186,6.5641675
36,0.9230769,0.8992219,8.3486185,-6.493868,-2.6373186,6.5641675
37,0.94871795,-3.3263535,12.1116,-3.9519856,-2.6373186,6.5641675
38,0.974359,-3.2017722,8.233603,6.6428156,-2.6373186,6.5641675
39,1.0,-14.663439,-22.646294,25.237946,-2.6373186,6.5641675
