index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,4.2304163,2.3645055
1,0.025641026,-0.016383277,-0.15041743,-0.024187537,4.2304163,2.3645055
2,0.051282052,-0.03903284,-0.12980267,-0.13144477,4.2304163,2.3645055
3,0.07692308,-0.0064023137,-0.23330843,-0.027653158,4.2304163,2.3645055
4,0.102564104,-0.12132595,-0.21796255,0.05497533,4.2304163,2.3645055
5,0.12820514,-0.15635444,-0.24111722,-0.03340038,4.2304163,2.3645055
6,0.15384616,-0.21887384,-0.28728744,0.14372319,4.2304163,2.3645055
7,0.17948718,-0.2922397,-0.11593604,0.2128625,4.2304163,2.3645055
8,0.20512821,-0.38804168,-0.16177145,0.2388359,4.2304163,2.3645055
9,0.23076923,-0.5375274,-0.10819048,0.056774676,4.2304163,2.3645055
10,0.25641027,-0.66585267,-0.46663263,0.008087661,4.2304163,2.3645055
11,0.2820513,-0.38819572,-0.6488858,-0.24079676,4.2304163,2.3645055
12,0.30769232,-0.39685428,-0.83486414,0.04094629,4.2304163,2.3645055
13,0.33333334,-0.030374408,-0.5157443,-0.43231,4.2304163,2.3645055
14,0.35897437,-0.23551883,-0.49964264,0.0011201203,4.2304163,2.3645055
15,0.3846154,0.16900535,-0.76648235,-0.385213,4.2304163,2.3645055
16,0.41025642,-0.50966775,-1.2214779,-0.26612666,4.2304163,2.3645055
17,0.43589744,0.09246361,-1.4948113,-1.2963555,4.2304163,2.3645055
18,0.46153846,-0.5899081,-1.5561054,-2.2106957,4.2304163,2.3645055
19,0.4871795,-0.20768803,-1.3295354,-3.549008,4.2304163,2.3645055
20,0.5128205,-1.2351887,-1.4896412,-4.828517,4.2304163,2.3645055
21,0.5384615,-2.2883933,-1.5308092,-5.6039467,4.2304163,2.3645055
22,0.56410253,-3.5467057,-0.9062514,-4.0401745,4.2304163,2.3645055
23,0.5897436,-1.6606085,-1.153332,-5.200193,4.2304163,2.3645055
24,0.61538464,-3.7839108,-1.0207628,-7.9179506,4.2304163,2.3645055
25,0.64102566,-0.06420565,0.65610194,-9.78631,4.2304163,2.3645055
26,0.6666667,-2.1683874,-1.8416088,-12.557952,4.2304163,2.3645055
27,0.6923077,1.1412418,-1.2728257,-11.998161,4.2304163,2.3645055
28,0.71794873,-3.6843793,1.77875,-12.751778,4.2304163,2.3645055
29,0.74358976,-6.7129335,3.9148784,-6.186825,4.2304163,2.3645055
30,0.7692308,-6.151635,0.6686952,-12.444731,4.2304163,2.3645055
31,0.7948718,-9.944434,5.659974,-12.733871,4.2304163,2.3645055
32,0.82051283,-8.539045,8.559098,-8.780187,4.2304163,2.3645055
33,0.84615386,-11.480974,12.651927,-10.064557,4.2304163,2.3645055
34,0.8717949,-17.581886,6.121998,-12.347199,4.2304163,2.3645055
35,0.8974359,-20.784935,7.0243254,-12.422688,4.2304163,2.3645055
36,0.9230769,-19.871912,6.5094943,-9.834534,4.2304163,2.3645055
37,0.94871795,-18.88434,12.299654,-0.7371025,4.2304163,2.3645055
38,0.974359,-42.590843,27.432837,1.8142142,4.2304163,2.3645055
39,1.0,-64.73868,51.233105,5.2476244,4.2304163,2.3645055
