index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,1.5683984,6.8531547
1,0.025641026,0.018795693,0.00060913473,-0.00044232252,1.5683984,6.8531547
2,0.051282052,-0.034349255,-0.07565878,-0.063471094,1.5683984,6.8531547
3,0.07692308,0.072260134,-0.05076463,-0.067855835,1.5683984,6.8531547
4,0.102564104,0.14073503,0.0019969307,-0.13828804,1.5683984,6.8531547
5,0.12820514,0.24893758,0.051463943,-0.16035232,1.5683984,6.8531547
6,0.15384616,0.3064124,-0.03972933,-0.13578491,1.5683984,6.8531547
7,0.17948718,0.1832853,0.19796315,-0.14471045,1.5683984,6.8531547
8,0.20512821,0.20153777,0.3517719,-0.03791433,1.5683984,6.8531547
9,0.23076923,-0.044058755,0.55618423,-0.26992047,1.5683984,6.8531547
10,0.25641027,0.12617995,0.34357888,-0.42735922,1.5683984,6.8531547
11,0.2820513,-0.30269587,0.44402343,-0.32190272,1.5683984,6.8531547
12,0.30769232,-0.17072505,-0.0011476576,-0.53131616,1.5683984,6.8531547
13,0.33333334,-0.11352092,0.1897245,-0.23956677,1.5683984,6.8531547
14,0.35897437,0.0075017363,-0.30712858,-0.26390135,1.5683984,6.8531547
15,0.3846154,-0.21879631,-0.6592818,-0.20535272,1.5683984,6.8531547
16,0.41025642,-0.83212495,-0.2831213,0.43864948,1.5683984,6.8531547
17,0.43589744,-0.5259874,0.083993286,-0.36242658,1.5683984,6.8531547
18,0.46153846,-1.0815392,0.68076634,-0.32486898,1.5683984,6.8531547
19,0.4871795,-1.0778288,0.009408534,0.7720141,1.5683984,6.8531547
20,0.5128205,-0.5324824,-0.3145353,0.8880394,1.5683984,6.8531547
21,0.5384615,0.35739022,-1.1224812,2.4025939,1.5683984,6.8531547
22,0.56410253,0.82540655,-2.5649433,2.3576753,1.5683984,6.8531547
23,0.5897436,0.49253428,-4.417183,0.644987,1.5683984,6.8531547
24,0.61538464,0.26716766,-5.286279,1.4887179,1.5683984,6.8531547
25,0.64102566,0.40794903,-6.0090733,3.2334921,1.5683984,6.8531547
26,0.6666667,0.66961306,-5.2995825,-0.35375905,1.5683984,6.8531547
27,0.6923077,1.3124049,-2.1563156,0.3262105,1.5683984,6.8531547
28,0.71794873,0.16491234,-4.873954,1.1184764,1.5683984,6.8531547
29,0.74358976,2.3331075,-7.0541105,-2.4346464,1.5683984,6.8531547
30,0.7692308,3.0586138,-5.012776,-4.241682,1.5683984,6.8531547
31,0.7948718,4.442589,-2.7772079,-3.9975739,1.5683984,6.8531547
32,0.82051283,12.110569,-11.741236,-10.612396,1.5683984,6.8531547
33,0.84615386,21.47152,-18.911606,-12.0663595,1.5683984,6.8531547
34,0.8717949,26.154848,-15.749799,-14.46294,1.5683984,6.8531547
35,0.8974359,33.82419,-9.164144,-13.388745,1.5683984,6.8531547
36,0.9230769,27.72477,3.131096,-0.8921547,1.5683984,6.8531547
37,0.94871795,34.16651,1.7637244,5.9511547,1.5683984,6.8531547
38,0.974359,30.329128,-2.3067465,9.803244,1.5683984,6.8531547
39,1.0,33.933605,11.292676,4.6136475,1.5683984,6.8531547
