index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-5.809221,1.6474229
1,0.025641026,0.0007670205,0.021570874,-0.06525913,-5.809221,1.6474229
2,0.051282052,-0.09272333,0.068156734,-0.17941797,-5.809221,1.6474229
3,0.07692308,-0.09538267,0.04494615,-0.2414696,-5.809221,1.6474229
4,0.102564104,-0.122354895,0.20158605,-0.26667908,-5.809221,1.6474229
5,0.12820514,-0.036156118,0.33503485,-0.41914928,-5.809221,1.6474229
6,0.15384616,0.020457841,-0.010772973,-0.37712854,-5.809221,1.6474229
7,0.17948718,-0.06660561,-0.18521191,-0.41313496,-5.809221,1.6474229
8,0.20512821,-0.04331728,-0.053117216,-0.23201746,-5.809221,1.6474229
9,0.23076923,-0.37750268,-0.04621275,0.077563375,-5.809221,1.6474229
10,0.25641027,-0.58345985,-0.21807662,0.172093,-5.809221,1.6474229
11,0.2820513,-0.31173778,-0.75275993,0.1209009,-5.809221,1.6474229
12,0.30769232,-0.043813944,-0.40430546,-0.072237894,-5.809221,1.6474229
13,0.33333334,-0.13158002,-0.83141243,0.20756124,-5.809221,1.6474229
14,0.35897437,-0.05786906,0.031372905,0.24309328,-5.809221,1.6474229
15,0.3846154,-0.5279408,-0.007093899,-0.33032355,-5.809221,1.6474229
16,0.41025642,-1.1099706,0.67382056,-0.26328972,-5.809221,1.6474229
17,0.43589744,-0.7141467,0.8751056,-0.7011348,-5.809221,1.6474229
18,0.46153846,-1.028217,1.1232077,-1.7315079,-5.809221,1.6474229
19,0.4871795,-0.98595554,0.7517164,-2.9663477,-5.809221,1.6474229
20,0.5128205,-2.8180485,0.94352096,-2.5313523,-5.809221,1.6474229
21,0.5384615,-3.8793044,0.45745936,-2.6844344,-5.809221,1.6474229
22,0.56410253,-2.6595888,-2.2671242,-3.6330965,-5.809221,1.6474229
23,0.5897436,-3.9314103,-2.1698973,-3.7218356,-5.809221,1.6474229
24,0.61538464,-4.9420652,0.18157625,-4.5940933,-5.809221,1.6474229
25,0.64102566,-3.8068976,-1.5117477,0.6899462,-5.809221,1.6474229
26,0.6666667,-6.6719294,-0.46113634,0.95588267,-5.809221,1.6474229
27,0.6923077,-7.382954,-1.0056374,2.1493773,-5.809221,1.6474229
28,0.71794873,-9.609325,-3.6815898,0.52950406,-5.809221,1.6474229
29,0.74358976,-6.1851997,-6.6771493,2.691006,-5.809221,1.6474229
30,0.7692308,-6.7125425,2.2708917,-3.8147013,-5.809221,1.6474229
31,0.7948718,1.1277013,-1.2631187,-5.908549,-5.809221,1.6474229
32,0.82051283,-0.3104986,-4.060562,-1.0953269,-5.809221,1.6474229
33,0.84615386,7.05961,-7.6925335,3.0603752,-5.809221,1.6474229
34,0.8717949,-8.465761,4.8956823,10.172604,-5.809221,1.6474229
35,0.8974359,-0.37466526,18.952127,13.8038845,-5.809221,1.6474229
36,0.9230769,1.8310184,25.71254,11.979679,-5.809221,1.6474229
37,0.94871795,-7.6471434,6.998583,8.90762,-5.809221,1.6474229
38,0.974359,-12.92145,3.8328254,-17.6716,-5.809221,1.6474229
39,1.0,-3.170187,3.3061192,-18.801394,-5.809221,1.6474229
