index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.4181466,0.005916014
1,0.025641026,0.046795174,-0.055500768,0.01955698,-0.4181466,0.005916014
2,0.051282052,-0.0014105029,-0.114733,0.019045457,-0.4181466,0.005916014
3,0.07692308,0.04278681,-0.122343116,0.025306247,-0.4181466,0.005916014
4,0.102564104,0.2686655,-0.13406515,0.035681337,-0.4181466,0.005916014
5,0.12820514,0.35820484,-0.10210239,0.14516273,-0.4181466,0.005916014
6,0.15384616,0.28628817,-0.17285067,0.3801328,-0.4181466,0.005916014
7,0.17948718,0.35088482,-0.08663472,0.29834533,-0.4181466,0.005916014
8,0.20512821,0.51297224,0.08882273,0.23580647,-0.4181466,0.005916014
9,0.23076923,0.8082738,0.20048395,0.17885935,-0.4181466,0.005916014
10,0.25641027,0.8851301,0.07476863,0.34918606,-0.4181466,0.005916014
11,0.2820513,1.0330964,0.51325256,0.5479539,-0.4181466,0.005916014
12,0.30769232,0.85596603,-0.07601482,0.4939332,-0.4181466,0.005916014
13,0.33333334,1.1257062,0.047925226,0.9634572,-0.4181466,0.005916014
14,0.35897437,1.2685019,0.0060201287,0.29727972,-0.4181466,0.005916014
15,0.3846154,1.1139548,-0.50288373,0.24071081,-0.4181466,0.005916014
16,0.41025642,0.74506164,-1.2945166,0.24771506,-0.4181466,0.005916014
17,0.43589744,0.61656237,-1.3421326,0.3495491,-0.4181466,0.005916014
18,0.46153846,1.1452203,-1.5469354,1.442971,-0.4181466,0.005916014
19,0.4871795,1.7091589,-0.7799568,1.4371648,-0.4181466,0.005916014
20,0.5128205,1.5210929,-0.9904023,2.824771,-0.4181466,0.005916014
21,0.5384615,2.1206608,-1.2988508,1.4444938,-0.4181466,0.005916014
22,0.56410253,2.8155248,-1.526307,1.7927489,-0.4181466,0.005916014
23,0.5897436,3.0663934,-1.2602232,0.42436147,-0.4181466,0.005916014
24,0.61538464,0.99159217,0.13392234,0.4046409,-0.4181466,0.005916014
25,0.64102566,4.6415815,1.4074435,-1.8450427,-0.4181466,0.005916014
26,0.6666667,2.8489964,2.9397247,-2.1867683,-0.4181466,0.005916014
27,0.6923077,2.6942751,-2.000244,-2.63213,-0.4181466,0.005916014
28,0.71794873,3.6095443,1.1383188,-6.6924553,-0.4181466,0.005916014
29,0.74358976,6.270757,3.3354316,-3.8791454,-0.4181466,0.005916014
30,0.7692308,13.196181,0.41125274,0.8362005,-0.4181466,0.005916014
31,0.7948718,13.194653,-8.378183,4.9156227,-0.4181466,0.005916014
32,0.82051283,14.795156,-1.9860044,11.854275,-0.4181466,0.005916014
33,0.84615386,11.432577,-2.3420892,13.63182,-0.4181466,0.005916014
34,0.8717949,12.367069,-6.9450293,30.408966,-0.4181466,0.005916014
35,0.8974359,11.830986,-1.6844907,14.555246,-0.4181466,0.005916014
36,0.9230769,16.825184,-12.333715,10.792707,-0.4181466,0.005916014
37,0.94871795,50.68386,-14.903195,6.8140593,-0.4181466,0.005916014
38,0.974359,33.454254,-23.793205,-15.136203,-0.4181466,0.005916014
39,1.0,68.981064,-7.6270866,-4.1049824,-0.4181466,0.005916014
