index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,5.659307,6.347834
1,0.025641026,0.04466826,-0.068652846,-0.020075079,5.659307,6.347834
2,0.051282052,0.16925423,-0.06481197,0.061395485,5.659307,6.347834
3,0.07692308,0.17720678,-0.13896048,0.038268954,5.659307,6.347834
4,0.102564104,0.17044558,-0.15668142,-0.05287437,5.659307,6.347834
5,0.12820514,0.3359244,-0.028808668,0.064708196,5.659307,6.347834
6,0.15384616,0.4568139,-0.11038578,-0.083481945,5.659307,6.347834
7,0.17948718,0.25335258,-0.035189204,-0.2669769,5.659307,6.347834
8,0.20512821,0.23504741,-0.21902227,-0.52255213,5.659307,6.347834
9,0.23076923,0.3689394,-0.22776924,-0.6071499,5.659307,6.347834
10,0.25641027,0.5949925,-0.2744959,-0.5776496,5.659307,6.347834
11,0.2820513,0.8268056,-0.61405265,-0.36313534,5.659307,6.347834
12,0.30769232,1.0777239,-0.8963512,-0.9592345,5.659307,6.347834
13,0.33333334,1.0096128,-0.4837254,-1.2278743,5.659307,6.347834
14,0.35897437,1.2577225,0.10618755,-0.318268,5.659307,6.347834
15,0.3846154,1.2348446,-0.057084113,0.47433013,5.659307,6.347834
16,0.41025642,0.552017,-0.6231643,1.9250951,5.659307,6.347834
17,0.43589744,0.6115471,-0.05190122,1.8258429,5.659307,6.347834
18,0.46153846,0.7269688,-0.7030384,1.8099151,5.659307,6.347834
19,0.4871795,1.165877,0.63987297,0.88622254,5.659307,6.347834
20,0.5128205,2.531043,1.3319019,0.35133916,5.659307,6.347834
21,0.5384615,4.459028,2.0488338,0.37836573,5.659307,6.347834
22,0.56410253,4.8371406,2.085643,0.06400254,5.659307,6.347834
23,0.5897436,4.464776,2.1114957,1.2206913,5.659307,6.347834
24,0.61538464,5.281638,2.3768663,1.370741,5.659307,6.347834
25,0.64102566,1.8475902,4.82414,0.2564876,5.659307,6.347834
26,0.6666667,2.9850466,8.111641,1.3415748,5.659307,6.347834
27,0.6923077,2.823486,8.680667,3.0524368,5.659307,6.347834
28,0.71794873,-1.3115976,8.333359,10.379475,5.659307,6.347834
29,0.74358976,-4.3619184,0.8798342,10.7856245,5.659307,6.347834
30,0.7692308,-4.14705,-1.146523,6.383934,5.659307,6.347834
31,0.7948718,-7.4728317,1.9344635,4.6000834,5.659307,6.347834
32,0.82051283,6.827277,1.4111123,9.518742,5.659307,6.347834
33,0.84615386,1.0449195,-6.9013505,5.9551177,5.659307,6.347834
34,0.8717949,-3.0899625,-4.0904484,10.527248,5.659307,6.347834
35,0.8974359,-9.500824,3.028501,7.480199,5.659307,6.347834
36,0.9230769,-11.093161,-4.099831,14.406456,5.659307,6.347834
37,0.94871795,-13.639535,-12.76634,14.589491,5.659307,6.347834
38,0.974359,-28.631884,-6.519436,9.488012,5.659307,6.347834
39,1.0,-20.480452,-20.6761,5.0395174,5.659307,6.347834
