index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-10.118544,0.20135827
1,0.025641026,-0.032472197,0.03515024,0.088077866,-10.118544,0.20135827
2,0.051282052,-0.038470108,0.031108327,-0.02063138,-10.118544,0.20135827
3,0.07692308,-0.08371231,0.16059172,-0.05470561,-10.118544,0.20135827
4,0.102564104,-0.13823506,0.11368874,-0.14407605,-10.118544,0.20135827
5,0.12820514,-0.11450942,0.22068249,-0.17678851,-10.118544,0.20135827
6,0.15384616,-0.0671377,0.27096286,-0.26308292,-10.118544,0.20135827
7,0.17948718,-0.09333556,0.18611735,-0.12151833,-10.118544,0.20135827
8,0.20512821,-0.25585166,0.15236092,-0.04186952,-10.118544,0.20135827
9,0.23076923,-0.113199905,0.23111895,0.20645289,-10.118544,0.20135827
10,0.25641027,-0.03720627,0.50140667,0.060110077,-10.118544,0.20135827
11,0.2820513,0.43879256,0.3912858,-0.19785891,-10.118544,0.20135827
12,0.30769232,0.35357434,0.5726725,-0.26283932,-10.118544,0.20135827
13,0.33333334,0.75085795,0.43874928,-0.2395715,-10.118544,0.20135827
14,0.35897437,1.4918611,0.8256124,-0.41153792,-10.118544,0.20135827
15,0.3846154,1.1532676,0.59543616,-0.4196146,-10.118544,0.20135827
16,0.41025642,1.4736037,0.0054389834,-0.553053,-10.118544,0.20135827
17,0.43589744,2.0186355,-0.076613225,-0.25471413,-10.118544,0.20135827
18,0.46153846,0.777333,0.23228946,0.58884513,-10.118544,0.20135827
19,0.4871795,1.4211909,0.7207155,0.7485714,-10.118544,0.20135827
20,0.5128205,1.9736577,1.8296663,1.5601108,-10.118544,0.20135827
21,0.5384615,1.1653497,2.5469904,1.7537607,-10.118544,0.20135827
22,0.56410253,2.042546,2.7482805,1.4698738,-10.118544,0.20135827
23,0.5897436,0.9644586,2.1343818,2.4907947,-10.118544,0.20135827
24,0.61538464,3.0619578,2.3665652,0.6905314,-10.118544,0.20135827
25,0.64102566,1.577122,1.9284914,1.1809855,-10.118544,0.20135827
26,0.6666667,-0.27278233,0.8478508,0.7789823,-10.118544,0.20135827
27,0.6923077,1.0124502,1.4432428,4.559932,-10.118544,0.20135827
28,0.71794873,1.9459057,0.45762688,8.082428,-10.118544,0.20135827
29,0.74358976,-3.3703532,-5.9366307,9.6126175,-10.118544,0.20135827
30,0.7692308,-1.9870294,-5.870165,5.6371756,-10.118544,0.20135827
31,0.7948718,1.5642384,-5.4376683,8.460079,-10.118544,0.20135827
32,0.82051283,4.4350023,-9.653284,9.101757,-10.118544,0.20135827
33,0.84615386,13.4685,-5.6393027,4.75654,-10.118544,0.20135827
34,0.8717949,9.239544,-8.670266,5.8503337,-10.118544,0.20135827
35,0.8974359,9.526669,12.711352,-1.0486612,-10.118544,0.20135827
36,0.9230769,3.9076338,21.51934,2.8226035,-10.118544,0.20135827
37,0.94871795,22.57103,12.882126,22.74805,-10.118544,0.20135827
38,0.974359,23.580467,32.823574,35.284157,-10.118544,0.20135827
39,1.0,36.511837,25.97668,70.92128,-10.118544,0.20135827
