index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-15.126804,-0.51611984
1,0.025641026,-0.053229403,0.0032438072,0.056087602,-15.126804,-0.51611984
2,0.051282052,0.029281039,0.032363035,0.053591356,-15.126804,-0.51611984
3,0.07692308,0.041587807,0.07945269,-0.027049236,-15.126804,-0.51611984
4,0.102564104,0.010527711,0.02729899,-0.022118319,-15.126804,-0.51611984
5,0.12820514,-0.13955912,-0.09925525,0.044976946,-15.126804,-0.51611984
6,0.15384616,-0.24425681,-0.1354342,-0.017934669,-15.126804,-0.51611984
7,0.17948718,-0.23068938,-0.19858831,-0.09643324,-15.126804,-0.51611984
8,0.20512821,-0.34309912,-0.19195881,-0.07155782,-15.126804,-0.51611984
9,0.23076923,-0.439721,-0.28921407,0.008682929,-15.126804,-0.51611984
10,0.25641027,-0.7349084,-0.22489478,0.16407171,-15.126804,-0.51611984
11,0.2820513,-0.6660308,-0.10885417,0.034144253,-15.126804,-0.51611984
12,0.30769232,-1.1150514,-0.42524698,0.41773763,-15.126804,-0.51611984
13,0.33333334,-0.79622436,-1.0147885,0.8040437,-15.126804,-0.51611984
14,0.35897437,-0.939198,-1.2824352,1.2919753,-15.126804,-0.51611984
15,0.3846154,-1.1373779,-1.2928976,1.4749588,-15.126804,-0.51611984
16,0.41025642,-0.23337609,-1.4044844,1.5197417,-15.126804,-0.51611984
17,0.43589744,-1.1791937,-1.6409537,1.5439057,-15.126804,-0.51611984
18,0.46153846,-1.7625718,-2.0619254,1.9691997,-15.126804,-0.51611984
19,0.4871795,-2.0082507,-1.4495754,2.7219663,-15.126804,-0.51611984
20,0.5128205,-1.7470345,-1.5164886,2.0678468,-15.126804,-0.51611984
21,0.5384615,-1.6590785,-1.4164869,0.03396678,-15.126804,-0.51611984
22,0.56410253,-1.4888107,0.3709408,-0.90612084,-15.126804,-0.51611984
23,0.5897436,-1.2268392,-1.1716415,0.6379407,-15.126804,-0.51611984
24,0.61538464,-3.0996072,-2.9994996,1.3714924,-15.126804,-0.51611984
25,0.64102566,-0.508662,-0.7961304,0.8417987,-15.126804,-0.51611984
26,0.6666667,-0.23878151,-1.1370211,2.278256,-15.126804,-0.51611984
27,0.6923077,-2.311387,-2.4965696,1.5244248,-15.126804,-0.51611984
28,0.71794873,-1.7441325,-5.7419243,-1.4651678,-15.126804,-0.51611984
29,0.74358976,-6.4070044,-1.6625905,-2.249813,-15.126804,-0.51611984
30,0.7692308,-6.0308247,0.20363295,-0.25851238,-15.126804,-0.51611984
31,0.7948718,-9.49799,-0.9573306,-2.234202,-15.126804,-0.51611984
32,0.82051283,-4.749,-0.24172288,3.2185173,-15.126804,-0.51611984
33,0.84615386,-8.201794,-1.6564872,-4.6417246,-15.126804,-0.51611984
34,0.8717949,-5.3540087,0.21542728,-12.720366,-15.126804,-0.51611984
35,0.8974359,-1.1938357,6.336212,-15.785615,-15.126804,-0.51611984
36,0.9230769,18.652752,-11.831131,-21.724867,-15.126804,-0.51611984
37,0.94871795,10.735289,-0.52468586,-17.0541,-15.126804,-0.51611984
38,0.974359,3.1927218,14.244824,-29.09446,-15.126804,-0.51611984
39,1.0,-3.7600527,13.19783,-15.81457,-15.126804,-0.51611984
