index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,2.8271098,6.027591
1,0.025641026,-0.07802709,0.022756016,0.0005647465,2.8271098,6.027591
2,0.051282052,0.06013515,0.04436151,-0.050817095,2.8271098,6.027591
3,0.07692308,0.060445614,0.025791766,0.022707716,2.8271098,6.027591
4,0.102564104,0.033985212,0.13000214,0.06865956,2.8271098,6.027591
5,0.12820514,0.19198082,0.33802223,0.040636532,2.8271098,6.027591
6,0.15384616,0.04694085,0.32624725,-0.005276207,2.8271098,6.027591
7,0.17948718,0.1001369,0.45896655,0.011200512,2.8271098,6.027591
8,0.20512821,-0.019549757,0.544306,-0.113258824,2.8271098,6.027591
9,0.23076923,0.040188413,0.37526762,-0.09867172,2.8271098,6.027591
10,0.25641027,0.1742637,0.5854746,-0.09417894,2.8271098,6.027591
11,0.2820513,0.19494808,0.57150924,0.105785705,2.8271098,6.027591
12,0.30769232,0.14408945,0.8151608,0.4491832,2.8271098,6.027591
13,0.33333334,0.15134177,1.1265178,0.19148943,2.8271098,6.027591
14,0.35897437,-0.4268681,1.1452718,0.11661997,2.8271098,6.027591
15,0.3846154,-0.37808698,1.0043364,0.03710431,2.8271098,6.027591
16,0.41025642,0.30427635,0.4954834,0.17707485,2.8271098,6.027591
17,0.43589744,0.66529715,0.775579,0.35278228,2.8271098,6.027591
18,0.46153846,0.52549016,-0.4321586,-0.1687465,2.8271098,6.027591
19,0.4871795,-0.30823565,-1.9609693,0.33553335,2.8271098,6.027591
20,0.5128205,-0.21166211,-1.4181697,-0.7658384,2.8271098,6.027591
21,0.5384615,1.544488,-1.4481717,-0.81958675,2.8271098,6.027591
22,0.56410253,1.353166,-0.57281727,-1.3815801,2.8271098,6.027591
23,0.5897436,-0.9625319,-1.4203794,-2.2350357,2.8271098,6.027591
24,0.61538464,-0.5797579,-2.0634604,-2.8359735,2.8271098,6.027591
25,0.64102566,-0.6076402,0.14514542,-6.56151,2.8271098,6.027591
26,0.6666667,-2.8839672,-3.007669,-6.3972063,2.8271098,6.027591
27,0.6923077,-0.047314882,-0.32025576,-5.4921603,2.8271098,6.027591
28,0.71794873,-1.0992994,-0.8419764,-8.106646,2.8271098,6.027591
29,0.74358976,-5.1626887,-1.3062636,-10.496296,2.8271098,6.027591
30,0.7692308,-2.8386726,3.5393085,-9.004929,2.8271098,6.027591
31,0.7948718,-5.1327496,7.425193,-8.260136,2.8271098,6.027591
32,0.82051283,-6.5774193,6.705485,-4.48997,2.8271098,6.027591
33,0.84615386,-4.7551622,3.7605937,0.14849472,2.8271098,6.027591
34,0.8717949,-2.7421303,-2.9196012,-7.1227245,2.8271098,6.027591
35,0.8974359,-4.422497,-5.2082815,6.253504,2.8271098,6.027591
36,0.9230769,-4.509882,-10.351475,-3.5802069,2.8271098,6.027591
37,0.94871795,-17.397854,-20.188648,-2.8779545,2.8271098,6.027591
38,0.974359,-9.392276,-42.965202,-1.8897175,2.8271098,6.027591
39,1.0,-0.9593487,-50.123764,29.467245,2.8271098,6.027591
