index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-10.826319,0.0074830214
1,0.025641026,0.055788074,0.061600592,-0.01517374,-10.826319,0.0074830214
2,0.051282052,0.19120926,0.08691591,-0.041275643,-10.826319,0.0074830214
3,0.07692308,0.26664847,0.086511135,-0.06689804,-10.826319,0.0074830214
4,0.102564104,0.33739042,0.0021277666,-0.080981545,-10.826319,0.0074830214
5,0.12820514,0.32998228,-0.12837805,-0.0067053735,-10.826319,0.0074830214
6,0.15384616,0.39639664,-0.08353804,0.17810893,-10.826319,0.0074830214
7,0.17948718,0.39463958,-0.06494079,0.1747541,-10.826319,0.0074830214
8,0.20512821,0.33424604,-0.13709927,0.14624119,-10.826319,0.0074830214
9,0.23076923,0.53676367,-0.24955052,0.39499137,-10.826319,0.0074830214
10,0.25641027,0.3860548,-0.29666626,0.5199881,-10.826319,0.0074830214
11,0.2820513,-0.13559532,-0.73699796,0.5634484,-10.826319,0.0074830214
12,0.30769232,-0.68691874,-0.99461627,-0.11681354,-10.826319,0.0074830214
13,0.33333334,-0.06632078,-1.3028121,0.8424097,-10.826319,0.0074830214
14,0.35897437,-0.14540613,-1.9750304,0.6695371,-10.826319,0.0074830214
15,0.3846154,-0.25551698,-2.1478274,0.63336366,-10.826319,0.0074830214
16,0.41025642,-0.7843281,-2.63823,0.2732545,-10.826319,0.0074830214
17,0.43589744,-1.160708,-2.7203798,0.39832133,-10.826319,0.0074830214
18,0.46153846,-2.46325,-3.1382434,0.8562969,-10.826319,0.0074830214
19,0.4871795,-1.2379955,-3.2731755,-1.1236137,-10.826319,0.0074830214
20,0.5128205,-0.88499933,-2.467103,-2.3577409,-10.826319,0.0074830214
21,0.5384615,0.20693463,-3.0268478,-2.7489996,-10.826319,0.0074830214
22,0.56410253,1.6605988,-1.3478928,-2.7418377,-10.826319,0.0074830214
23,0.5897436,2.4620624,-2.6419725,-4.5628977,-10.826319,0.0074830214
24,0.61538464,6.3381596,-6.4749036,-6.457904,-10.826319,0.0074830214
25,0.64102566,9.235787,-7.009755,-7.126898,-10.826319,0.0074830214
26,0.6666667,8.643841,-4.380844,-6.450463,-10.826319,0.0074830214
27,0.6923077,7.8800364,-4.2550945,-6.1082273,-10.826319,0.0074830214
28,0.71794873,6.280479,-5.831337,-6.709393,-10.826319,0.0074830214
29,0.74358976,5.7247524,1.051858,-9.557723,-10.826319,0.0074830214
30,0.7692308,11.375439,3.401408,-14.112925,-10.826319,0.0074830214
31,0.7948718,16.557762,-4.6990967,-17.071854,-10.826319,0.0074830214
32,0.82051283,12.770646,1.0424838,-8.238866,-10.826319,0.0074830214
33,0.84615386,11.456258,8.386507,-12.65467,-10.826319,0.0074830214
34,0.8717949,10.715195,5.174899,-10.808334,-10.826319,0.0074830214
35,0.8974359,14.888058,16.717476,-5.872104,-10.826319,0.0074830214
36,0.9230769,6.235202,23.831177,-14.763592,-10.826319,0.0074830214
37,0.94871795,-3.3973064,24.242207,-18.473099,-10.826319,0.0074830214
38,0.974359,8.742086,16.811718,1.1227093,-10.826319,0.0074830214
39,1.0,-2.6336098,-2.0212345,-3.5426893,-10.826319,0.0074830214
