index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.17277336,9.433095
1,0.025641026,-0.03279673,-0.09041932,0.052047666,-0.17277336,9.433095
2,0.051282052,-0.009769488,-0.16110963,0.023408098,-0.17277336,9.433095
3,0.07692308,-0.03645377,-0.10369299,-0.042565122,-0.17277336,9.433095
4,0.102564104,-0.14710423,-0.08296557,-0.20729588,-0.17277336,9.433095
5,0.12820514,-0.14570922,0.043715775,-0.1952873,-0.17277336,9.433095
6,0.15384616,-0.24828514,0.12621112,-0.18600795,-0.17277336,9.433095
7,0.17948718,-0.16418687,0.25328824,-0.23589899,-0.17277336,9.433095
8,0.20512821,-0.20967914,0.40080327,-0.40857327,-0.17277336,9.433095
9,0.23076923,-0.5333648,0.21211098,-0.35528398,-0.17277336,9.433095
10,0.25641027,-0.66327703,0.078427985,-0.3236429,-0.17277336,9.433095
11,0.2820513,-0.5850265,-0.10332383,-0.2538746,-0.17277336,9.433095
12,0.30769232,-1.1755346,-0.5413923,-0.2964589,-0.17277336,9.433095
13,0.33333334,-0.95543337,-0.3039558,0.11536214,-0.17277336,9.433095
14,0.35897437,-0.9192884,-0.5542542,0.7727382,-0.17277336,9.433095
15,0.3846154,-0.7195672,-0.37506416,0.3590935,-0.17277336,9.433095
16,0.41025642,-0.70075095,-0.8518362,0.30920583,-0.17277336,9.433095
17,0.43589744,-1.2267823,-1.0290188,-0.4340939,-0.17277336,9.433095
18,0.46153846,-2.5158362,-0.72141504,0.2979921,-0.17277336,9.433095
19,0.4871795,-1.8459923,-1.5175014,-0.0568074,-0.17277336,9.433095
20,0.5128205,-1.70298,-1.5487286,1.5075226,-0.17277336,9.433095
21,0.5384615,-0.8869989,-0.41819823,1.3967228,-0.17277336,9.433095
22,0.56410253,-1.0509999,-2.0483942,0.8466545,-0.17277336,9.433095
23,0.5897436,-1.7889535,-0.7566402,0.30707204,-0.17277336,9.433095
24,0.61538464,-2.52181,-0.047913194,0.48745683,-0.17277336,9.433095
25,0.64102566,-1.6330055,-0.44901374,1.0455973,-0.17277336,9.433095
26,0.6666667,0.4992293,3.0850255,2.5050378,-0.17277336,9.433095
27,0.6923077,6.023979,5.814503,0.95101297,-0.17277336,9.433095
28,0.71794873,10.554037,5.5157003,0.90536267,-0.17277336,9.433095
29,0.74358976,10.335461,4.577984,4.4201803,-0.17277336,9.433095
30,0.7692308,15.21499,15.899924,1.1094978,-0.17277336,9.433095
31,0.7948718,9.771041,18.323309,-3.1204846,-0.17277336,9.433095
32,0.82051283,19.498983,12.693027,-6.65663,-0.17277336,9.433095
33,0.84615386,14.732267,4.531624,2.817966,-0.17277336,9.433095
34,0.8717949,5.678137,5.7374306,6.9282207,-0.17277336,9.433095
35,0.8974359,-3.3599024,15.1649065,1.4367013,-0.17277336,9.433095
36,0.9230769,-9.250517,13.04727,-5.608122,-0.17277336,9.433095
37,0.94871795,7.605459,36.297565,8.1636505,-0.17277336,9.433095
38,0.974359,5.6712284,12.497137,9.307421,-0.17277336,9.433095
39,1.0,-0.13644409,24.974703,14.537722,-0.17277336,9.433095
