index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,3.3888316,9.349983
1,0.025641026,0.0037554223,-0.06873948,0.119779095,3.3888316,9.349983
2,0.051282052,-0.024607379,-0.030997355,0.16179046,3.3888316,9.349983
3,0.07692308,0.076846614,-0.050299536,0.20673764,3.3888316,9.349983
4,0.102564104,0.017268762,0.07818775,0.09360817,3.3888316,9.349983
5,0.12820514,0.010746317,-0.09652224,0.086249344,3.3888316,9.349983
6,0.15384616,-0.09388075,0.06860089,-0.07622155,3.3888316,9.349983
7,0.17948718,-0.26767427,-0.07697025,-0.042184968,3.3888316,9.349983
8,0.20512821,-0.11951178,-0.03289444,-0.074532844,3.3888316,9.349983
9,0.23076923,0.10211383,0.0019403361,-0.064129725,3.3888316,9.349983
10,0.25641027,0.14514124,-0.41464996,0.06680761,3.3888316,9.349983
11,0.2820513,-0.12901622,-0.06960523,-0.2071125,3.3888316,9.349983
12,0.30769232,0.110751435,-0.17504922,-0.66775256,3.3888316,9.349983
13,0.33333334,-0.00089842826,-0.005651742,-0.5911178,3.3888316,9.349983
14,0.35897437,-0.17852363,-0.32435787,-0.43802473,3.3888316,9.349983
15,0.3846154,0.097088605,-0.7079439,0.059404373,3.3888316,9.349983
16,0.41025642,-0.06896676,-0.2051369,-0.38813478,3.3888316,9.349983
17,0.43589744,-0.22070904,-0.39544278,-1.8602002,3.3888316,9.349983
18,0.46153846,-0.27719083,-1.1365149,-1.8901101,3.3888316,9.349983
19,0.4871795,0.8613628,-1.0249256,-1.3646235,3.3888316,9.349983
20,0.5128205,1.2759756,-0.4370153,-1.001095,3.3888316,9.349983
21,0.5384615,2.5155268,0.79958105,-2.4023528,3.3888316,9.349983
22,0.56410253,1.6135867,2.0143046,-2.6634817,3.3888316,9.349983
23,0.5897436,1.7057518,1.551733,-0.101195574,3.3888316,9.349983
24,0.61538464,3.1932268,1.4468772,-1.0730331,3.3888316,9.349983
25,0.64102566,-0.10508728,2.5465338,-1.8176045,3.3888316,9.349983
26,0.6666667,1.5781423,-0.7955599,-3.7077007,3.3888316,9.349983
27,0.6923077,5.524102,-0.8168389,-5.729468,3.3888316,9.349983
28,0.71794873,4.045403,1.2960472,-5.5682664,3.3888316,9.349983
29,0.74358976,5.561659,0.10387325,-6.9016485,3.3888316,9.349983
30,0.7692308,10.758642,-6.1450715,-1.7635865,3.3888316,9.349983
31,0.7948718,16.40121,-10.174864,7.7297454,3.3888316,9.349983
32,0.82051283,15.88788,-10.3842535,10.274345,3.3888316,9.349983
33,0.84615386,20.04915,-7.223963,10.253624,3.3888316,9.349983
34,0.8717949,14.124543,-10.872662,4.388642,3.3888316,9.349983
35,0.8974359,15.974006,-22.47388,5.767226,3.3888316,9.349983
36,0.9230769,19.365814,-20.256573,6.749244,3.3888316,9.349983
37,0.94871795,29.723757,-34.984207,8.313816,3.3888316,9.349983
38,0.974359,17.308746,-52.53774,4.712617,3.3888316,9.349983
39,1.0,38.940376,-65.506805,31.831741,3.3888316,9.349983
