index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.74739647,4.976783
1,0.025641026,0.04520924,-0.06136216,-0.009038651,0.74739647,4.976783
2,0.051282052,-0.01691654,-0.11030853,0.012538763,0.74739647,4.976783
3,0.07692308,-0.018079422,-0.18531922,0.009266669,0.74739647,4.976783
4,0.102564104,0.100501664,-0.32396692,0.019263139,0.74739647,4.976783
5,0.12820514,0.12678422,-0.3284904,-0.08671436,0.74739647,4.976783
6,0.15384616,0.17334409,-0.5024584,-0.110032946,0.74739647,4.976783
7,0.17948718,0.09277224,-0.6466994,0.06770472,0.74739647,4.976783
8,0.20512821,0.2168523,-0.57976335,0.09866728,0.74739647,4.976783
9,0.23076923,0.21690051,-0.50279224,0.19767457,0.74739647,4.976783
10,0.25641027,0.30748063,-0.3532495,0.3047745,0.74739647,4.976783
11,0.2820513,0.7688342,-0.455905,0.28177124,0.74739647,4.976783
12,0.30769232,0.8057963,-0.46607333,0.14762989,0.74739647,4.976783
13,0.33333334,0.7785024,-0.28852212,0.018402845,0.74739647,4.976783
14,0.35897437,0.612356,-0.46110255,0.31518438,0.74739647,4.976783
15,0.3846154,0.33872783,-0.68656224,0.7541385,0.74739647,4.976783
16,0.41025642,0.012649119,0.1975652,1.2912047,0.74739647,4.976783
17,0.43589744,-0.031712774,0.17513901,1.0300062,0.74739647,4.976783
18,0.46153846,-0.9262382,-0.34387654,0.9407126,0.74739647,4.976783
19,0.4871795,-1.3008772,-1.1014582,0.7287611,0.74739647,4.976783
20,0.5128205,-2.769773,-1.876713,1.989691,0.74739647,4.976783
21,0.5384615,-4.1586647,-3.3944304,2.145699,0.74739647,4.976783
22,0.56410253,-3.8642993,-3.5138757,3.0917277,0.74739647,4.976783
23,0.5897436,-3.973375,-2.1026216,3.383177,0.74739647,4.976783
24,0.61538464,-2.9778829,0.35416746,0.18766403,0.74739647,4.976783
25,0.64102566,-1.194487,1.7811078,0.58129776,0.74739647,4.976783
26,0.6666667,1.0435678,4.592393,2.7452264,0.74739647,4.976783
27,0.6923077,-1.619876,6.4206476,4.628793,0.74739647,4.976783
28,0.71794873,-0.89226216,7.457201,2.4982767,0.74739647,4.976783
29,0.74358976,4.905665,7.2891726,0.2208097,0.74739647,4.976783
30,0.7692308,-1.9024024,6.7339816,0.7615929,0.74739647,4.976783
31,0.7948718,0.12880969,5.114685,2.9660518,0.74739647,4.976783
32,0.82051283,-13.76742,1.6358588,7.991128,0.74739647,4.976783
33,0.84615386,-16.887789,-1.0737693,-4.9621267,0.74739647,4.976783
34,0.8717949,-20.820435,-5.234742,0.838027,0.74739647,4.976783
35,0.8974359,-16.852251,0.31502104,2.9002383,0.74739647,4.976783
36,0.9230769,-5.618121,-2.6635196,2.8066769,0.74739647,4.976783
37,0.94871795,10.760606,-15.998469,-3.2524781,0.74739647,4.976783
38,0.974359,13.108252,-13.990244,0.3315127,0.74739647,4.976783
39,1.0,49.115173,5.1219463,-22.3332,0.74739647,4.976783
