index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,2.8889017,4.041394
1,0.025641026,-0.0061300984,-0.0133215925,-0.079153985,2.8889017,4.041394
2,0.051282052,0.008637376,-0.0771406,-0.04791225,2.8889017,4.041394
3,0.07692308,0.08406664,-0.003366761,-0.065818995,2.8889017,4.041394
4,0.102564104,0.03828791,0.02206913,-0.13977098,2.8889017,4.041394
5,0.12820514,0.0818347,0.085865974,-0.33347338,2.8889017,4.041394
6,0.15384616,0.05211574,0.2668756,-0.47382247,2.8889017,4.041394
7,0.17948718,-0.0150111765,0.35559937,-0.47544178,2.8889017,4.041394
8,0.20512821,0.020331327,0.20800553,-0.46799016,2.8889017,4.041394
9,0.23076923,0.015908854,0.09834539,-0.70690197,2.8889017,4.041394
10,0.25641027,0.05310429,0.45754692,-0.5595628,2.8889017,4.041394
11,0.2820513,-0.24196419,0.89232314,-0.7050432,2.8889017,4.041394
12,0.30769232,-0.12702417,0.92425835,-0.93274593,2.8889017,4.041394
13,0.33333334,-1.0002229,1.392819,-1.0395472,2.8889017,4.041394
14,0.35897437,-1.3656069,1.1711718,-0.87895954,2.8889017,4.041394
15,0.3846154,-1.0441399,0.2670111,-1.4559433,2.8889017,4.041394
16,0.41025642,-2.4618173,-0.14494729,-0.92130774,2.8889017,4.041394
17,0.43589744,-2.6841705,-0.24087107,-1.337494,2.8889017,4.041394
18,0.46153846,-2.9186466,-0.48761022,-1.3078701,2.8889017,4.041394
19,0.4871795,-2.0717828,-0.7170847,-2.2087047,2.8889017,4.041394
20,0.5128205,-2.804697,-0.29000592,-1.4468455,2.8889017,4.041394
21,0.5384615,-2.1550329,-0.38773677,-1.9404316,2.8889017,4.041394
22,0.56410253,-0.24648511,2.5725598,-1.577741,2.8889017,4.041394
23,0.5897436,0.52636516,2.2752607,-2.8272383,2.8889017,4.041394
24,0.61538464,0.96236223,6.60999,-3.7046938,2.8889017,4.041394
25,0.64102566,1.1264641,6.3619037,-3.9055486,2.8889017,4.041394
26,0.6666667,1.8055079,6.930145,-6.530893,2.8889017,4.041394
27,0.6923077,-0.5123482,6.7099648,-7.773448,2.8889017,4.041394
28,0.71794873,-0.67037296,2.762837,-5.574154,2.8889017,4.041394
29,0.74358976,-0.9751878,-1.3365769,-5.146783,2.8889017,4.041394
30,0.7692308,1.0296419,-0.59056693,-6.0860868,2.8889017,4.041394
31,0.7948718,-4.867963,-0.8955038,-1.5124087,2.8889017,4.041394
32,0.82051283,-6.4864144,-5.0225515,2.708859,2.8889017,4.041394
33,0.84615386,-5.0890045,-6.246021,5.013831,2.8889017,4.041394
34,0.8717949,-10.69339,-5.982156,2.5484715,2.8889017,4.041394
35,0.8974359,-10.611467,7.6783237,5.1076994,2.8889017,4.041394
36,0.9230769,-8.572862,-3.382616,8.231521,2.8889017,4.041394
37,0.94871795,-9.258484,-4.4918146,-2.0137625,2.8889017,4.041394
38,0.974359,-33.147274,-1.0397325,-4.2646313,2.8889017,4.041394
39,1.0,-29.937937,1.2674251,-8.767313,2.8889017,4.041394
