index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-1.2078048,3.0286238
1,0.025641026,0.06023669,0.040733963,-0.0007486696,-1.2078048,3.0286238
2,0.051282052,0.09589289,-0.0512221,0.03878805,-1.2078048,3.0286238
3,0.07692308,0.23986672,-0.108128354,-0.0833185,-1.2078048,3.0286238
4,0.102564104,0.30436826,-0.09333222,0.084725425,-1.2078048,3.0286238
5,0.12820514,0.3605278,-0.08022849,0.04938186,-1.2078048,3.0286238
6,0.15384616,0.3394356,0.075012565,0.08532336,-1.2078048,3.0286238
7,0.17948718,0.022385478,0.04903355,0.1006671,-1.2078048,3.0286238
8,0.20512821,-0.16294253,-0.0049419813,0.27389497,-1.2078048,3.0286238
9,0.23076923,0.23275995,-0.12111916,0.15146014,-1.2078048,3.0286238
10,0.25641027,-0.0046702027,-0.0593152,0.28112254,-1.2078048,3.0286238
11,0.2820513,0.6537195,-0.34515974,0.1046686,-1.2078048,3.0286238
12,0.30769232,0.5580366,-0.6950755,0.34280914,-1.2078048,3.0286238
13,0.33333334,0.3470896,-0.5114635,0.10221103,-1.2078048,3.0286238
14,0.35897437,-0.32190603,-0.32736593,-0.13798796,-1.2078048,3.0286238
15,0.3846154,0.028432578,-0.38877404,0.060879946,-1.2078048,3.0286238
16,0.41025642,-0.38622424,-0.71647775,0.48893738,-1.2078048,3.0286238
17,0.43589744,-1.1473206,-0.27303097,0.0725922,-1.2078048,3.0286238
18,0.46153846,-1.2083921,-1.0333719,-0.6892215,-1.2078048,3.0286238
19,0.4871795,-1.2702734,-2.0749555,-2.0135837,-1.2078048,3.0286238
20,0.5128205,-1.9152262,-3.136918,-1.5665835,-1.2078048,3.0286238
21,0.5384615,-2.0508046,-3.8553538,-0.5709447,-1.2078048,3.0286238
22,0.56410253,-1.2817343,-4.187045,0.9717184,-1.2078048,3.0286238
23,0.5897436,1.2082173,-3.0880084,-1.2315106,-1.2078048,3.0286238
24,0.61538464,1.3958442,-1.4817959,-1.2164767,-1.2078048,3.0286238
25,0.64102566,1.3106985,-0.017129898,-2.1410084,-1.2078048,3.0286238
26,0.6666667,2.6326315,-0.52663684,-0.26065433,-1.2078048,3.0286238
27,0.6923077,1.9336247,-4.048658,-2.4342518,-1.2078048,3.0286238
28,0.71794873,0.7311268,-4.4623036,-6.323077,-1.2078048,3.0286238
29,0.74358976,7.570091,-7.8777194,-6.355666,-1.2078048,3.0286238
30,0.7692308,8.929093,-5.497118,-4.5785365,-1.2078048,3.0286238
31,0.7948718,8.278346,-1.6380215,-3.7705526,-1.2078048,3.0286238
32,0.82051283,9.56292,-1.6659727,-3.1656551,-1.2078048,3.0286238
33,0.84615386,3.888173,7.073901,1.9214792,-1.2078048,3.0286238
34,0.8717949,0.22281837,3.4782279,6.4015574,-1.2078048,3.0286238
35,0.8974359,13.849861,6.4642024,11.00267,-1.2078048,3.0286238
36,0.9230769,-3.0541267,9.391426,9.648386,-1.2078048,3.0286238
37,0.94871795,-11.668592,10.589865,-6.2823057,-1.2078048,3.0286238
38,0.974359,-30.886736,-6.6569786,-5.9612093,-1.2078048,3.0286238
39,1.0,-67.81772,21.993366,-14.259658,-1.2078048,3.0286238
