index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-1.1823722,3.9823127
1,0.025641026,0.040144432,-0.010817911,0.079200424,-1.1823722,3.9823127
2,0.051282052,0.09623545,-0.0497241,0.08812978,-1.1823722,3.9823127
3,0.07692308,0.1735676,-0.18821104,0.19480245,-1.1823722,3.9823127
4,0.102564104,0.21064809,-0.35571277,0.100403704,-1.1823722,3.9823127
5,0.12820514,0.09640019,-0.26992643,0.18063042,-1.1823722,3.9823127
6,0.15384616,0.015261792,-0.24527305,0.20744315,-1.1823722,3.9823127
7,0.17948718,-0.123773925,-0.10992555,0.26642925,-1.1823722,3.9823127
8,0.20512821,-0.24671087,0.010318644,0.38922358,-1.1823722,3.9823127
9,0.23076923,-0.31549585,-0.31641138,0.35570255,-1.1823722,3.9823127
10,0.25641027,-0.3348364,-0.36249664,0.19698712,-1.1823722,3.9823127
11,0.2820513,-0.16003677,-0.47788924,0.11517425,-1.1823722,3.9823127
12,0.30769232,-0.64695764,-0.3077319,0.055870272,-1.1823722,3.9823127
13,0.33333334,-0.78334224,-0.43829703,0.52824485,-1.1823722,3.9823127
14,0.35897437,-1.2234292,-0.43926787,-0.14199579,-1.1823722,3.9823127
15,0.3846154,-1.2386354,-0.041737467,-0.6771973,-1.1823722,3.9823127
16,0.41025642,-1.5183506,0.23362657,-0.012679338,-1.1823722,3.9823127
17,0.43589744,-2.2810786,0.12189982,0.3113909,-1.1823722,3.9823127
18,0.46153846,-1.5789169,0.060135763,0.9037951,-1.1823722,3.9823127
19,0.4871795,-2.1714854,0.54780537,0.029278576,-1.1823722,3.9823127
20,0.5128205,-3.0798414,1.1798992,0.2683403,-1.1823722,3.9823127
21,0.5384615,-1.5489529,0.58692515,0.526701,-1.1823722,3.9823127
22,0.56410253,-1.6144985,-0.35834908,-2.4733193,-1.1823722,3.9823127
23,0.5897436,-1.9053926,-0.42774653,-1.5952814,-1.1823722,3.9823127
24,0.61538464,-1.4675252,-2.2187977,-4.324876,-1.1823722,3.9823127
25,0.64102566,-0.18756533,-5.6394186,-5.575129,-1.1823722,3.9823127
26,0.6666667,2.726183,-3.3739867,-8.163898,-1.1823722,3.9823127
27,0.6923077,3.1659322,-3.715772,-11.495359,-1.1823722,3.9823127
28,0.71794873,1.8700222,-3.2973077,-11.706203,-1.1823722,3.9823127
29,0.74358976,0.6430619,2.0082843,-10.166994,-1.1823722,3.9823127
30,0.7692308,3.746055,-3.7957118,-12.518545,-1.1823722,3.9823127
31,0.7948718,3.0896125,-5.981927,-10.473843,-1.1823722,3.9823127
32,0.82051283,-1.36273,-8.8467865,-6.007494,-1.1823722,3.9823127
33,0.84615386,7.580921,-12.688648,-7.1790357,-1.1823722,3.9823127
34,0.8717949,9.246061,-17.67572,-3.1292696,-1.1823722,3.9823127
35,0.8974359,11.252735,-0.70503616,-3.4667237,-1.1823722,3.9823127
36,0.9230769,7.1601152,3.962121,-12.285405,-1.1823722,3.9823127
37,0.94871795,27.786976,-8.656237,-6.501853,-1.1823722,3.9823127
38,0.974359,14.395961,11.115738,-11.537441,-1.1823722,3.9823127
39,1.0,13.223384,20.868673,4.3566704,-1.1823722,3.9823127
