index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-11.202939,0.011523862
1,0.025641026,-0.008897029,-0.035833213,-0.035687536,-11.202939,0.011523862
2,0.051282052,-0.020948136,-0.006667696,-0.032431826,-11.202939,0.011523862
3,0.07692308,0.2349033,-0.050654795,0.06942827,-11.202939,0.011523862
4,0.102564104,0.35583884,-0.13173962,0.072683856,-11.202939,0.011523862
5,0.12820514,0.39176887,-0.18014501,0.06322571,-11.202939,0.011523862
6,0.15384616,0.40273243,-0.27853605,-0.21801692,-11.202939,0.011523862
7,0.17948718,0.4512269,-0.44807655,-0.18155563,-11.202939,0.011523862
8,0.20512821,0.36563528,-0.31475896,0.14178777,-11.202939,0.011523862
9,0.23076923,0.69955933,-0.5087088,0.093390435,-11.202939,0.011523862
10,0.25641027,0.2666966,-0.30269536,0.7287899,-11.202939,0.011523862
11,0.2820513,0.0623886,-0.19137904,0.9860821,-11.202939,0.011523862
12,0.30769232,-0.100260615,-0.23776501,1.4780061,-11.202939,0.011523862
13,0.33333334,0.12320174,-0.8853174,1.3882383,-11.202939,0.011523862
14,0.35897437,-0.5102928,-0.027332604,1.4891702,-11.202939,0.011523862
15,0.3846154,-1.0433648,0.083741814,1.3847004,-11.202939,0.011523862
16,0.41025642,-1.023111,-0.58132637,1.0058138,-11.202939,0.011523862
17,0.43589744,-1.1220446,-1.0265809,1.2978314,-11.202939,0.011523862
18,0.46153846,-1.0591025,-2.4286652,2.5424604,-11.202939,0.011523862
19,0.4871795,-0.8114965,-2.0867789,2.9051623,-11.202939,0.011523862
20,0.5128205,-1.5168523,-1.9629434,3.9622726,-11.202939,0.011523862
21,0.5384615,-1.5039569,-1.0468233,3.29958,-11.202939,0.011523862
22,0.56410253,-0.26336694,-0.9935732,4.1824574,-11.202939,0.011523862
23,0.5897436,-0.81273556,0.29182792,3.2447357,-11.202939,0.011523862
24,0.61538464,0.8997189,-1.2475781,3.3762443,-11.202939,0.011523862
25,0.64102566,1.6618263,-0.7494017,2.293702,-11.202939,0.011523862
26,0.6666667,3.5080476,-2.7620587,-1.6598992,-11.202939,0.011523862
27,0.6923077,3.7949977,-3.2941859,-0.42766142,-11.202939,0.011523862
28,0.71794873,1.4512134,-6.97148,-1.9039154,-11.202939,0.011523862
29,0.74358976,11.420132,-12.082947,3.1056566,-11.202939,0.011523862
30,0.7692308,12.063919,-13.383872,-2.9721317,-11.202939,0.011523862
31,0.7948718,14.626465,-16.175459,1.0992627,-11.202939,0.011523862
32,0.82051283,14.332116,-15.850785,-5.720889,-11.202939,0.011523862
33,0.84615386,3.4071455,-16.190302,-8.22649,-11.202939,0.011523862
34,0.8717949,7.831455,-18.8746,-12.515532,-11.202939,0.011523862
35,0.8974359,-0.2278204,-17.265932,-25.019806,-11.202939,0.011523862
36,0.9230769,2.5575614,-1.3947906,-31.712524,-11.202939,0.011523862
37,0.94871795,24.197073,3.4312253,-22.290424,-11.202939,0.011523862
38,0.974359,21.41169,6.7555814,-17.97404,-11.202939,0.011523862
39,1.0,28.936375,-11.056444,-13.99651,-11.202939,0.011523862
