index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,3.2533524,9.023243
1,0.025641026,0.042820364,-0.05078364,-0.009087482,3.2533524,9.023243
2,0.051282052,0.07072969,-0.101997,0.053677604,3.2533524,9.023243
3,0.07692308,0.12681389,-0.08298917,0.0035141855,3.2533524,9.023243
4,0.102564104,-0.023615077,-0.17927724,-0.07972319,3.2533524,9.023243
5,0.12820514,-0.015716895,-0.14269915,0.033309117,3.2533524,9.023243
6,0.15384616,-0.2776454,0.07902461,-0.14623131,3.2533524,9.023243
7,0.17948718,-0.09264079,0.028079875,0.081428126,3.2533524,9.023243
8,0.20512821,-0.06187065,-0.067812465,-0.024952851,3.2533524,9.023243
9,0.23076923,0.15211451,-0.056967575,0.1871028,3.2533524,9.023243
10,0.25641027,-0.11117816,-0.19581519,0.1329029,3.2533524,9.023243
11,0.2820513,-0.41202277,-0.048804134,0.2923894,3.2533524,9.023243
12,0.30769232,-0.33135298,-0.22265938,0.052602887,3.2533524,9.023243
13,0.33333334,-1.0152582,-0.69860786,-0.47170693,3.2533524,9.023243
14,0.35897437,-0.7304542,-1.0784798,-0.2585043,3.2533524,9.023243
15,0.3846154,-0.7557461,-0.7418261,-0.83135116,3.2533524,9.023243
16,0.41025642,-0.93836004,-1.830452,-1.0280558,3.2533524,9.023243
17,0.43589744,-1.3004441,-1.658049,-0.27425998,3.2533524,9.023243
18,0.46153846,-1.7379065,-0.64724755,-0.5769036,3.2533524,9.023243
19,0.4871795,-2.2317219,0.2896707,-1.2788681,3.2533524,9.023243
20,0.5128205,-2.211473,0.90522355,-0.71779895,3.2533524,9.023243
21,0.5384615,-4.450422,-0.27791125,0.32423115,3.2533524,9.023243
22,0.56410253,-5.628681,-1.455106,-0.117926866,3.2533524,9.023243
23,0.5897436,-6.8747005,-4.3806973,3.1549075,3.2533524,9.023243
24,0.61538464,-6.5837364,-6.167732,3.587554,3.2533524,9.023243
25,0.64102566,-3.9369826,-2.4161816,3.105713,3.2533524,9.023243
26,0.6666667,-1.6506131,-1.8970532,1.1611805,3.2533524,9.023243
27,0.6923077,-2.4635932,-3.102035,-4.5734377,3.2533524,9.023243
28,0.71794873,-3.547493,0.06403327,0.22405815,3.2533524,9.023243
29,0.74358976,-0.75936484,2.4357657,-1.0848597,3.2533524,9.023243
30,0.7692308,-6.1245775,2.0648422,2.6846147,3.2533524,9.023243
31,0.7948718,-9.588478,1.037041,3.1081724,3.2533524,9.023243
32,0.82051283,-12.182306,3.1217875,8.928215,3.2533524,9.023243
33,0.84615386,-10.327206,0.47567654,9.339918,3.2533524,9.023243
34,0.8717949,-18.389776,4.5093017,6.0376177,3.2533524,9.023243
35,0.8974359,-26.225914,-0.73400116,8.207321,3.2533524,9.023243
36,0.9230769,-30.527716,-0.7541004,21.65252,3.2533524,9.023243
37,0.94871795,-10.81266,-6.2074375,20.472048,3.2533524,9.023243
38,0.974359,2.7045898,-6.3199635,38.77957,3.2533524,9.023243
39,1.0,6.7898226,-20.285358,32.30005,3.2533524,9.023243
