index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-8.095781,-0.61445284
1,0.025641026,-0.043370787,-0.087794624,-0.112780705,-8.095781,-0.61445284
2,0.051282052,-0.045720153,-0.16788268,-0.12440439,-8.095781,-0.61445284
3,0.07692308,-0.14650099,-0.24836922,-0.124801226,-8.095781,-0.61445284
4,0.102564104,-0.10978238,-0.3697592,-0.09270867,-8.095781,-0.61445284
5,0.12820514,-0.13915609,-0.40746868,-0.17209333,-8.095781,-0.61445284
6,0.15384616,0.032325104,-0.5430244,-0.11693568,-8.095781,-0.61445284
7,0.17948718,0.18757771,-0.6088481,0.0013237074,-8.095781,-0.61445284
8,0.20512821,0.3811056,-0.5675385,-0.0122943055,-8.095781,-0.61445284
9,0.23076923,0.19780321,-0.5296043,0.015976898,-8.095781,-0.61445284
10,0.25641027,0.2797429,-0.7200342,-0.21605176,-8.095781,-0.61445284
11,0.2820513,-0.17732671,-0.69187677,-0.1887315,-8.095781,-0.61445284
12,0.30769232,-0.29662523,-0.95034,-0.60717607,-8.095781,-0.61445284
13,0.33333334,0.35764834,-1.4428401,-0.10876602,-8.095781,-0.61445284
14,0.35897437,0.42852023,-1.6488711,-0.20348288,-8.095781,-0.61445284
15,0.3846154,0.57042956,-1.9821032,0.24496506,-8.095781,-0.61445284
16,0.41025642,-0.3423921,-1.5218313,0.6388619,-8.095781,-0.61445284
17,0.43589744,-0.091345996,-2.2317812,0.72756964,-8.095781,-0.61445284
18,0.46153846,-0.14115849,-3.0134187,0.6019559,-8.095781,-0.61445284
19,0.4871795,0.08846451,-2.856989,1.1722775,-8.095781,-0.61445284
20,0.5128205,-0.67035526,-3.6908214,0.25181216,-8.095781,-0.61445284
21,0.5384615,0.54751927,-4.7215905,1.4222205,-8.095781,-0.61445284
22,0.56410253,-0.9404293,-4.7675934,1.1591557,-8.095781,-0.61445284
23,0.5897436,-0.14047569,-6.80735,0.5356109,-8.095781,-0.61445284
24,0.61538464,-2.970731,-6.1632633,0.24329442,-8.095781,-0.61445284
25,0.64102566,-4.2290096,-5.5812335,-0.3251866,-8.095781,-0.61445284
26,0.6666667,-3.9119387,-7.423258,0.95156133,-8.095781,-0.61445284
27,0.6923077,-3.6215723,-3.746396,1.6204834,-8.095781,-0.61445284
28,0.71794873,-6.414214,-6.863558,5.4486346,-8.095781,-0.61445284
29,0.74358976,-11.7388935,-9.236124,4.6698246,-8.095781,-0.61445284
30,0.7692308,-6.067908,-14.27492,2.3512893,-8.095781,-0.61445284
31,0.7948718,-9.981603,-16.876837,3.6765242,-8.095781,-0.61445284
32,0.82051283,-1.0488214,-15.322274,3.0771224,-8.095781,-0.61445284
33,0.84615386,-3.823551,-11.8128605,5.333775,-8.095781,-0.61445284
34,0.8717949,3.2301667,-0.5897274,10.333963,-8.095781,-0.61445284
35,0.8974359,-0.36071897,-9.287838,2.8847647,-8.095781,-0.61445284
36,0.9230769,-12.512003,-11.698407,8.28467,-8.095781,-0.61445284
37,0.94871795,-6.2180014,-34.318867,12.53718,-8.095781,-0.61445284
38,0.974359,-2.8992105,-32.456646,2.060689,-8.095781,-0.61445284
39,1.0,-2.8163862,-25.80681,-20.920105,-8.095781,-0.61445284
