index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-3.2421803,-3.4033306
1,0.025641026,-0.048966568,-0.1550207,-0.010346953,-3.2421803,-3.4033306
2,0.051282052,-0.036409773,-0.22177932,-0.006529556,-3.2421803,-3.4033306
3,0.07692308,-0.026053645,-0.22642213,-0.11615514,-3.2421803,-3.4033306
4,0.102564104,0.22150236,-0.14987002,0.026304744,-3.2421803,-3.4033306
5,0.12820514,0.29645926,-0.11546632,0.019636197,-3.2421803,-3.4033306
6,0.15384616,0.28445068,-0.15717992,0.1741171,-3.2421803,-3.4033306
7,0.17948718,0.5182308,-0.28320307,0.21895805,-3.2421803,-3.4033306
8,0.20512821,0.80727494,-0.16552472,0.28495288,-3.2421803,-3.4033306
9,0.23076923,0.54544747,-0.16913004,0.25551564,-3.2421803,-3.4033306
10,0.25641027,0.71564496,-0.10782146,-0.061819106,-3.2421803,-3.4033306
11,0.2820513,0.4838345,0.03306701,-0.19643515,-3.2421803,-3.4033306
12,0.30769232,0.6166259,-0.3534737,0.15082154,-3.2421803,-3.4033306
13,0.33333334,-0.16476357,-0.7610646,0.5623552,-3.2421803,-3.4033306
14,0.35897437,-0.65736437,-0.7471648,0.8461007,-3.2421803,-3.4033306
15,0.3846154,-0.64132136,-0.81864697,1.2852881,-3.2421803,-3.4033306
16,0.41025642,-1.0090032,-0.47621417,1.3950553,-3.2421803,-3.4033306
17,0.43589744,0.26316,-0.059088558,1.4053354,-3.2421803,-3.4033306
18,0.46153846,0.019138798,-1.3123415,1.5644866,-3.2421803,-3.4033306
19,0.4871795,-0.23863955,-1.4735148,1.73004,-3.2421803,-3.4033306
20,0.5128205,-1.0545233,-1.6373543,1.7445163,-3.2421803,-3.4033306
21,0.5384615,-1.4232879,-1.9817406,2.2716167,-3.2421803,-3.4033306
22,0.56410253,-0.94366395,-1.1927738,1.7284304,-3.2421803,-3.4033306
23,0.5897436,0.6812539,-0.42811632,1.3378549,-3.2421803,-3.4033306
24,0.61538464,0.8200877,-0.2637638,1.8397028,-3.2421803,-3.4033306
25,0.64102566,1.0932667,-0.6745515,-1.931678,-3.2421803,-3.4033306
26,0.6666667,-0.014691114,3.1901703,-1.8350267,-3.2421803,-3.4033306
27,0.6923077,-0.37996465,1.5588114,-0.7889507,-3.2421803,-3.4033306
28,0.71794873,2.8036585,-5.3242197,-1.533009,-3.2421803,-3.4033306
29,0.74358976,0.17591977,-8.512949,-4.8784533,-3.2421803,-3.4033306
30,0.7692308,-1.4641644,-5.0561886,-9.556405,-3.2421803,-3.4033306
31,0.7948718,-5.5316353,1.1821756,-12.213217,-3.2421803,-3.4033306
32,0.82051283,-4.218309,-1.9226608,-16.72273,-3.2421803,-3.4033306
33,0.84615386,2.3427515,-1.8053648,-12.398514,-3.2421803,-3.4033306
34,0.8717949,1.440182,-8.1580715,-6.927421,-3.2421803,-3.4033306
35,0.8974359,-5.6443396,-10.608326,-12.4482,-3.2421803,-3.4033306
36,0.9230769,-6.560768,-21.051586,-7.624003,-3.2421803,-3.4033306
37,0.94871795,-10.886555,-27.101437,1.3102317,-3.2421803,-3.4033306
38,0.974359,5.1785736,-56.4247,-10.326065,-3.2421803,-3.4033306
39,1.0,-0.2774949,-54.924065,8.939053,-3.2421803,-3.4033306
