index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,2.9221025,11.831623
1,0.025641026,0.035526656,0.050978564,-0.023585824,2.9221025,11.831623
2,0.051282052,0.13226447,0.059556402,-0.080650605,2.9221025,11.831623
3,0.07692308,0.061734512,-0.059260234,-0.07933623,2.9221025,11.831623
4,0.102564104,-0.0029266402,0.10640383,-0.25282645,2.9221025,11.831623
5,0.12820514,0.14623082,0.16217838,-0.22468309,2.9221025,11.831623
6,0.15384616,0.033970542,0.038434744,-0.23109084,2.9221025,11.831623
7,0.17948718,0.12587112,-0.15262327,-0.29496452,2.9221025,11.831623
8,0.20512821,0.118959814,-0.19703965,-0.4720701,2.9221025,11.831623
9,0.23076923,0.04288607,-0.3276978,-0.55812025,2.9221025,11.831623
10,0.25641027,0.21922424,-0.46101025,-0.36471954,2.9221025,11.831623
11,0.2820513,0.26025993,-0.34851503,-0.44736913,2.9221025,11.831623
12,0.30769232,0.0069753528,-0.76227695,0.07074037,2.9221025,11.831623
13,0.33333334,-0.20558324,-0.94767195,0.1644812,2.9221025,11.831623
14,0.35897437,-0.5932362,-1.7825941,0.24883416,2.9221025,11.831623
15,0.3846154,-1.1328874,-1.7706437,0.32938424,2.9221025,11.831623
16,0.41025642,-1.4534979,-1.8203729,0.43443632,2.9221025,11.831623
17,0.43589744,-0.5539319,-1.5144649,-0.07399237,2.9221025,11.831623
18,0.46153846,-0.9493239,-1.2794845,0.29451916,2.9221025,11.831623
19,0.4871795,-0.979192,-1.1034619,1.3708266,2.9221025,11.831623
20,0.5128205,-0.8578143,-1.336441,1.6482778,2.9221025,11.831623
21,0.5384615,-0.51058567,-3.4930212,2.0263772,2.9221025,11.831623
22,0.56410253,-0.3844162,-2.3225589,0.6348355,2.9221025,11.831623
23,0.5897436,1.565228,-1.5028539,-0.32400984,2.9221025,11.831623
24,0.61538464,2.8209782,0.1586852,-2.11388,2.9221025,11.831623
25,0.64102566,-0.032958984,-1.970866,2.345894,2.9221025,11.831623
26,0.6666667,-1.9835801,0.44193864,1.9674495,2.9221025,11.831623
27,0.6923077,-1.5624388,-3.230815,1.4156563,2.9221025,11.831623
28,0.71794873,-2.0618834,-5.8754225,6.804635,2.9221025,11.831623
29,0.74358976,-4.505666,-7.101675,7.8877788,2.9221025,11.831623
30,0.7692308,-0.8368759,-5.5414066,8.145592,2.9221025,11.831623
31,0.7948718,-0.29232794,-7.2103724,13.950927,2.9221025,11.831623
32,0.82051283,5.386364,-10.730318,23.868805,2.9221025,11.831623
33,0.84615386,0.473392,-3.88274,26.769457,2.9221025,11.831623
34,0.8717949,2.77763,-8.548589,39.331696,2.9221025,11.831623
35,0.8974359,7.004099,-13.816122,33.862144,2.9221025,11.831623
36,0.9230769,-0.044362545,-12.383032,28.990868,2.9221025,11.831623
37,0.94871795,0.05546333,-33.01174,20.57343,2.9221025,11.831623
38,0.974359,11.980432,-14.909252,25.389442,2.9221025,11.831623
39,1.0,-1.9425888,-12.5528555,26.0888,2.9221025,11.831623
