index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-1.316167,4.5131054
1,0.025641026,-0.020218793,-0.005022971,0.04119995,-1.316167,4.5131054
2,0.051282052,-0.056820367,-0.10999731,0.111767605,-1.316167,4.5131054
3,0.07692308,-0.09010738,-0.1503776,0.14081912,-1.316167,4.5131054
4,0.102564104,-0.31274307,-0.019142479,0.21608391,-1.316167,4.5131054
5,0.12820514,-0.35890156,-0.08541024,0.15862116,-1.316167,4.5131054
6,0.15384616,-0.29955235,-0.19336742,0.2842583,-1.316167,4.5131054
7,0.17948718,-0.4476728,-0.30836302,0.3579385,-1.316167,4.5131054
8,0.20512821,-0.38661084,-0.56143844,0.3535656,-1.316167,4.5131054
9,0.23076923,-0.2785061,-0.82414365,0.56141585,-1.316167,4.5131054
10,0.25641027,-0.43389183,-0.74880624,0.5187862,-1.316167,4.5131054
11,0.2820513,-0.28123152,-1.0097729,0.28467438,-1.316167,4.5131054
12,0.30769232,-0.31379968,-0.45506936,0.17493224,-1.316167,4.5131054
13,0.33333334,-0.58525085,-0.36539185,0.01076138,-1.316167,4.5131054
14,0.35897437,-0.2498374,-0.2572881,0.28487784,-1.316167,4.5131054
15,0.3846154,-0.66975737,-0.3475943,0.5688288,-1.316167,4.5131054
16,0.41025642,-0.7167117,-0.10081856,0.2942759,-1.316167,4.5131054
17,0.43589744,-0.8867229,0.4694628,1.1962309,-1.316167,4.5131054
18,0.46153846,-1.7093927,1.0959734,0.5904259,-1.316167,4.5131054
19,0.4871795,-2.2065022,0.03018403,-0.22010905,-1.316167,4.5131054
20,0.5128205,-1.5233636,-0.81932867,-1.0782368,-1.316167,4.5131054
21,0.5384615,-2.0150998,-1.6045134,-1.0310879,-1.316167,4.5131054
22,0.56410253,-2.5691347,-0.52845573,-0.92548335,-1.316167,4.5131054
23,0.5897436,-3.3724542,0.22156072,-1.9486861,-1.316167,4.5131054
24,0.61538464,-4.7425823,0.94429815,-4.183111,-1.316167,4.5131054
25,0.64102566,-7.859231,4.494799,-6.3744802,-1.316167,4.5131054
26,0.6666667,-9.213029,-0.23840237,-1.5032005,-1.316167,4.5131054
27,0.6923077,-9.22554,-0.61867285,-1.0904135,-1.316167,4.5131054
28,0.71794873,-8.785949,3.074915,-3.742465,-1.316167,4.5131054
29,0.74358976,-11.622923,3.9258754,1.8677101,-1.316167,4.5131054
30,0.7692308,-13.210586,3.302792,3.3941693,-1.316167,4.5131054
31,0.7948718,-9.857219,-0.6969235,3.8628366,-1.316167,4.5131054
32,0.82051283,-5.8715096,-2.5089402,4.050357,-1.316167,4.5131054
33,0.84615386,-7.9345818,1.8232718,2.772311,-1.316167,4.5131054
34,0.8717949,-15.429478,-8.705577,4.249332,-1.316167,4.5131054
35,0.8974359,-13.457618,-5.8967986,9.237852,-1.316167,4.5131054
36,0.9230769,-18.381594,-5.0850034,16.958414,-1.316167,4.5131054
37,0.94871795,-20.992277,-15.993858,15.242864,-1.316167,4.5131054
38,0.974359,-31.218872,-16.102976,14.552512,-1.316167,4.5131054
39,1.0,8.437115,-15.528723,-3.1548681,-1.316167,4.5131054
