index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.017267676,-0.049782425,-0.050831877,1.112024,0.47163668
2,0.051282052,0.07986958,-0.11578698,-0.009336717,1.6465169,0.6034038
3,0.07692308,0.015091032,0.054792576,-0.007822709,0.08504653,0.9048386
4,0.102564104,0.028214835,0.15225327,-0.047533445,0.85140526,1.625015
5,0.12820514,-0.021117806,0.19300428,-0.14865795,1.2688076,1.7945223
6,0.15384616,0.03850725,0.21254736,-0.0056211352,0.8938683,1.9445904
7,0.17948718,0.113845706,0.37677753,0.0043661017,1.7325869,2.1872225
8,0.20512821,0.034175925,0.10280827,0.12885049,0.66530335,2.458056
9,0.23076923,0.15166801,-0.20720282,0.22291431,1.328971,2.589249
10,0.25641027,-0.021286339,-0.30192047,0.26203656,0.6868385,2.622785
11,0.2820513,-0.29994148,0.14725435,0.43810877,0.43825164,2.8104343
12,0.30769232,-0.30365694,0.5680095,0.13173887,0.9904007,2.9122531
13,0.33333334,-0.35769123,0.26875758,-0.16484782,0.40109432,3.0049062
14,0.35897437,-0.01245296,0.5241847,0.256768,0.13864845,3.1627946
15,0.3846154,0.24688825,1.1858828,0.26101777,0.81812835,3.3509274
16,0.41025642,-0.0060150325,1.2787222,1.3653389,1.3012025,3.5310967
17,0.43589744,0.42248502,1.161191,1.2834762,0.8035497,3.7508752
18,0.46153846,1.310116,1.5117234,1.3936565,1.7066503,4.044673
19,0.4871795,0.8881098,1.9478469,2.1575618,1.8432784,4.1787434
20,0.5128205,0.025421798,-0.009316087,0.88066447,0.31428242,4.57752
21,0.5384615,0.17713672,-0.18250433,0.99680364,0.20422196,4.6440516
22,0.56410253,2.5122888,1.6041245,1.0603123,0.40151942,4.7376184
23,0.5897436,1.4945172,1.2869656,-0.63184905,0.03526622,5.3001432
24,0.61538464,4.4988184,0.0530504,-1.2502148,0.48315054,5.3230925
25,0.64102566,2.5884664,3.2233443,2.66632,0.5623134,5.5161557
26,0.6666667,3.2500148,-0.6013222,2.895146,0.4887072,5.818619
27,0.6923077,5.1439304,-1.332242,4.3538475,0.71853244,5.786309
28,0.71794873,3.8059382,4.0578814,-0.97732735,0.36297253,6.0017943
29,0.74358976,0.81124616,4.8117123,-4.0673447,0.61644036,6.0066133
30,0.7692308,2.1813703,8.136401,-9.387508,1.16255,6.142972
31,0.7948718,0.44790244,15.336546,-8.131228,1.6017531,6.200979
32,0.82051283,4.12671,8.414876,-6.7000113,0.4809178,6.2897863
33,0.84615386,3.4013493,5.9276876,9.717229,0.35513693,6.01491
34,0.8717949,-0.7799642,2.6694863,6.9320107,-0.13221657,5.834871
35,0.8974359,-0.018912971,5.763549,3.320148,0.69457376,6.9821672
36,0.9230769,7.254799,-7.837489,-14.238864,2.4577982,8.22807
37,0.94871795,12.029101,0.9222784,-15.28821,1.2713307,7.540796
38,0.974359,26.860767,-11.864024,-12.859104,2.3764687,8.792384
39,1.0,50.637917,-11.424975,3.012968,4.5247536,10.800598
