index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.027742691,-0.037921928,0.020639138,-0.25162295,0.072286375
2,0.051282052,0.07824418,-0.08226777,-0.03809581,0.2988676,0.17501438
3,0.07692308,0.032510106,-0.02500666,0.042685367,-0.4078736,0.28401974
4,0.102564104,0.1013293,0.06449927,-0.012208868,-0.028892606,0.3329799
5,0.12820514,0.19413713,-0.11868848,-0.029927703,0.19567129,0.3604279
6,0.15384616,0.087375656,-0.15914056,0.055480137,-0.2393434,0.38244686
7,0.17948718,0.013768047,0.19175753,0.017028742,-0.7687887,0.42960382
8,0.20512821,0.075520605,0.038996577,-0.16511786,-1.4267969,0.47071365
9,0.23076923,0.15177158,0.29409498,-0.13193068,-0.7195084,0.5095537
10,0.25641027,0.4059815,0.31152746,-0.030034445,-0.5063081,0.5624832
11,0.2820513,0.7419838,0.24373326,-0.15586028,0.076542854,0.59944975
12,0.30769232,0.597864,0.29744992,-0.5553328,0.11295043,0.57036954
13,0.33333334,1.0949591,0.3997443,-0.5557911,0.6441953,0.5233755
14,0.35897437,0.9076439,0.53677094,-0.8238884,0.30048826,0.4826279
15,0.3846154,1.1323528,0.5197835,-0.81809086,0.2646894,0.4562392
16,0.41025642,0.44874334,1.0401621,-0.8625606,-0.18185458,0.42886385
17,0.43589744,-0.06950474,0.70992696,-2.2436705,0.7260088,0.43391582
18,0.46153846,-0.26321742,0.6708644,-2.7550037,0.9891025,0.4874066
19,0.4871795,-0.53231704,1.3734115,-3.345374,1.6095753,0.5523472
20,0.5128205,0.44085371,1.2401099,-2.9010298,0.9061515,0.6301383
21,0.5384615,0.66033995,1.580185,-2.3911405,0.5306989,0.723007
22,0.56410253,0.12261093,3.0585718,-2.2949235,1.0815899,0.8001433
23,0.5897436,0.6650623,4.990884,-3.7662277,2.0543962,0.89209545
24,0.61538464,-0.6784028,3.7616496,-5.3446703,2.0658672,1.0358549
25,0.64102566,-3.4704018,7.006272,-5.394861,3.398112,1.208368
26,0.6666667,-5.524573,5.931216,-4.3442926,3.3921578,1.3082012
27,0.6923077,-9.363664,10.189625,-4.132509,4.780527,1.3554958
28,0.71794873,-8.920155,7.947688,0.22977877,4.226311,1.3694015
29,0.74358976,-8.405866,13.363176,-3.2071984,4.482135,1.4244518
30,0.7692308,-10.893226,16.5449,-3.715038,4.9626317,1.5078944
31,0.7948718,-10.316412,10.099497,-7.4918036,4.0030704,1.5962881
32,0.82051283,-12.31638,5.5008593,-6.5527267,3.63688,1.6753466
33,0.84615386,-8.902908,13.994142,-0.036014557,3.8198657,1.7658454
34,0.8717949,-5.179087,7.879625,-4.352122,3.1571655,2.0586393
35,0.8974359,3.6997867,-2.2981305,-15.646929,3.645182,2.5038133
36,0.9230769,5.5281825,-20.069126,-3.6918898,4.001932,2.5571575
37,0.94871795,16.749138,-34.459343,-0.6262412,4.720384,2.570987
38,0.974359,11.310848,-51.554077,10.720818,5.615582,2.5739012
39,1.0,30.612831,-46.447754,14.466171,4.801943,2.5760093
