index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.06409176,0.020562619,-0.022173632,-0.5535263,0.027480505
2,0.051282052,-0.12097664,0.046880323,-0.05996339,-1.2767282,0.070997216
3,0.07692308,-0.13470124,-0.01765627,-0.009671815,-0.74872285,0.15068226
4,0.102564104,-0.21341553,0.051562455,-0.1308235,-1.1436845,0.31646407
5,0.12820514,-0.27685916,0.11234623,-0.17923209,-0.98542666,0.5006847
6,0.15384616,-0.16071142,-0.02922751,-0.1559224,-1.6420898,0.5945622
7,0.17948718,-0.17402744,-0.14112091,-0.10588028,-1.2794855,0.6647957
8,0.20512821,0.054428354,-0.3214969,-0.16587067,-0.9694222,0.6933692
9,0.23076923,0.40666348,-0.50058126,-0.44823125,-0.6600952,0.7134402
10,0.25641027,0.37301162,-0.35883197,-0.5447289,-1.5686293,0.7383461
11,0.2820513,0.26587087,-0.022582501,-0.55948085,-2.213225,0.8561887
12,0.30769232,0.29859972,0.2814109,-0.22344387,-2.6606333,1.0573332
13,0.33333334,-0.4372363,-0.042437285,0.14726862,-2.203733,1.414676
14,0.35897437,-0.08972624,0.04634647,0.49415666,-2.0042822,1.5518304
15,0.3846154,-0.08106356,-0.05951968,0.84082025,-1.7352599,1.61491
16,0.41025642,0.51550406,1.0399214,0.8335537,-1.2878053,1.7284472
17,0.43589744,0.50430167,1.4636586,0.561672,-1.0103091,1.7606714
18,0.46153846,-0.4324445,0.43141973,-0.03735125,-2.168137,1.8443388
19,0.4871795,-0.19361477,1.185147,0.50568026,-1.74667,1.9791195
20,0.5128205,1.1002837,1.244632,0.04636681,-2.0711873,2.034254
21,0.5384615,1.190223,3.2480319,0.010257609,-1.169685,2.074284
22,0.56410253,0.82575995,4.066349,-0.18999916,-1.7002959,1.4813342
23,0.5897436,0.6440796,2.2228568,0.005393654,-3.3616607,1.0601587
24,0.61538464,1.1695607,-0.31866455,1.0370078,-4.017258,1.1403571
25,0.64102566,2.0220523,-3.0084891,3.6453638,-3.0195217,1.0223185
26,0.6666667,4.9625,-3.4179955,1.4444616,-4.1874666,0.7950017
27,0.6923077,3.461245,3.825059,0.6839057,-4.3088417,0.5680608
28,0.71794873,3.396067,4.5522995,-2.1586647,-5.8030376,-0.05493319
29,0.74358976,0.114557266,3.5847528,5.5484533,-5.4438853,-0.6298235
30,0.7692308,-3.3401828,-0.1437881,5.734488,-5.457104,-0.17581335
31,0.7948718,-4.242859,3.9177043,9.128353,-5.2527733,-0.2847083
32,0.82051283,-2.8405309,5.9454727,12.319157,-5.059955,-0.27268475
33,0.84615386,-8.675775,2.9770758,8.798434,-5.6029496,-0.17450354
34,0.8717949,-4.7321477,-0.22501445,16.223413,-5.1955714,-0.20092975
35,0.8974359,-5.316904,-8.39014,16.045279,-5.5399237,-0.21257621
36,0.9230769,-0.3050933,-8.972681,23.09845,-5.2723236,-0.21055327
37,0.94871795,-25.570034,-22.777523,15.2717905,-5.8111486,-0.22261186
38,0.974359,-27.97477,-33.918083,35.34206,-7.32818,-0.22247179
39,1.0,-53.385555,-36.057083,27.900417,-7.9162397,-0.2224405
