index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.08001807,-0.0023245802,0.015831573,0.22969216,-0.002834352
2,0.051282052,-0.10872143,0.030928236,-0.043840677,-0.5530915,-0.005363291
3,0.07692308,-0.11788461,-0.023108862,0.046405405,-0.09267384,-0.008884046
4,0.102564104,-0.19506517,0.05840031,-0.02402135,-0.9095581,-0.01202554
5,0.12820514,-0.24202962,-0.033683904,0.065241426,-0.2902364,-0.015628811
6,0.15384616,-0.18748155,-0.02305622,-0.12881774,-1.186373,-0.015826747
7,0.17948718,-0.19696032,-0.0024648048,-0.09138458,-1.5675389,-0.0063695237
8,0.20512821,0.011534438,0.02079551,-0.09982506,-2.6829424,-0.00080645597
9,0.23076923,-0.20853639,-0.0019940306,0.016740508,-2.3018842,-0.0023795622
10,0.25641027,-0.1923353,0.15463598,0.23057088,-2.8367689,-0.023237389
11,0.2820513,0.20893665,0.12296291,0.335943,-3.2434692,-0.049151678
12,0.30769232,-0.1606882,0.05244512,0.4441163,-3.0069432,-0.07692303
13,0.33333334,-0.5026315,0.24538988,0.46625814,-3.369716,-0.1325885
14,0.35897437,-0.72051126,0.36205912,0.0059843957,-4.4186954,-0.19935304
15,0.3846154,-0.6652749,0.5200121,-0.4711977,-5.4281487,-0.2397072
16,0.41025642,0.057304144,0.15845981,-0.84319127,-5.6381564,-0.23924184
17,0.43589744,-0.2759381,0.959494,-1.7668269,-5.2214723,-0.25182176
18,0.46153846,0.20061576,0.16637635,-2.0728996,-5.773486,-0.24880596
19,0.4871795,0.65776145,-0.5147904,-1.895196,-6.499893,-0.24211404
20,0.5128205,0.46156624,-0.0009778738,-2.8707204,-6.2789626,-0.23623565
21,0.5384615,1.4605877,0.11709322,-5.2912707,-5.808318,-0.26516348
22,0.56410253,0.4010067,-0.7841806,-6.5994034,-4.883499,-0.20412672
23,0.5897436,-0.7887094,0.29240578,-7.1164284,-4.6970625,-0.145374
24,0.61538464,-4.3672037,1.5832009,-7.391436,-3.9148476,-0.122858316
25,0.64102566,-3.1322923,6.1002283,-9.46162,-3.2031958,-0.12092731
26,0.6666667,-7.563217,0.32902813,-11.68617,-2.7663434,-0.1244185
27,0.6923077,-4.4374704,-0.17668247,-11.49653,-3.4223557,-0.13347039
28,0.71794873,-6.4317007,0.33292347,-10.640405,-3.7418501,-0.1432298
29,0.74358976,-8.368252,6.709904,-7.154492,-4.0631485,-0.14196946
30,0.7692308,-1.222745,8.880987,-9.216864,-4.4991026,-0.12353715
31,0.7948718,-3.7209616,14.246763,-10.725144,-3.918667,-0.09530801
32,0.82051283,0.6220865,12.852726,-15.525616,-4.094709,0.0018749908
33,0.84615386,-0.11300826,3.0200825,-18.492247,-3.849403,0.15390036
34,0.8717949,3.4911306,6.1560335,-29.21386,-3.5747263,0.2894376
35,0.8974359,2.7983677,1.7276244,-31.982021,-3.5088503,0.32307047
36,0.9230769,-6.459956,-5.944404,-25.896282,-3.228783,0.33304974
37,0.94871795,7.428706,3.7280207,-25.391518,-3.9881034,0.53502774
38,0.974359,6.84381,-7.189538,-13.7161045,-4.609688,0.76811343
39,1.0,14.205009,5.4380426,-3.6402388,-5.2138085,1.0133585
