index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.047800846,0.063172445,-0.078788,-0.20369267,0.04898318
2,0.051282052,0.013287857,0.0123964995,-0.05257818,-0.6340673,0.101531744
3,0.07692308,0.07444286,0.059172116,0.028650627,-0.93363297,0.17550793
4,0.102564104,0.06414421,0.088504836,0.026742866,-0.9235373,0.27395332
5,0.12820514,0.12976094,0.25965732,0.13259338,0.1444053,0.36188877
6,0.15384616,0.06606286,0.29136217,0.11015004,0.2197243,0.45458257
7,0.17948718,0.22614223,0.3575616,0.19787338,0.034700125,0.5597628
8,0.20512821,0.4335998,0.2560069,0.09424402,-0.8475425,0.6731298
9,0.23076923,0.6353583,0.18899354,-0.18010513,-0.8582325,0.76829743
10,0.25641027,0.4556601,0.020477533,-0.09822533,-1.9853141,0.90555334
11,0.2820513,0.5745584,0.2015163,-0.04197888,-1.5006249,1.0546043
12,0.30769232,0.13131595,0.19434135,-0.25063923,-1.3237058,1.2517632
13,0.33333334,0.569034,0.21301731,0.035235614,-1.7389631,1.4664317
14,0.35897437,1.0962365,0.42617407,0.24278316,-0.92474264,1.6233467
15,0.3846154,1.302533,0.11508897,0.77841914,-0.76844835,1.7114611
16,0.41025642,1.367368,1.1621519,0.696208,0.09445739,1.7870486
17,0.43589744,1.7240809,0.9945606,1.2204428,0.16259542,1.8531295
18,0.46153846,1.1440849,1.1379292,2.177805,0.58042765,1.9098707
19,0.4871795,1.122226,1.758811,3.9915957,2.101789,1.9504347
20,0.5128205,-0.14190924,1.450566,4.7861,1.9689206,1.9939727
21,0.5384615,0.232548,2.5080047,7.4219747,3.8367467,2.0479817
22,0.56410253,0.039911866,3.7608151,6.7992015,3.2702568,2.0714557
23,0.5897436,0.7779977,5.597259,6.2077026,3.077733,2.1057506
24,0.61538464,1.1424601,7.5072384,7.6193914,3.7851825,2.1797721
25,0.64102566,1.601497,6.7309766,7.0162516,3.2783246,2.2745638
26,0.6666667,4.1931453,5.9972615,6.8261547,3.2598443,2.377284
27,0.6923077,6.544585,4.991416,7.936657,3.703739,2.4677937
28,0.71794873,6.981488,-0.7996993,5.804714,3.02838,2.5748205
29,0.74358976,9.490435,-5.3611026,3.5908082,3.1174073,2.5632305
30,0.7692308,14.5027075,-4.483738,4.7189827,3.7027466,2.5157263
31,0.7948718,21.338882,-6.9655333,-0.46110344,4.459606,2.5174801
32,0.82051283,19.64761,-8.24188,10.675007,4.1786027,2.555025
33,0.84615386,9.665812,-4.5973396,12.533231,2.6008568,2.4612257
34,0.8717949,15.734596,-16.568684,12.134255,2.9710898,2.305032
35,0.8974359,18.11666,-12.435495,16.407131,2.848837,2.3278394
36,0.9230769,7.1702185,-12.565549,8.9031315,1.3932086,2.121514
37,0.94871795,-15.213307,-8.4989605,18.42329,0.95621836,2.1222155
38,0.974359,-5.5099306,-8.822188,-4.9960537,3.2735896,4.5468307
39,1.0,6.2644157,-9.93533,-7.3831215,4.0841928,5.6261873
