index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.034946427,-0.039071113,0.052627042,0.11671352,0.09074207
2,0.051282052,0.06910777,-0.0031799935,0.054194383,0.24767163,0.17184801
3,0.07692308,0.040028416,-0.034686133,-0.085779615,0.3066759,0.21136433
4,0.102564104,0.038708437,0.028190047,0.0036935583,-0.64600176,0.2626023
5,0.12820514,-0.034557227,0.0830176,-0.017074455,-0.7443851,0.46329466
6,0.15384616,-0.01212015,0.042583745,-0.35709,-0.63781494,0.5247165
7,0.17948718,0.18268043,0.09466268,-0.3792691,-0.50858676,0.5796582
8,0.20512821,0.1007437,0.14241049,-0.48295063,-0.35873035,0.6468014
9,0.23076923,0.20005259,-0.14084497,-0.40459254,-1.2798026,0.72814214
10,0.25641027,0.3226874,-0.011351362,-0.44360316,-1.1416484,0.8248137
11,0.2820513,0.303982,-0.2216068,-0.408265,-1.7138834,0.9449835
12,0.30769232,0.1068441,-0.12398121,-0.64352334,-1.4279282,1.0690681
13,0.33333334,0.3225258,-0.080632396,-0.6028289,-1.5139533,1.2400795
14,0.35897437,0.2845424,-0.40493536,-0.5139884,-1.9418342,1.4294257
15,0.3846154,-0.16551408,-0.56259894,-0.63270956,-2.1455388,1.5451345
16,0.41025642,-0.11555165,-0.28422162,0.10955399,-3.3341117,1.790058
17,0.43589744,-0.5859513,-0.24966943,0.15778972,-3.677922,1.9405433
18,0.46153846,-0.1690796,-0.74543136,-0.061903313,-3.1996517,2.063721
19,0.4871795,-0.31783137,-1.0120269,1.2225928,-3.2628243,2.1161058
20,0.5128205,-0.7694504,-1.4822166,2.3403997,-2.665941,2.1884584
21,0.5384615,0.9872451,-1.0974426,1.6857684,-3.566142,2.503016
22,0.56410253,0.737026,1.4044833,1.7637103,-3.6220968,3.0072196
23,0.5897436,-1.8455167,1.302533,1.7941124,-3.5087469,3.2004986
24,0.61538464,-0.13779676,3.9142284,1.2839102,-3.6243093,3.2650769
25,0.64102566,-0.662429,6.7932224,-1.5637413,-3.4146407,3.3675036
26,0.6666667,-2.0523198,6.0364256,-2.6266947,-3.8219674,3.377513
27,0.6923077,-1.1161766,7.8930664,-3.065348,-3.7869654,3.4021091
28,0.71794873,2.4011323,10.852136,0.106291056,-3.7226677,3.42012
29,0.74358976,4.1078644,8.142029,6.297735,-4.771858,3.4448147
30,0.7692308,1.5436645,2.9629583,12.525112,-5.1173906,3.4908915
31,0.7948718,2.400916,3.5715344,13.879793,-5.3227754,3.531795
32,0.82051283,-2.2574553,5.036697,15.617626,-4.8819137,3.5648894
33,0.84615386,-4.6959305,-1.1768546,16.110828,-5.062655,3.579784
34,0.8717949,-7.2171345,9.103722,11.349278,-5.114187,3.584496
35,0.8974359,4.0601616,13.479212,9.515445,-5.9274554,3.6258547
36,0.9230769,2.8734355,19.966103,19.8317,-5.341035,3.698744
37,0.94871795,-1.5893645,26.250244,39.26036,-4.906965,3.696564
38,0.974359,-15.570723,13.395346,22.582335,-6.312665,3.6965878
39,1.0,-7.46381,3.3475323,32.477264,-6.4178205,3.6402247
