index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.015729684,-0.02474406,-0.025877375,0.069880724,0.0050327205
2,0.051282052,0.15383236,-0.06587246,-0.06651467,1.5806535,0.011737883
3,0.07692308,0.12293065,-0.07914391,-0.17567246,1.4611864,0.020434864
4,0.102564104,-0.013246514,-0.11883521,-0.2613504,0.5158191,0.029769372
5,0.12820514,0.047711335,-0.22451907,-0.09285034,0.52150077,0.04013983
6,0.15384616,0.0025533438,-0.241694,-0.08022347,-0.07141465,0.051073574
7,0.17948718,-0.05452258,-0.35660562,0.01003965,-0.4898571,0.06374788
8,0.20512821,-0.13872917,-0.26588303,-0.0084376,-1.3868791,0.07479343
9,0.23076923,-0.12847266,-0.12633303,0.31582913,-1.9572458,0.08712721
10,0.25641027,-0.3176219,0.019098938,0.51305497,-3.139481,0.102889195
11,0.2820513,-0.12324399,-0.6149393,0.55977786,-2.208611,0.12083916
12,0.30769232,0.030374855,-0.79524,0.9411901,-1.7626342,0.13932002
13,0.33333334,0.11849722,-0.60921353,0.91901666,-2.122502,0.16066924
14,0.35897437,0.24564417,-0.57606703,0.44467664,-2.1491022,0.19775003
15,0.3846154,0.6988879,-0.886135,0.38743857,-1.450815,0.24391815
16,0.41025642,0.4397449,-1.208113,0.4803854,-1.7886015,0.29332596
17,0.43589744,-0.41054738,-1.4031507,0.70267594,-2.7024357,0.33592936
18,0.46153846,-0.91085994,-0.7255102,-0.36350155,-4.063799,0.37449694
19,0.4871795,-2.1052933,-0.88872874,-0.20274112,-5.307083,0.40945023
20,0.5128205,-2.5361624,-2.5140872,-0.2707417,-4.8940926,0.4826407
21,0.5384615,-2.7068965,-2.9320672,0.46464634,-4.7779884,0.5366084
22,0.56410253,-1.7729163,-5.8461475,-1.1656096,-3.4121752,0.55239713
23,0.5897436,-2.1104784,-3.9470277,-2.0123696,-4.7224026,0.6202053
24,0.61538464,-2.4845881,-4.126223,-1.9535367,-4.946578,0.7228579
25,0.64102566,-3.429315,-6.1474915,-2.7527966,-4.750268,0.8268842
26,0.6666667,-0.49916434,-7.050769,-6.528901,-3.572728,1.0297301
27,0.6923077,-7.02351,-3.483298,-9.061899,-4.218236,1.1471465
28,0.71794873,-3.978945,-1.8948395,-13.580902,-3.3830523,1.2191738
29,0.74358976,-7.7391596,1.0828824,-13.920339,-3.8962932,1.1761723
30,0.7692308,-5.802303,-6.395741,-8.978456,-4.8549323,1.00045
31,0.7948718,-3.2500958,3.2739677,-13.462675,-4.4806237,0.98303753
32,0.82051283,-5.6932964,5.466283,-19.513166,-4.254989,0.9547744
33,0.84615386,-12.963776,17.850925,-14.183538,-4.9977045,0.7906723
34,0.8717949,-9.908667,12.368728,-18.505358,-5.2034273,0.6784846
35,0.8974359,-3.648139,14.492697,-19.99888,-5.552318,0.46366414
36,0.9230769,-6.785121,21.833225,-33.24588,-4.668624,0.4562114
37,0.94871795,-0.96967936,14.713846,-32.658585,-5.190464,0.43871775
38,0.974359,-18.096676,11.257015,-31.61739,-5.3476624,0.46070495
39,1.0,4.7993965,28.684736,-32.87076,-5.4817877,0.47365808
