index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.1287429,-0.023632882,-0.09188045,0.91416526,0.0068205493
2,0.051282052,-0.15117846,0.0055864453,-0.18717337,1.1830735,0.015137413
3,0.07692308,-0.2018412,0.023963284,-0.13129143,1.2773725,0.02482919
4,0.102564104,-0.17883696,-0.008493496,-0.06948778,0.46749938,0.035849515
5,0.12820514,-0.2809609,0.06517865,-0.012301147,1.0655761,0.048487585
6,0.15384616,-0.35275617,-0.11937201,-0.00011986401,0.18072253,0.06360837
7,0.17948718,-0.32505232,-0.27136183,-0.082982495,-0.83453435,0.081867054
8,0.20512821,-0.3847608,-0.10382226,-0.08758287,-0.35033447,0.10269874
9,0.23076923,0.035315156,0.17316745,0.040043727,-1.2081964,0.12471292
10,0.25641027,0.53599113,0.06084673,0.11279638,-3.1725125,0.15014593
11,0.2820513,0.56850266,0.016092218,0.42672062,-3.7790573,0.18146883
12,0.30769232,0.83975446,-0.46486995,0.8191253,-5.766738,0.2193678
13,0.33333334,0.6447159,0.107048064,1.0135654,-4.744094,0.26362118
14,0.35897437,1.0272048,0.7268045,0.8490261,-4.508646,0.3119674
15,0.3846154,1.435496,0.5776756,1.469804,-5.565214,0.3672007
16,0.41025642,0.32268333,0.2784357,0.2550546,-4.885797,0.43144226
17,0.43589744,0.8105953,0.36846504,0.18453763,-5.45681,0.5036944
18,0.46153846,1.5011827,-0.97348225,0.48611128,-7.4358783,0.60102385
19,0.4871795,1.6254734,-0.24561042,0.60954714,-7.1778784,0.72337
20,0.5128205,0.8404093,0.26412284,0.11639446,-6.5552254,0.85125536
21,0.5384615,0.02789414,0.8486587,-0.04547733,-6.0261483,0.97273535
22,0.56410253,1.8529326,2.6538477,1.543678,-6.0751004,1.1235127
23,0.5897436,0.7181109,-1.3140314,1.6911104,-7.6710052,1.2909194
24,0.61538464,-0.13271952,-1.2449045,2.409481,-7.5613303,1.455222
25,0.64102566,-0.7927552,-2.2487156,4.5659084,-7.875398,1.6065522
26,0.6666667,-1.4136252,0.50986576,8.094927,-7.07497,1.8033972
27,0.6923077,-0.79673725,2.0170126,5.4392023,-6.9531217,2.042005
28,0.71794873,3.9186254,1.2679589,4.563984,-7.713024,2.3596516
29,0.74358976,7.8418508,1.6624795,8.701132,-7.9368405,2.8240533
30,0.7692308,6.080738,0.29406273,5.5714355,-7.723278,3.3592813
31,0.7948718,3.1312633,3.9130626,-2.644362,-6.3332434,3.9613254
32,0.82051283,8.273311,7.2615767,4.4827256,-5.9681883,4.7133336
33,0.84615386,3.1266236,4.3278213,-1.7182288,-5.257296,5.6168494
34,0.8717949,-0.99268484,15.392662,0.7496271,-3.3579378,6.692096
35,0.8974359,4.714845,15.949048,0.2546842,-1.3630669,9.114671
36,0.9230769,-12.192838,20.37361,-1.8018563,1.8931277,11.588306
37,0.94871795,-5.924328,44.486248,-12.21385,5.5372667,14.993156
38,0.974359,-43.72475,76.71875,-5.2084246,10.309673,17.566877
39,1.0,-43.956806,90.100525,-5.2602086,9.577267,17.288572
