index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.043764856,-0.027591482,-0.05771414,-0.013457991,0.028201275
2,0.051282052,-0.09133966,-0.05924961,-0.21014312,-0.38545915,0.058249637
3,0.07692308,-0.095046915,0.04504905,-0.17573595,-0.31465387,0.09372785
4,0.102564104,-0.07710003,0.038369533,-0.2223697,-0.9705127,0.14188564
5,0.12820514,-0.025212705,0.054121792,-0.40314138,-1.2954543,0.19461206
6,0.15384616,-0.09262228,0.10895033,-0.28831372,-1.3344584,0.2871711
7,0.17948718,0.13252887,0.12084334,-0.3355855,-0.87104094,0.36173987
8,0.20512821,0.038830593,0.047813,-0.13043,-1.803834,0.3713712
9,0.23076923,0.18558322,0.08039604,-0.059116773,-1.4656365,0.38806334
10,0.25641027,0.1745098,0.26951426,0.27413583,-1.071267,0.4592199
11,0.2820513,0.11234844,-0.17032698,0.2907326,-1.8552287,0.5183115
12,0.30769232,0.11256083,-0.3220594,0.24441443,-2.1586993,0.58622456
13,0.33333334,0.22124857,-0.5676551,0.07200019,-2.213454,0.6093148
14,0.35897437,0.21921115,-0.6022214,-0.03413205,-2.6179016,0.5756596
15,0.3846154,-0.024889573,-0.16576076,-0.07942651,-3.31566,0.6132947
16,0.41025642,-0.06610697,-0.24546196,-0.7226306,-3.6604805,0.75268614
17,0.43589744,-0.35087365,-0.50013036,0.21654749,-3.0427563,0.9901126
18,0.46153846,-0.08983332,-0.5056669,0.21595299,-3.4996946,1.1536268
19,0.4871795,0.44515812,-0.47985435,0.0140785575,-3.4018466,1.1845485
20,0.5128205,1.2791258,-1.4274224,-0.04817517,-2.9411469,1.2981001
21,0.5384615,1.9060473,-0.2806753,-1.7497648,-2.7962902,1.3518502
22,0.56410253,1.6364727,-1.4840789,-0.016504765,-3.1557362,1.3742217
23,0.5897436,0.5577272,-2.6536503,-1.2651075,-3.1252093,1.4761637
24,0.61538464,-0.07982707,-5.174287,1.8930722,-2.3233373,1.6439315
25,0.64102566,-1.4701762,-1.6756759,1.8338699,-3.3757699,2.0052216
26,0.6666667,1.2532326,0.70795274,4.310661,-2.8262854,2.2855296
27,0.6923077,-0.33565676,0.45094794,5.1724987,-2.8377142,2.2736967
28,0.71794873,-3.7481208,-0.7848068,5.3036585,-2.6197658,2.2578177
29,0.74358976,-4.6279564,-0.49606645,1.8789856,-3.069629,2.387653
30,0.7692308,-8.951934,0.7799846,2.9442782,-2.4148266,2.4806094
31,0.7948718,-1.7950916,2.8704867,6.793376,-2.5117054,3.0513089
32,0.82051283,-2.8407378,6.8380165,7.0053015,-2.3025944,3.1221137
33,0.84615386,-11.672527,3.755824,3.0439076,-2.2731416,3.1476347
34,0.8717949,-16.345106,18.314571,5.183009,-1.3113439,3.1718152
35,0.8974359,-22.17132,27.113495,13.280564,-1.7808552,3.172337
36,0.9230769,-24.765253,10.315105,20.612686,-3.1578214,3.1733606
37,0.94871795,-17.20662,21.101189,39.18901,-4.1738653,3.174858
38,0.974359,-4.205654,5.8804245,42.624714,-5.046576,3.1781013
39,1.0,-2.030544,-4.0022564,38.875595,-5.5252705,3.210375
