index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.031191198,0.056486033,-0.017365675,-0.55203426,3.4760365e-06
2,0.051282052,-0.05693312,0.09511647,-0.061326478,-0.8978192,7.1483882e-06
3,0.07692308,-0.14537372,0.1422729,-0.12929866,-0.7851965,1.5863032e-05
4,0.102564104,-0.09111628,0.0814832,-0.05818811,-1.2795043,2.7279639e-05
5,0.12820514,-0.09181175,0.1439493,-0.15155509,-1.780952,3.4232256e-05
6,0.15384616,-0.03248405,0.26087192,-0.12479147,-3.0468087,3.9624465e-05
7,0.17948718,0.18098965,0.1468887,-0.048800573,-3.8748877,4.862751e-05
8,0.20512821,0.22262491,0.21213621,-0.24418978,-4.298124,5.900931e-05
9,0.23076923,0.32857394,0.2859249,-0.072944894,-5.3951817,6.8476606e-05
10,0.25641027,0.7297609,-0.13760418,-0.12111673,-5.530787,9.303751e-05
11,0.2820513,1.1342173,-0.03206922,-0.35472763,-6.7618113,0.00011221305
12,0.30769232,1.5620718,-0.32071054,-0.4585507,-7.2301927,0.00013908467
13,0.33333334,1.4111555,0.13697544,-1.3107185,-7.513919,0.00014689422
14,0.35897437,1.5093824,0.6091213,-0.8363404,-8.98433,0.00016252532
15,0.3846154,1.7286788,0.48174536,-1.3914,-9.112788,0.00023041913
16,0.41025642,2.5144124,0.58913475,-2.0065656,-10.063405,0.0002708589
17,0.43589744,3.155909,0.50805664,-1.6093352,-11.025727,0.00030544482
18,0.46153846,3.6024969,-1.1787381,-3.0824656,-9.802983,0.00038714882
19,0.4871795,4.154718,-1.033425,-3.1715872,-10.57118,0.0005037455
20,0.5128205,5.808619,0.4987911,-3.0092282,-12.829757,0.0005637675
21,0.5384615,5.7000585,-0.7129905,-1.4430339,-12.815274,0.0006261047
22,0.56410253,3.6223738,-1.0351696,-0.4741761,-12.3138275,0.00071801234
23,0.5897436,3.656738,0.3887502,1.3203616,-13.507641,0.00075545965
24,0.61538464,2.0985866,0.9252001,2.2165928,-13.652377,0.0008215151
25,0.64102566,4.872384,-0.6938437,2.1985557,-14.2146015,0.001024041
26,0.6666667,2.828546,-0.5680322,1.5771317,-14.028123,0.0012600448
27,0.6923077,0.93562245,-1.4433239,6.743624,-14.2284,0.0014345874
28,0.71794873,3.8794708,-0.8055489,5.9644976,-15.052807,0.0016671333
29,0.74358976,6.3617783,2.383602,4.4607058,-16.075083,0.00183388
30,0.7692308,-1.6201944,-2.5109036,2.805009,-14.666835,0.0020334623
31,0.7948718,-2.2834501,-1.212853,2.6119456,-15.018659,0.002367426
32,0.82051283,-1.6704905,4.926524,1.4821001,-15.91283,0.002926635
33,0.84615386,13.309217,-4.1567116,-8.91629,-16.219227,0.003266822
34,0.8717949,21.239046,-0.92367315,-6.6614113,-17.351896,0.0037692115
35,0.8974359,23.337376,1.2273707,-5.351617,-17.9459,0.004751779
36,0.9230769,21.432701,8.3345785,-4.9062867,-18.55704,0.0054176743
37,0.94871795,26.248066,26.42789,-19.336893,-19.635849,0.0066540604
38,0.974359,10.477389,29.852951,-33.361267,-19.232824,0.00727869
39,1.0,20.160824,31.178743,-40.348106,-19.760187,0.009204434
