index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.0028211814,-0.04000562,-0.05936326,-0.9256481,0.0040397216
2,0.051282052,-0.056842737,-0.037529036,-0.081100054,-1.0219657,0.008209428
3,0.07692308,-0.12368153,-0.0026083067,-0.18369114,-0.8510059,0.013511272
4,0.102564104,-0.1336974,-0.12001761,-0.21231751,-2.2281032,0.019945528
5,0.12820514,-0.002960369,0.0410263,-0.48270285,-1.6065342,0.02727297
6,0.15384616,0.10280837,0.055188738,-0.43220273,-2.1799526,0.037223402
7,0.17948718,0.35150313,0.2755216,-0.35629803,-2.0112247,0.048792936
8,0.20512821,0.38615626,0.50872105,-0.2543769,-1.2873278,0.06312921
9,0.23076923,0.5190704,0.48287696,-0.20549154,-1.8605361,0.077775225
10,0.25641027,0.5314433,0.29749864,-0.24843888,-2.8507314,0.09744409
11,0.2820513,0.69092965,0.07360074,-0.12561828,-4.09682,0.12078195
12,0.30769232,0.5168728,0.06924476,-0.20581138,-4.1829963,0.15301019
13,0.33333334,1.2045616,-0.25449038,0.28582597,-6.0947237,0.19788983
14,0.35897437,1.2613777,-0.49995,0.6417099,-6.736433,0.23214038
15,0.3846154,1.3561122,-0.35972333,0.71549994,-6.8236217,0.27124178
16,0.41025642,1.2126518,-0.3146407,0.70929635,-6.970889,0.3029585
17,0.43589744,1.3150104,-0.7287793,0.35581154,-7.867261,0.35572335
18,0.46153846,1.7016206,0.13967699,0.24521759,-7.373899,0.40708598
19,0.4871795,1.9616419,0.050928645,-0.6560632,-7.786483,0.46419325
20,0.5128205,1.2573438,-1.016089,-0.035972595,-8.710133,0.5829884
21,0.5384615,2.4651823,-0.6319839,-0.6056596,-8.880826,0.71959823
22,0.56410253,3.2874422,-0.048638523,-0.5299919,-8.705612,0.9112778
23,0.5897436,4.2136984,3.2637105,-0.73777014,-7.0451713,1.0159627
24,0.61538464,4.9570913,3.1563003,-4.5591636,-6.34071,1.2420291
25,0.64102566,1.0008311,3.9899786,-6.4852967,-5.917254,1.376506
26,0.6666667,1.1656022,6.4270525,-9.799232,-4.9070196,1.4519559
27,0.6923077,-0.23743951,8.577101,-9.331015,-5.374631,1.5221597
28,0.71794873,-0.7439313,5.608558,-7.4419203,-6.05241,1.6165218
29,0.74358976,6.779635,7.869623,-6.4076552,-6.0071335,1.805745
30,0.7692308,3.9913964,9.473374,-11.773014,-5.2417564,2.0048027
31,0.7948718,1.2720301,8.859583,-17.890476,-4.5069194,2.1003182
32,0.82051283,2.073166,10.783087,-17.364141,-4.6287527,2.3079507
33,0.84615386,4.007246,15.286776,-30.72278,-3.036618,2.521781
34,0.8717949,3.801228,14.160368,-27.1098,-3.3338943,2.9072087
35,0.8974359,8.181225,18.30389,-20.675268,-3.692166,3.1626537
36,0.9230769,1.012238,33.530266,-13.783303,-4.173835,3.3430846
37,0.94871795,-8.351385,26.036674,-30.790081,-3.3994045,3.5510602
38,0.974359,-23.466728,20.531479,-49.005226,-2.127892,4.0818024
39,1.0,-10.570154,-0.106889725,-55.265182,-2.5445023,4.036018
