index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.055216357,0.04475414,-0.03158905,-0.25457183,0.24799097
2,0.051282052,-0.1811015,-0.062629394,-0.11265226,0.88925374,0.29857105
3,0.07692308,-0.048501223,-0.15281709,-0.023621961,-0.55593383,0.420784
4,0.102564104,0.044181645,-0.038012147,-0.033637837,-1.0845963,0.79043293
5,0.12820514,-0.06560339,-0.15235901,0.025953673,-0.6203196,1.2650058
6,0.15384616,-0.06397279,-0.22887775,0.17301095,0.15602738,1.4026951
7,0.17948718,-0.09768485,-0.18154326,0.13169774,-0.4769314,1.4878256
8,0.20512821,0.20610934,-0.3139583,0.21330245,0.5245246,1.5535523
9,0.23076923,0.009903058,-0.1576918,0.22280358,-0.5899785,1.6010748
10,0.25641027,-0.16407321,0.08909273,0.43494463,-0.29425526,1.6731381
11,0.2820513,-0.10631712,0.64480597,0.98099786,0.61216736,1.7314572
12,0.30769232,-0.11477866,0.013738096,1.1513553,1.4229968,1.7805423
13,0.33333334,-0.33556414,0.19923571,0.98342013,0.4685833,1.8041489
14,0.35897437,-0.65568364,-0.16016309,1.4533664,1.0931445,1.7852732
15,0.3846154,0.049797177,-0.36645865,0.6229546,0.5067029,1.8240876
16,0.41025642,0.32456473,0.121433675,0.034032702,-0.12265015,2.1554844
17,0.43589744,1.2179488,-0.257211,0.041122027,1.1130424,2.571476
18,0.46153846,2.0636983,0.105562,-1.6303277,2.0683966,2.8290453
19,0.4871795,2.5048733,-0.23928285,-1.6470785,2.439513,3.366779
20,0.5128205,2.2940657,-1.2263496,-0.8070164,2.926014,3.3932178
21,0.5384615,2.513316,-2.133984,-1.3619788,2.9724786,3.2338417
22,0.56410253,0.80446887,-2.629234,-0.74244976,2.364212,3.121133
23,0.5897436,0.94389355,-3.4457211,0.7035636,2.7274644,3.094364
24,0.61538464,-1.7083162,-1.3307776,-1.4999882,1.4928367,3.3046536
25,0.64102566,-3.6807094,-0.88225317,-0.3149743,1.128744,3.3953662
26,0.6666667,-4.877487,-0.47630984,-0.74576694,1.2346513,3.486584
27,0.6923077,-9.773769,-1.0391387,2.5641415,0.46052742,3.6110625
28,0.71794873,-13.081742,3.1345854,0.39226222,0.9694719,3.6770906
29,0.74358976,-13.555785,4.0698476,3.8401837,0.09890443,3.7512717
30,0.7692308,-9.593566,6.708907,3.1828814,0.19892424,3.851062
31,0.7948718,-8.401595,1.7635784,11.091555,-0.24571508,4.560908
32,0.82051283,-6.088608,-0.5992093,10.329117,-0.024151042,4.7536716
33,0.84615386,-1.5423284,-2.1586828,15.838177,0.94627506,5.2264853
34,0.8717949,5.220469,-1.4830618,14.702196,2.0693367,6.1392446
35,0.8974359,10.618374,-3.1250646,22.0655,3.450624,7.110453
36,0.9230769,17.93488,-2.49175,24.5763,4.833279,8.289583
37,0.94871795,30.679,-17.86184,32.60127,5.4185905,9.301866
38,0.974359,38.13961,-23.93156,42.540028,5.635697,9.456847
39,1.0,58.772217,-11.375903,28.961046,5.4559617,9.668277
