index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.1441717,-0.015025882,-0.01109621,-1.6453664,0.0012653692
2,0.051282052,-0.13130996,0.012325415,0.052065156,-2.2224278,0.0032444084
3,0.07692308,-0.13907568,0.11161758,0.13996068,-3.508605,0.005041358
4,0.102564104,-0.14720187,0.16408575,0.22756985,-4.345462,0.00808922
5,0.12820514,0.057142466,0.2088325,0.28405073,-3.725658,0.010299636
6,0.15384616,0.10072951,0.06976603,0.26241076,-3.2023869,0.01289358
7,0.17948718,0.28073758,0.08831086,0.14724538,-2.7908092,0.01706257
8,0.20512821,0.29403502,-0.18690693,0.020009235,-2.058371,0.020835469
9,0.23076923,0.12193067,-0.2633859,0.010948656,-2.6843781,0.025142461
10,0.25641027,0.4562065,-0.1547373,0.03400659,-2.4314027,0.029755624
11,0.2820513,0.6475654,-0.10912481,0.18929929,-2.474387,0.03624689
12,0.30769232,0.6803684,0.3117889,-0.034157217,-3.4331565,0.040382463
13,0.33333334,0.8397221,-0.032566458,0.09006801,-2.9829068,0.042801313
14,0.35897437,1.1632739,-0.6269803,-0.23336682,-1.9015992,0.048681796
15,0.3846154,1.1761802,-1.1458757,-0.18909493,-1.5956919,0.06054494
16,0.41025642,1.0565407,-0.80765116,-0.8032104,-2.2075508,0.07414503
17,0.43589744,0.60369325,-1.1801276,-0.60795915,-2.633863,0.08848221
18,0.46153846,-0.84745145,-1.0311977,-0.8714775,-3.7683532,0.104246706
19,0.4871795,-0.58604515,-1.7248421,-0.9214753,-3.337586,0.13681482
20,0.5128205,-0.3010532,-1.0484943,-0.8547672,-4.090001,0.16671416
21,0.5384615,1.0417558,-1.3398856,-1.4528219,-3.5848684,0.17356195
22,0.56410253,3.0230398,-0.08465922,-1.0199848,-3.3212998,0.1682556
23,0.5897436,2.70151,-0.0022268966,-2.9450712,-3.5167475,0.12042908
24,0.61538464,1.4272448,1.0460596,-2.6795135,-4.576496,0.14076838
25,0.64102566,0.8302858,0.7306669,-2.8386226,-4.8981075,0.21122292
26,0.6666667,4.640331,0.21418363,-5.287081,-3.8037403,0.12649687
27,0.6923077,2.46451,-0.5144688,-8.872977,-3.9115698,0.12991336
28,0.71794873,6.5647197,-0.60285825,-9.817953,-3.0373836,0.42221978
29,0.74358976,6.0139236,-2.4311733,-10.361942,-3.1338048,0.53867114
30,0.7692308,7.0509787,-5.2955627,-11.458515,-2.9425268,0.6116045
31,0.7948718,1.3844099,-2.0423448,-9.562315,-3.97413,0.82475936
32,0.82051283,0.69526154,-8.446516,-9.778439,-3.8672645,0.66295195
33,0.84615386,2.3415215,-2.2837725,-14.154758,-4.1501994,0.59761804
34,0.8717949,-7.71467,1.4895489,-2.9723282,-5.522574,0.60408086
35,0.8974359,-15.358095,3.4639492,-1.1655912,-5.0683002,1.0304103
36,0.9230769,-16.616476,3.000412,14.850066,-4.7018642,1.9724724
37,0.94871795,-19.592247,-7.4019566,4.3046618,-3.9571846,2.3155007
38,0.974359,-10.476004,-16.411747,13.642099,-3.687844,2.5341141
39,1.0,-22.085888,-37.328735,14.061736,-2.6784663,2.9270356
