index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-4.65735e-05,0.06553128,0.0317299,-0.2220489,0.2073047
2,0.051282052,0.12134784,0.07559389,0.2049528,1.3818792,0.45841634
3,0.07692308,0.026964746,0.055476826,0.12912004,0.10090423,0.7171228
4,0.102564104,-0.18031713,0.080026746,0.17088865,0.23197736,1.025297
5,0.12820514,-0.2037522,0.014639221,0.30274832,0.39855158,1.1960757
6,0.15384616,-0.16376628,-0.026543655,0.20022273,-0.51035655,1.4088758
7,0.17948718,-0.2666886,-0.29134792,-0.032568365,0.33485115,1.7346224
8,0.20512821,-0.43148562,0.0034344792,0.031354018,0.507813,1.9005061
9,0.23076923,-0.6651518,-0.057016753,-0.017108675,1.3898362,2.0497847
10,0.25641027,-0.45262977,0.26059625,-0.09326191,1.0586672,2.2192738
11,0.2820513,-0.52747726,0.04513529,0.11376925,0.52016824,2.4401653
12,0.30769232,-0.6694314,0.19625653,-0.051410303,1.0741963,2.7249322
13,0.33333334,-0.7194909,0.095084935,-0.19555728,1.2300488,3.0038795
14,0.35897437,0.27090192,-0.5555521,-0.21456347,1.1435971,3.478002
15,0.3846154,0.44180837,-0.6193134,0.791361,1.6939728,3.6074026
16,0.41025642,0.22758675,-0.4085616,0.8265843,1.2272172,3.7841966
17,0.43589744,0.1307804,0.5251141,1.3562424,1.4347007,3.9642549
18,0.46153846,0.64263374,0.9873483,0.6927737,1.1634971,4.0868297
19,0.4871795,1.4967625,2.0618873,-0.28459787,2.061578,4.2731905
20,0.5128205,3.4317033,3.3412604,-0.32979682,3.9069657,4.427716
21,0.5384615,2.9898033,2.587836,-0.8479254,3.0968103,4.5465183
22,0.56410253,2.5677466,2.897094,-1.0905771,2.7087169,4.6169105
23,0.5897436,4.156596,2.8308978,-2.9929307,3.2234395,4.594997
24,0.61538464,6.983907,1.2102635,-4.4305,3.9893136,4.567485
25,0.64102566,8.899177,-2.9388416,-6.510148,4.6013937,4.5482297
26,0.6666667,6.66609,-3.8745885,-7.227207,3.8734226,4.673155
27,0.6923077,3.2235408,-5.1952343,-9.221324,3.6252522,4.690259
28,0.71794873,2.2254148,-6.5724807,-9.3507185,3.455207,4.7469864
29,0.74358976,-0.18182683,-7.825888,-5.5845017,2.949351,4.928829
30,0.7692308,-3.1223834,-12.9808655,0.2804532,3.4241307,4.9121714
31,0.7948718,-9.887394,-2.3075266,2.615298,1.6355952,4.9133277
32,0.82051283,-13.046754,-0.42323446,0.47043705,0.7513762,4.6285467
33,0.84615386,-4.130451,-0.54044276,-1.9808648,0.06413913,4.6965723
34,0.8717949,-3.0728037,-4.30046,6.0054827,0.56452644,4.8389935
35,0.8974359,-11.711378,-3.5229864,-1.8101044,-0.029166818,4.9628496
36,0.9230769,-5.217046,-10.275814,-15.18284,1.078687,5.703633
37,0.94871795,-4.736163,-21.140013,-5.78555,1.5437026,6.2410173
38,0.974359,-2.863953,-27.738243,6.1649714,1.4725897,5.9217606
39,1.0,-39.282913,-10.5324,16.26934,1.4109371,5.8302345
