index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.09623857,0.016549058,0.022957288,-0.0783052,0.0012494641
2,0.051282052,-0.16580166,-0.027887471,-0.049597844,0.6153972,0.0028777225
3,0.07692308,-0.1541508,0.03052067,-0.03153961,0.15628293,0.004908701
4,0.102564104,-0.13328189,0.056096286,-0.050519273,-0.07103236,0.0072527383
5,0.12820514,-0.21712145,0.15854779,-0.0025180206,-0.31722355,0.009738882
6,0.15384616,-0.1762555,0.11142068,-0.21488188,0.435678,0.012424668
7,0.17948718,-0.09732334,-0.09510187,-0.17740452,-0.5918019,0.015254219
8,0.20512821,-0.0045028403,-0.028803885,-0.28144875,-0.56207687,0.018719181
9,0.23076923,0.6416114,-0.011750538,-0.36393255,-1.7043104,0.022434194
10,0.25641027,0.6939902,-0.29506302,-0.64741695,-1.294408,0.026078716
11,0.2820513,0.7650936,-0.40624046,-0.6266992,-1.8177028,0.030236695
12,0.30769232,0.9788947,-0.5360843,-0.8500431,-1.7628562,0.035133407
13,0.33333334,0.73791516,-0.6097363,-0.7228801,-2.286822,0.040250435
14,0.35897437,0.7691314,-1.3735172,-0.8062498,-2.7439897,0.0473478
15,0.3846154,0.56653035,-1.2102449,-0.730923,-3.0813203,0.0560783
16,0.41025642,0.18758523,-1.2490875,-0.63491637,-3.3907309,0.06391658
17,0.43589744,0.29758137,-1.8246198,-0.8474704,-3.5970652,0.07707875
18,0.46153846,-0.17617893,-0.49199748,-1.4026592,-2.9077306,0.093950674
19,0.4871795,-0.21657172,0.052291334,-1.8914096,-2.6581686,0.12726384
20,0.5128205,-0.6828263,0.21417758,-2.4654894,-2.3253293,0.17324848
21,0.5384615,-2.4315338,-1.406547,-2.2600489,-2.5401134,0.21395734
22,0.56410253,-3.244259,-1.9919198,-2.6321542,-2.5019977,0.25193524
23,0.5897436,-1.8487931,-0.8229766,-1.9102051,-3.306645,0.29704708
24,0.61538464,0.6431755,1.8181353,-1.9405687,-3.7707477,0.36485916
25,0.64102566,1.1076739,2.6448038,-2.5351706,-3.8588536,0.40796134
26,0.6666667,0.8963561,2.4720664,-3.507077,-3.8373806,0.41058686
27,0.6923077,3.0262804,2.350988,-4.2258596,-4.2808867,0.46885902
28,0.71794873,2.2601507,0.3990376,-5.727694,-4.045514,0.53650075
29,0.74358976,-1.2956817,-3.744603,-1.9540854,-4.8603387,0.7307734
30,0.7692308,2.9159412,-1.507685,-2.4275565,-4.8192625,0.94710517
31,0.7948718,8.466225,-6.7441473,-6.73261,-3.9634583,0.89730483
32,0.82051283,2.8162756,-9.633793,0.38519812,-5.1636496,0.918554
33,0.84615386,-4.371866,-6.492884,-7.9502563,-4.667803,1.0874609
34,0.8717949,8.150675,-6.5772514,-6.1987066,-4.452314,1.0556828
35,0.8974359,-0.39462757,-8.057793,-2.8835082,-5.3811197,1.0386385
36,0.9230769,-5.3031607,-0.21146965,-6.5350566,-5.2829804,1.1364281
37,0.94871795,-20.623863,-9.209501,-4.3336143,-5.2854137,1.451376
38,0.974359,-19.222414,-10.827086,-17.721695,-4.5787454,1.8527424
39,1.0,-26.691885,-6.745551,-8.310368,-4.578631,2.2233572
