index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.019350838,-0.04876297,-0.11423273,-0.18665528,0.03906364
2,0.051282052,0.06617504,-0.052585304,-0.10662915,0.08065137,0.07988555
3,0.07692308,0.08678521,-0.07491917,-0.23176275,0.011769742,0.12127441
4,0.102564104,0.027347133,-0.055196963,-0.29326805,-0.899899,0.15957814
5,0.12820514,0.13129292,-0.05029565,-0.1721632,-0.41917497,0.20279115
6,0.15384616,0.13255754,-0.06715104,-0.114846125,-0.8043021,0.24746053
7,0.17948718,0.31502587,-0.2690382,-0.07848802,0.008888185,0.29887897
8,0.20512821,0.4048228,-0.16848092,-0.13598058,0.18199176,0.3421569
9,0.23076923,0.26778555,-0.33981615,-0.13118842,-0.617409,0.39675647
10,0.25641027,0.010457337,-0.29508317,0.20063308,-1.623155,0.50984514
11,0.2820513,0.24808827,-0.42635873,0.1949976,-1.105162,0.5953658
12,0.30769232,0.20984992,-0.57265246,0.33727545,-1.0244404,0.6833188
13,0.33333334,0.2247807,-0.050170302,-0.14287728,-1.7705252,0.8254624
14,0.35897437,0.35124803,-0.20344132,-0.24705058,-1.665938,0.937585
15,0.3846154,1.1426449,-0.05313608,-1.0350149,-0.0076311827,0.9887877
16,0.41025642,0.7388444,-0.37717876,-1.1041319,-0.843419,1.00994
17,0.43589744,-0.26618302,-0.7326819,-2.2706232,-0.3911487,1.0479109
18,0.46153846,-0.14440233,-2.2986631,-2.3210227,0.4444993,1.0332471
19,0.4871795,0.6036506,-2.6518376,-2.1665306,0.15686387,0.998091
20,0.5128205,0.70273995,-3.3696256,-1.9831705,0.16910714,0.97935534
21,0.5384615,-0.19465655,-6.06299,-0.8355942,1.1364064,0.7828945
22,0.56410253,0.44745678,-4.7296257,-1.2110131,-0.24188316,0.49539572
23,0.5897436,-0.0013762712,-6.09154,-0.6366683,-0.2437818,0.15735883
24,0.61538464,-2.5797734,-6.084289,-0.90038604,-0.85512745,0.050279602
25,0.64102566,-3.026028,-6.2392807,-2.2342262,-0.58878493,0.32425535
26,0.6666667,-0.31603312,-3.9823623,-2.2026072,-1.6074126,0.2074882
27,0.6923077,1.7067161,-5.0444407,-4.855975,-1.2494456,0.018758774
28,0.71794873,-0.7666774,-6.874673,-4.282734,-1.4781147,-0.13485914
29,0.74358976,-1.3915807,-10.069448,-0.63773394,-1.4549428,0.09279327
30,0.7692308,-1.061357,-8.659985,-2.9325566,-1.4479783,0.469662
31,0.7948718,1.8088317,-7.694348,-8.030636,-1.328128,0.4161074
32,0.82051283,-0.48433685,-2.867764,-6.874767,-2.3003116,0.22109944
33,0.84615386,14.272066,6.0495057,-8.437174,-1.372222,0.09840455
34,0.8717949,15.062605,-7.573624,-16.118336,-1.4770114,0.16121563
35,0.8974359,13.856772,-14.6306305,-16.983927,-1.5011693,0.18608235
36,0.9230769,14.789402,8.323227,0.72868156,-1.9260079,0.4030102
37,0.94871795,10.004154,-6.244772,-1.955461,-2.6279392,0.49850282
38,0.974359,14.48299,8.839381,-1.0676515,-2.4728398,0.5382647
39,1.0,20.420723,10.328781,-1.6961367,-2.4841158,0.5339211
