index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.008106104,-0.042645965,-0.018828113,-0.71227986,0.11946371
2,0.051282052,-0.059046738,-0.12621744,-0.00053828023,-1.0742491,0.5471481
3,0.07692308,0.05648078,-0.08759475,-0.03522203,0.04481089,1.1050706
4,0.102564104,-0.024221651,0.029067487,0.047568113,0.82065,1.2810278
5,0.12820514,-0.21184787,0.06923877,-0.06448524,1.609367,1.4054885
6,0.15384616,-0.16748868,0.02941968,0.115888566,1.5855931,1.5132406
7,0.17948718,-0.1349211,0.13104725,0.20677052,1.6527375,1.633568
8,0.20512821,-0.044550553,0.3347209,0.33136827,1.388386,1.7595352
9,0.23076923,-0.015276033,0.1957417,0.30135718,1.0148437,1.9006853
10,0.25641027,-0.24325441,0.44154567,0.023096263,1.4029928,2.0581737
11,0.2820513,-0.094328925,0.3975659,0.30953938,1.1188219,2.201861
12,0.30769232,0.51265997,-0.06502783,0.35902226,1.2876877,2.5313714
13,0.33333334,0.21181387,-0.03717342,0.11752793,0.48503447,2.8855019
14,0.35897437,-0.26820546,-0.09435551,-0.034827262,1.4239652,3.7814214
15,0.3846154,-0.1277238,-0.14820096,-0.8348925,1.8881396,4.563439
16,0.41025642,-0.37768078,0.20948038,-0.6947103,2.6345363,5.0520115
17,0.43589744,-0.28981453,-0.06869641,-0.66928434,2.5423172,5.603558
18,0.46153846,-0.04302761,0.114725575,-1.8912671,2.7559164,6.2100496
19,0.4871795,1.2532873,0.4457175,-2.0455127,4.024749,6.6815352
20,0.5128205,3.1261554,0.09407702,-1.5401889,5.666171,7.105961
21,0.5384615,2.1176867,1.4365624,-1.781187,5.184737,7.500913
22,0.56410253,2.404588,1.4828516,-3.8612275,5.6694155,7.973174
23,0.5897436,5.2281723,2.9449472,-3.2755601,7.345924,8.381504
24,0.61538464,7.887108,5.059553,-2.390119,8.8431835,8.55015
25,0.64102566,6.6974535,4.8341913,-0.11222553,8.40073,8.682569
26,0.6666667,7.3873997,7.216812,5.0614405,9.034113,8.806763
27,0.6923077,10.894365,4.300503,3.338971,9.632463,8.940828
28,0.71794873,13.091768,4.061078,1.8440537,10.145975,9.17373
29,0.74358976,12.9713545,2.353303,2.0521514,9.823253,9.292086
30,0.7692308,8.296532,-0.88642454,-2.4038293,8.939462,9.401793
31,0.7948718,6.744977,-6.195135,-0.8020675,9.250629,9.9648695
32,0.82051283,6.038696,-4.4796844,-2.5604343,9.538139,10.688014
33,0.84615386,8.820903,-6.2104464,-3.4404407,10.393292,11.451225
34,0.8717949,3.0694504,-11.465717,14.232185,10.268396,11.451445
35,0.8974359,2.7405841,-22.425425,9.640106,9.838994,11.295177
36,0.9230769,-6.9772816,-31.148617,8.459207,9.903959,10.839872
37,0.94871795,-11.698571,-22.04981,4.24651,9.156116,10.739869
38,0.974359,-16.330166,-18.653133,12.87612,8.62119,10.309703
39,1.0,-18.130718,-27.223848,-7.5460014,7.742692,9.625411
