index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.0528405,0.056955047,-0.035938494,-0.4676366,0.08116173
2,0.051282052,0.0852474,0.0634631,-0.012490477,-0.79414654,0.1962978
3,0.07692308,-0.032219484,0.17225534,0.0687262,-2.0270863,0.34472448
4,0.102564104,-0.02392523,0.056216553,0.12975937,-2.5866704,0.4744193
5,0.12820514,0.028554149,0.08287978,0.13918203,-2.604874,0.78579307
6,0.15384616,-0.068102084,0.12865056,0.25141343,-1.8201666,1.0222976
7,0.17948718,-0.026957318,0.1347122,0.2462938,-2.0685387,1.2496836
8,0.20512821,0.23580907,0.18719,0.33513558,-1.9468502,1.3774492
9,0.23076923,0.34001717,0.30737364,0.5549855,-1.5509509,1.4316132
10,0.25641027,0.38084376,0.45696786,0.49675578,-1.2773592,1.4716316
11,0.2820513,0.306194,0.2881464,0.088166654,-2.2642825,1.5056571
12,0.30769232,0.35089225,0.3226981,-0.18511361,-2.247667,1.6019201
13,0.33333334,0.26295215,0.3803619,0.13842902,-2.4684074,1.6691188
14,0.35897437,0.3812106,0.20006555,0.3293036,-2.9743607,1.7993037
15,0.3846154,0.82158303,-0.26094186,0.7274263,-2.44133,2.1154058
16,0.41025642,0.08456206,0.6494193,0.895686,-2.4303987,2.3002717
17,0.43589744,-0.43267626,0.44144803,0.5486562,-3.0401614,2.2700262
18,0.46153846,-0.65075815,1.1714537,0.66060907,-2.5102718,2.2463717
19,0.4871795,-0.22977266,1.8631849,0.9691291,-2.1011999,2.2610686
20,0.5128205,-0.41848388,1.8318603,0.7371855,-2.5122566,2.2739716
21,0.5384615,-1.0581839,2.0220234,0.1812923,-2.8403316,2.2542157
22,0.56410253,0.14665699,0.6149248,-0.54559076,-4.2182817,2.288609
23,0.5897436,-0.9142139,-2.0086298,0.8055273,-3.2590857,2.2737262
24,0.61538464,-1.9259087,-2.844263,-0.42379332,-3.212477,2.3242068
25,0.64102566,-3.979043,-5.857134,0.6815014,-2.174901,2.3684304
26,0.6666667,-3.1681232,-4.321375,5.2992797,-2.7966616,2.47076
27,0.6923077,-6.8616505,-0.5813215,1.4607186,-3.7316413,2.7521358
28,0.71794873,-3.3453102,1.9828842,-0.04488659,-3.262339,3.1429489
29,0.74358976,-4.52805,0.87513375,1.427459,-3.6604643,3.2848978
30,0.7692308,0.86486673,2.4979856,-4.9723473,-4.055248,3.2783952
31,0.7948718,1.2551932,-5.8211184,-2.4398305,-3.9634287,3.2209146
32,0.82051283,-2.3250523,0.69711304,-3.7773814,-4.827389,3.3087425
33,0.84615386,-4.540044,7.120129,-2.8309531,-4.4198537,3.3228393
34,0.8717949,1.8981695,6.183923,-5.621603,-5.392176,2.8764331
35,0.8974359,1.693959,-0.64738274,1.5016832,-5.673681,2.8766952
36,0.9230769,8.0003195,16.026894,12.062555,-4.006255,3.4568295
37,0.94871795,0.5088396,20.072052,5.848418,-4.6138644,3.460532
38,0.974359,1.255012,5.942422,10.523432,-5.157958,3.5193362
39,1.0,-3.8276362,-11.414262,-2.6666832,-5.3672056,3.7407439
