index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.011578882,-0.017653832,0.03322884,0.1493513,0.005974808
2,0.051282052,-0.0011567445,-0.14655295,0.05812875,1.1542089,0.0132431425
3,0.07692308,0.06666143,-0.21002723,-0.094697885,0.19827098,0.022176236
4,0.102564104,0.18254977,-0.2637288,0.012761869,0.20865515,0.03353103
5,0.12820514,0.007570088,-0.24727309,-0.006635148,0.35784274,0.045839984
6,0.15384616,-0.1304497,-0.18989491,0.018060947,0.24392414,0.05994776
7,0.17948718,-0.15006967,-0.18518245,0.34180197,0.9017838,0.076790236
8,0.20512821,-0.2681058,-0.28147423,0.15449056,0.76732063,0.0949392
9,0.23076923,-0.3603989,-0.43426406,0.13865572,1.1415242,0.11870565
10,0.25641027,-0.54658616,-0.57716566,-0.29951593,1.1374323,0.14247961
11,0.2820513,-0.75431275,-0.8771519,-0.35269642,1.9360495,0.17045735
12,0.30769232,-1.1763753,-0.3760882,-0.7115638,1.5785468,0.20092696
13,0.33333334,-1.3966961,-0.077926576,-0.1968841,1.6078345,0.23536481
14,0.35897437,-1.2218506,-0.40626252,-0.41353977,1.2214841,0.27794728
15,0.3846154,-1.6840389,-0.4814515,-0.75789654,1.6751429,0.32066226
16,0.41025642,-1.5081207,-0.8528331,-1.629045,1.4002424,0.35166845
17,0.43589744,-0.6474292,0.13459116,-1.7471695,-0.56305957,0.39121878
18,0.46153846,-0.03204578,0.5922601,-1.8875897,-1.7300576,0.4484915
19,0.4871795,-0.07029549,0.5410277,-2.3493965,-1.96967,0.51162016
20,0.5128205,0.2502801,1.379325,-1.7549844,-2.9549756,0.5821607
21,0.5384615,0.7008683,1.9885395,-2.924021,-3.7365613,0.6798228
22,0.56410253,1.0580165,1.6735225,-3.0686707,-3.9708161,0.75319904
23,0.5897436,0.8608077,2.4212046,-2.5210552,-4.4762187,0.8587835
24,0.61538464,-0.9188232,0.7764814,-5.6369514,-3.2806058,0.9083904
25,0.64102566,-4.282241,1.2466931,-4.2080526,-2.9642596,1.0428696
26,0.6666667,-5.606982,2.1540792,-3.0712333,-2.8274474,1.3696944
27,0.6923077,-8.831617,2.2178845,-4.0076566,-2.0705383,1.5531116
28,0.71794873,-6.0084505,0.1505866,-0.7833197,-3.0132797,1.8712288
29,0.74358976,-5.7410808,1.6181704,-7.0140285,-2.4111497,2.3788805
30,0.7692308,-0.1561284,1.4703201,-5.8527765,-3.2440012,2.6141608
31,0.7948718,-2.7733178,-0.3549999,-8.011269,-3.0697534,2.5046194
32,0.82051283,-3.4124856,-10.66344,-10.383824,-1.8790808,2.9365258
33,0.84615386,-2.9916635,-5.554777,-10.556331,-1.7295325,3.532737
34,0.8717949,3.4744897,-2.9057734,-28.546074,-1.7587507,2.7046204
35,0.8974359,-4.7444725,8.343161,-9.516779,-2.9962723,2.83626
36,0.9230769,-10.411278,16.133226,0.86769485,-1.8981353,3.5486844
37,0.94871795,-23.089626,16.913261,-14.265058,-1.1679373,4.3084173
38,0.974359,-9.562426,20.77474,2.7048674,-0.98222923,4.721179
39,1.0,-1.3629723,38.680447,4.130948,-0.4635328,4.77492
