index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.011751695,0.044404183,-0.026005406,-0.5482685,-1.9170302e-05
2,0.051282052,-0.015054295,0.031220265,-0.11183752,-1.4111178,-2.1550537e-05
3,0.07692308,-0.03485488,-0.024675716,-0.1654917,-1.7542827,-2.708123e-05
4,0.102564104,-0.020429395,0.07419704,-0.095839195,-2.1245966,-4.7936264e-05
5,0.12820514,0.11096125,-0.08915053,-0.08850534,-3.0194657,-7.85275e-05
6,0.15384616,0.03621342,-0.072204255,-0.2788409,-3.66217,-9.7219956e-05
7,0.17948718,-0.045191035,0.085131,-0.4209379,-4.2774158,-0.000109509216
8,0.20512821,-0.008780856,0.22358629,-0.46135774,-5.052314,-0.0001266387
9,0.23076923,0.057264004,0.14759031,-0.52884334,-5.7031813,-0.0001594399
10,0.25641027,0.043678217,-0.044259906,-0.4339469,-5.6378617,-0.00019480777
11,0.2820513,0.0044458658,-0.09708,0.17581391,-4.796543,-0.00023166255
12,0.30769232,0.17497443,0.011526033,-0.020866752,-5.9116564,-0.00027975588
13,0.33333334,0.08477768,-0.75615466,-0.64888716,-6.406138,-0.00034275115
14,0.35897437,0.16776429,-1.052423,-0.91516364,-7.0215793,-0.0003962571
15,0.3846154,-0.29902613,-0.35939205,-1.4814779,-7.487834,-0.00045128015
16,0.41025642,0.27795112,-0.62714684,-1.4376245,-8.412459,-0.00059844647
17,0.43589744,1.7227002,-1.1522639,-1.629127,-10.28756,-0.00075131864
18,0.46153846,0.96517307,-1.6520426,-0.54983807,-9.109829,-0.0008411282
19,0.4871795,0.6875789,-1.6604837,-1.2701311,-9.58091,-0.00089037046
20,0.5128205,0.5323038,-0.32766962,-0.9015573,-9.922623,-0.0010313422
21,0.5384615,1.8788357,0.26012242,-1.4016769,-11.39844,-0.0011194926
22,0.56410253,2.044628,-0.79697156,-0.8004408,-11.451204,-0.001440945
23,0.5897436,1.9978741,-1.3145242,0.26283145,-11.381467,-0.0017335247
24,0.61538464,0.9470779,-3.066028,1.0199367,-10.902652,-0.0021297522
25,0.64102566,1.7657769,-4.0987525,-1.0650812,-11.804606,-0.0025869892
26,0.6666667,2.9183283,-3.794569,1.6265353,-11.977646,-0.002939233
27,0.6923077,0.7038312,-9.055338,4.095876,-10.986419,-0.0030936617
28,0.71794873,-2.5180242,-9.171995,1.6415119,-10.918299,-0.0036300784
29,0.74358976,2.037937,-8.733732,4.434107,-11.72437,-0.0041429177
30,0.7692308,6.2552576,-13.754875,5.782533,-12.293278,-0.004577737
31,0.7948718,7.18885,-17.294136,0.5133958,-12.993405,-0.0048969556
32,0.82051283,6.7556233,-15.112643,-6.242296,-13.782609,-0.00621914
33,0.84615386,2.7922997,-22.183949,-7.6340923,-13.553341,-0.0068738577
34,0.8717949,10.387205,-9.850328,-10.25086,-14.949155,-0.007107166
35,0.8974359,20.969227,-11.063696,5.2428207,-15.28628,-0.0086243125
36,0.9230769,20.39112,-3.4689417,19.553127,-15.1113405,-0.010258977
37,0.94871795,33.18157,-6.868083,-0.36081696,-16.751389,-0.012123375
38,0.974359,43.34696,-23.797657,9.555485,-16.980984,-0.015280673
39,1.0,26.303415,-23.810167,5.919421,-16.65871,-0.015980303
