index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.019654136,-0.033880826,-0.059985355,0.33892435,0.16252056
2,0.051282052,0.059342336,-0.032570507,-0.16493574,1.5331464,0.22732207
3,0.07692308,0.10891567,-0.09408363,-0.12133763,0.7057662,0.2695333
4,0.102564104,0.17607546,-0.13766219,-0.16651213,0.682152,0.29838476
5,0.12820514,0.27171558,-0.09461416,-0.19356723,0.5725436,0.31618255
6,0.15384616,0.2596046,-0.19678351,-0.13608323,-0.21133196,0.37181944
7,0.17948718,0.420465,-0.30583793,-0.20089425,-0.16788112,0.4373628
8,0.20512821,0.41549167,-0.046671033,-0.0144235045,-0.894875,0.62806565
9,0.23076923,0.39439955,-0.30873558,-0.12952477,-0.77963233,0.8866771
10,0.25641027,0.43167934,-0.3561188,-0.11097119,-0.7971288,1.1744814
11,0.2820513,0.52607983,-0.48547453,-0.21641988,-0.15523648,1.6570923
12,0.30769232,0.429898,-0.58327085,-0.37346566,0.060994267,1.7378381
13,0.33333334,0.14384851,-0.31363732,-0.22942692,-0.48828238,1.7979949
14,0.35897437,0.12776338,-0.025003046,-0.051294535,-0.62181586,2.2167463
15,0.3846154,0.99279743,0.59519434,-0.38384128,0.72597307,2.6667
16,0.41025642,0.61759,0.42581743,-0.8243306,1.00789,2.790764
17,0.43589744,1.0400728,0.50688297,-0.944978,0.8310983,2.832363
18,0.46153846,0.83211744,-0.67195505,-0.6280657,-0.09924257,2.898461
19,0.4871795,0.111123025,0.6583392,0.02645135,-0.3396173,3.1750486
20,0.5128205,-0.6548706,1.2567453,0.76368654,-0.15858811,3.8968623
21,0.5384615,-1.9111667,1.9085176,2.15765,0.12077582,3.9136312
22,0.56410253,-4.158306,3.589693,0.7431736,0.5880258,4.196114
23,0.5897436,-2.4792123,5.821434,0.82587177,0.5777278,4.400329
24,0.61538464,-3.1005473,7.7235785,-2.4611785,1.9238499,4.5515647
25,0.64102566,-3.951675,7.0941973,-3.8346806,2.2525873,4.5570107
26,0.6666667,-5.725878,7.3154106,-5.5204,2.7887292,4.558539
27,0.6923077,-6.6825724,4.813946,-6.5710797,2.9956555,4.55775
28,0.71794873,-9.713884,1.9349809,-8.999609,3.7845225,4.554523
29,0.74358976,-8.674184,3.2489982,-7.560649,3.0738356,4.5475526
30,0.7692308,-7.9251585,3.4960804,2.8059683,1.4710016,4.56359
31,0.7948718,-8.284467,1.1051235,5.649264,1.5417426,5.2844253
32,0.82051283,-19.471859,-7.69495,12.038996,2.812481,5.5115705
33,0.84615386,-21.438112,-4.03426,13.142302,2.2621546,5.305733
34,0.8717949,-19.955873,-16.246983,6.4318094,2.2716625,5.016183
35,0.8974359,-8.280273,-16.761484,8.076335,0.6125088,4.4428897
36,0.9230769,5.447051,-29.939745,-8.483695,0.8773215,4.3763757
37,0.94871795,0.3549118,-27.305407,4.977584,0.24430478,4.403238
38,0.974359,-10.294619,-31.405228,3.4288173,0.71915936,4.5595613
39,1.0,26.780401,-60.6269,9.030864,0.42679024,4.7559752
