index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,-0.032347698,0.049691744,0.040692903,-0.44204307,-0.0002154428
2,0.051282052,-0.0453033,0.021686446,0.15251066,-2.152272,-0.00054198026
3,0.07692308,0.15669744,0.07090099,0.2422668,-2.3770692,-0.0010134764
4,0.102564104,0.08754029,0.059553888,0.21471214,-2.779145,-0.0015208178
5,0.12820514,0.03858892,0.09931207,0.056949347,-2.0764844,-0.0020846296
6,0.15384616,0.18832862,0.22084144,0.27413213,-2.7988205,-0.0030558007
7,0.17948718,0.32144153,0.30389687,0.6215803,-4.19359,-0.004726001
8,0.20512821,0.1578854,0.3225318,0.52431965,-4.347195,-0.0068453876
9,0.23076923,0.16860163,0.2707456,0.65397906,-5.2492123,-0.009319652
10,0.25641027,-0.026503295,-0.12089154,0.6421095,-6.6717143,-0.011389072
11,0.2820513,0.15418023,-0.07199294,0.82883286,-7.2417574,-0.014638308
12,0.30769232,-0.21364604,-0.15699679,0.9949439,-8.35484,-0.018774463
13,0.33333334,-0.87320614,-0.21778946,1.3664825,-9.808327,-0.020379506
14,0.35897437,-0.45807654,-0.33693913,0.93216324,-9.476935,-0.020524073
15,0.3846154,-0.5097971,-1.0910746,0.9846834,-10.799239,-0.02189384
16,0.41025642,-1.075693,-0.8413375,0.22414827,-10.164163,-0.020099659
17,0.43589744,-0.9616559,-1.2765986,0.103161566,-10.758132,-0.020918097
18,0.46153846,-1.4257593,-1.0199406,-0.1477632,-10.765596,-0.024399694
19,0.4871795,-0.5097012,-1.3016005,-0.30795977,-11.029918,-0.026063839
20,0.5128205,0.3860699,-1.0147456,-0.7541578,-10.769472,-0.032216284
21,0.5384615,1.6165713,-1.3594567,0.2667383,-11.587838,-0.039565124
22,0.56410253,1.8107435,1.6991602,1.1363266,-11.075533,-0.038470358
23,0.5897436,0.5949,1.5773299,-0.98301005,-10.715049,-0.049307372
24,0.61538464,-0.4258952,2.2371309,-1.5587816,-10.737501,-0.06912113
25,0.64102566,1.8574383,3.931613,-2.4402194,-10.201482,-0.085975625
26,0.6666667,-0.19649386,5.5492716,-1.5461428,-10.5667095,-0.04942359
27,0.6923077,2.3986585,2.1412787,-2.5867133,-10.932632,-0.024382021
28,0.71794873,0.9886209,2.4351082,-0.17601538,-11.756266,-0.00624305
29,0.74358976,1.2596135,0.35375023,-4.699657,-11.515732,0.0064152554
30,0.7692308,-3.361515,0.8420305,-3.6994255,-11.982273,0.023582743
31,0.7948718,-0.75040007,3.9487162,-11.539734,-10.8930025,0.04667358
32,0.82051283,3.8567548,9.638761,-4.313865,-11.206452,0.08796562
33,0.84615386,-3.771192,14.773058,3.725903,-11.947999,0.072005875
34,0.8717949,3.5992541,5.1875563,-14.203011,-11.281184,0.0010350868
35,0.8974359,18.451252,4.3671017,4.4467564,-11.346604,0.005177651
36,0.9230769,36.22879,-1.9973383,4.9413643,-10.429221,0.0023926718
37,0.94871795,30.985857,-1.2827022,3.2418902,-11.005397,0.004115372
38,0.974359,47.19831,4.3093987,6.2701645,-10.892248,0.0052975314
39,1.0,51.967644,-15.754654,20.205997,-10.140121,0.0063759866
