index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.02876292,-0.040074624,0.062051587,0.17990476,1.2196034e-06
2,0.051282052,0.026072368,-0.02258683,0.10965407,-0.26002046,6.086805e-06
3,0.07692308,-0.073651746,0.13717559,0.08329849,-2.047262,9.235646e-08
4,0.102564104,-0.07911283,0.34921184,0.052281827,-2.8491516,1.5455178e-05
5,0.12820514,0.10997765,0.2936317,0.038613327,-1.6069397,1.1807259e-05
6,0.15384616,0.26018965,0.37302455,0.09772463,-1.0271444,1.6404492e-06
7,0.17948718,-0.012201875,0.49933013,-0.07982053,-3.1385396,-3.5201647e-06
8,0.20512821,-0.14336467,0.49071994,-0.18201354,-4.1427965,-1.8949231e-05
9,0.23076923,0.098217875,0.5580181,0.024471477,-3.4773545,-1.9624089e-05
10,0.25641027,0.07519603,0.6245548,-0.19432165,-3.9681215,-3.062354e-05
11,0.2820513,0.3408894,0.33666778,-0.83589876,-3.3063507,-2.3015433e-05
12,0.30769232,0.41624534,0.33016568,-0.4230091,-3.4186652,-2.8481085e-05
13,0.33333334,0.22306693,0.5448567,-0.23681268,-4.324146,-5.128508e-05
14,0.35897437,-0.2519337,0.8186548,0.05504623,-5.7431397,-7.006567e-05
15,0.3846154,0.2349042,1.207036,-1.1672393,-5.3778796,-7.727403e-05
16,0.41025642,-0.07213336,1.6832758,-1.143233,-6.309705,-6.833133e-05
17,0.43589744,-0.3603566,2.2822804,-0.9267211,-7.1605363,8.117422e-07
18,0.46153846,-0.18134713,1.4924828,-0.7919148,-7.111512,2.888705e-05
19,0.4871795,-0.11601157,2.6910439,-1.122035,-7.6090784,-5.9355625e-06
20,0.5128205,-1.2334998,2.2035987,-1.6582906,-8.832933,0.00012405917
21,0.5384615,1.1253784,2.9637272,-1.7205138,-7.5224767,0.00022456652
22,0.56410253,1.7253108,2.184811,-2.4685297,-7.3857336,0.00021898131
23,0.5897436,1.2156188,2.6291418,-1.8072438,-8.030645,0.00026839218
24,0.61538464,-2.7087703,5.5508413,-0.39047265,-10.414913,0.0003083635
25,0.64102566,2.6511664,5.2649903,-1.9245865,-8.594971,0.00027145236
26,0.6666667,2.596545,7.6673613,-4.142281,-9.076325,0.00017984357
27,0.6923077,2.7867017,3.1221466,-1.5157421,-9.052615,0.0001429987
28,0.71794873,5.552928,1.0007248,0.97906756,-8.546283,0.00016269145
29,0.74358976,5.374027,-2.6434617,6.220372,-8.703141,0.00023720469
30,0.7692308,7.8106675,-2.91917,13.330961,-8.508603,0.00024922652
31,0.7948718,11.7159395,-0.8567631,11.856548,-8.240479,-1.9546103e-05
32,0.82051283,5.1995816,-8.176767,14.336878,-9.217603,-0.00021433258
33,0.84615386,0.6025095,-17.283682,15.553295,-9.838665,-0.00073522987
34,0.8717949,1.1292498,-8.980528,18.079782,-10.229553,-3.9016537e-05
35,0.8974359,-2.5298595,-0.90223026,13.75936,-10.998947,2.9090093e-05
36,0.9230769,3.774199,-2.7461274,14.015727,-10.775949,0.0014300426
37,0.94871795,8.568495,-6.309572,-2.878869,-10.721687,0.00096469023
38,0.974359,-6.1903267,-19.799736,15.232406,-11.667732,-2.9426883e-05
39,1.0,9.609492,-25.375544,13.23055,-11.128548,0.0004452099
