index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.0,-0.0
1,0.025641026,0.013847819,0.06483985,0.029306082,0.4740823,-7.638722e-07
2,0.051282052,0.016007274,0.02936013,-0.08880794,-1.4546025,8.187627e-07
3,0.07692308,-0.039254572,0.05041711,-0.11851473,-2.023331,3.7756996e-07
4,0.102564104,-0.05107543,0.17798826,-0.11579589,-1.787002,-1.2559497e-07
5,0.12820514,-0.03693694,0.07061584,-0.056308758,-2.151547,3.1977248e-07
6,0.15384616,-0.11423199,-0.040272035,0.044132594,-2.2900264,8.248523e-08
7,0.17948718,-0.26006454,-0.07838173,0.07758914,-2.6067138,-2.1677206e-06
8,0.20512821,-0.29847452,0.013489887,0.43683916,-1.11502,-1.2983946e-06
9,0.23076923,-0.35206652,0.00058005843,0.5466959,-1.0688614,-3.228759e-06
10,0.25641027,-0.3892983,0.09109113,0.35289413,-1.9018326,-1.5166676e-06
11,0.2820513,-0.218772,0.045561258,0.90163636,-0.7070923,-1.8805001e-06
12,0.30769232,0.031149834,0.20718566,0.25573552,-2.4381323,-5.1892494e-06
13,0.33333334,0.7147088,0.43595493,0.18400079,-2.6109757,-9.159321e-06
14,0.35897437,0.6868499,0.46382368,-0.08670902,-3.4255075,-1.0460678e-05
15,0.3846154,0.8038883,0.427177,-0.5264177,-4.4789443,-1.1887554e-05
16,0.41025642,1.0971124,0.22676921,0.11130947,-4.074989,-6.2945546e-06
17,0.43589744,1.3369087,0.2321409,0.27964395,-4.191896,-4.0219907e-06
18,0.46153846,0.55859655,0.041995898,-0.21468434,-5.1633406,-1.3573848e-05
19,0.4871795,1.4234867,-0.3024454,-0.0010421872,-5.447324,-2.0280624e-05
20,0.5128205,2.0465078,-1.1416311,-0.41283506,-6.4387636,-1.2975797e-05
21,0.5384615,3.423285,-0.81986153,0.95352155,-5.715986,-4.324554e-05
22,0.56410253,3.4410324,-3.0576816,0.7881318,-6.853009,-5.6618774e-05
23,0.5897436,5.103527,-2.278613,2.0729513,-6.312429,-6.9847105e-05
24,0.61538464,3.277804,-2.8519113,3.805099,-6.071006,-7.8617944e-05
25,0.64102566,0.30406952,-0.070688486,2.7331934,-6.25449,-9.631277e-05
26,0.6666667,3.5526679,1.3938057,0.69479513,-6.886122,-9.778373e-05
27,0.6923077,7.7551546,2.2130423,3.6607819,-6.257984,-0.00011694616
28,0.71794873,3.8763516,3.01818,4.5162787,-6.293952,-0.00011372297
29,0.74358976,3.930586,1.1221067,5.109568,-6.6657166,-0.00010008552
30,0.7692308,5.100733,4.7392206,4.076853,-6.7848887,1.1044831e-06
31,0.7948718,4.6745267,9.190411,4.6000967,-6.6510386,-4.4422974e-05
32,0.82051283,9.378265,5.558769,0.23289824,-7.690571,-8.8204295e-05
33,0.84615386,2.3210354,1.5221577,-5.1334624,-8.805982,-6.851951e-05
34,0.8717949,-5.0563374,-2.904241,-9.786846,-9.773451,7.878996e-06
35,0.8974359,-8.062098,4.228088,-17.288609,-10.366839,-7.7411554e-05
36,0.9230769,-14.389463,2.654832,-13.5340805,-10.48265,-5.905844e-05
37,0.94871795,-11.7064705,10.247791,-21.259893,-10.9789715,2.9203722e-05
38,0.974359,-23.171658,27.169994,-27.165531,-11.106991,0.00018534131
39,1.0,-13.4450865,33.675503,-40.258545,-11.779384,0.00017180188
