index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-4.9626904,1.6227088
1,0.025641026,-0.08885874,-0.07161502,-0.033392332,-4.9626904,1.6227088
2,0.051282052,-0.1881406,-0.14503677,0.07254195,-4.9626904,1.6227088
3,0.07692308,-0.12075188,-0.089384936,0.062945694,-4.9626904,1.6227088
4,0.102564104,-0.12508477,-0.10002611,-0.12456781,-4.9626904,1.6227088
5,0.12820514,-0.016223453,-0.2152611,-0.1805917,-4.9626904,1.6227088
6,0.15384616,-0.052655745,-0.27895465,-0.12698722,-4.9626904,1.6227088
7,0.17948718,-0.01096208,-0.38483927,-0.21183732,-4.9626904,1.6227088
8,0.20512821,-0.30018976,-0.71477073,-0.012853086,-4.9626904,1.6227088
9,0.23076923,-0.41270614,-0.43262166,-0.2385693,-4.9626904,1.6227088
10,0.25641027,-0.44332922,-0.34346628,-0.40077668,-4.9626904,1.6227088
11,0.2820513,-0.6306915,-0.6660867,-0.38133216,-4.9626904,1.6227088
12,0.30769232,-0.77771926,-1.4329813,-0.4607348,-4.9626904,1.6227088
13,0.33333334,-1.1884283,-1.1191542,-0.023716003,-4.9626904,1.6227088
14,0.35897437,-0.93156654,-1.7451655,-0.62278855,-4.9626904,1.6227088
15,0.3846154,-0.553399,-2.1527994,-0.36704832,-4.9626904,1.6227088
16,0.41025642,-0.18469736,-1.9014652,0.87015647,-4.9626904,1.6227088
17,0.43589744,0.014529511,-2.5612836,0.19202608,-4.9626904,1.6227088
18,0.46153846,0.22822039,-2.5379918,0.55999357,-4.9626904,1.6227088
19,0.4871795,-0.67618996,-1.8396592,-0.18950588,-4.9626904,1.6227088
20,0.5128205,-0.11612642,-1.0036209,-0.9666598,-4.9626904,1.6227088
21,0.5384615,0.7550804,0.29579055,-0.9711434,-4.9626904,1.6227088
22,0.56410253,0.5285037,0.65760607,-1.1598818,-4.9626904,1.6227088
23,0.5897436,1.76686,-0.51491255,-2.5697346,-4.9626904,1.6227088
24,0.61538464,2.475028,-1.1320643,-3.7464075,-4.9626904,1.6227088
25,0.64102566,2.9856,-0.43905962,-0.81109476,-4.9626904,1.6227088
26,0.6666667,2.106028,1.6624719,-2.4311233,-4.9626904,1.6227088
27,0.6923077,1.5737936,1.2022296,0.35075593,-4.9626904,1.6227088
28,0.71794873,0.90336907,-6.499346,-1.3426579,-4.9626904,1.6227088
29,0.74358976,-4.860344,-2.3412795,1.2332958,-4.9626904,1.6227088
30,0.7692308,-7.756765,-4.022855,7.466737,-4.9626904,1.6227088
31,0.7948718,-9.739655,-6.867298,6.1225424,-4.9626904,1.6227088
32,0.82051283,-1.933167,-9.220556,2.3631673,-4.9626904,1.6227088
33,0.84615386,-5.9350796,-12.939001,13.307186,-4.9626904,1.6227088
34,0.8717949,5.1648245,-15.430782,9.5130205,-4.9626904,1.6227088
35,0.8974359,12.175396,-23.58966,-16.245377,-4.9626904,1.6227088
36,0.9230769,12.02108,-15.1143875,-32.81775,-4.9626904,1.6227088
37,0.94871795,4.9589252,3.5258694,-44.938583,-4.9626904,1.6227088
38,0.974359,14.201907,-4.35661,-39.27463,-4.9626904,1.6227088
39,1.0,18.744976,-19.237581,-39.308674,-4.9626904,1.6227088
