index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-3.2308156,5.166531
1,0.025641026,0.036725637,0.016916592,-0.0003645328,-3.2308156,5.166531
2,0.051282052,-0.06125245,0.0071419887,-0.029611181,-3.2308156,5.166531
3,0.07692308,-0.09238431,0.006538576,0.11720008,-3.2308156,5.166531
4,0.102564104,-0.07455908,-0.0058793635,0.15682462,-3.2308156,5.166531
5,0.12820514,0.07836735,-0.025013715,0.10221031,-3.2308156,5.166531
6,0.15384616,-0.011628412,-0.135344,0.09409696,-3.2308156,5.166531
7,0.17948718,0.06793878,-0.19404504,0.15686259,-3.2308156,5.166531
8,0.20512821,0.19380951,0.09895724,0.24537483,-3.2308156,5.166531
9,0.23076923,0.42539907,-0.11344099,0.029974893,-3.2308156,5.166531
10,0.25641027,0.45827195,-0.23203155,0.009013938,-3.2308156,5.166531
11,0.2820513,0.55465865,-0.12482354,0.2265958,-3.2308156,5.166531
12,0.30769232,0.75795305,-0.18452677,-0.41049683,-3.2308156,5.166531
13,0.33333334,0.20783663,-0.15710357,-0.46360564,-3.2308156,5.166531
14,0.35897437,0.40973854,0.7430724,-0.63473326,-3.2308156,5.166531
15,0.3846154,0.020659924,1.1910096,-0.12886024,-3.2308156,5.166531
16,0.41025642,-0.26945224,1.0218145,-0.08099228,-3.2308156,5.166531
17,0.43589744,-0.30236244,0.10354179,-0.43558067,-3.2308156,5.166531
18,0.46153846,-0.46148497,0.4708372,-0.42316726,-3.2308156,5.166531
19,0.4871795,0.63319737,-0.20887747,-1.4505689,-3.2308156,5.166531
20,0.5128205,1.5190694,-1.6350099,-0.662315,-3.2308156,5.166531
21,0.5384615,2.3629417,-0.29075837,0.40441644,-3.2308156,5.166531
22,0.56410253,1.8285611,1.9130051,-1.6149007,-3.2308156,5.166531
23,0.5897436,3.443338,0.83533204,-1.073168,-3.2308156,5.166531
24,0.61538464,1.2961738,4.0760283,0.2908392,-3.2308156,5.166531
25,0.64102566,-0.54537475,6.5604706,0.91752064,-3.2308156,5.166531
26,0.6666667,-1.9967023,11.07055,2.1956882,-3.2308156,5.166531
27,0.6923077,1.1229123,13.669465,2.5116985,-3.2308156,5.166531
28,0.71794873,0.8155329,12.547704,-3.848367,-3.2308156,5.166531
29,0.74358976,1.2460964,5.744068,-4.4713373,-3.2308156,5.166531
30,0.7692308,-0.1887908,9.385894,-4.11554,-3.2308156,5.166531
31,0.7948718,-7.530898,6.0713177,-8.244024,-3.2308156,5.166531
32,0.82051283,-9.065958,5.153363,-11.626816,-3.2308156,5.166531
33,0.84615386,-6.7896767,0.31418514,-16.343521,-3.2308156,5.166531
34,0.8717949,-3.1814442,0.81804854,-27.300453,-3.2308156,5.166531
35,0.8974359,-2.6023195,1.9624901,-32.570927,-3.2308156,5.166531
36,0.9230769,2.2933862,-21.273651,-43.303837,-3.2308156,5.166531
37,0.94871795,12.467081,-22.669798,-42.36176,-3.2308156,5.166531
38,0.974359,7.7235107,-22.436861,-50.268475,-3.2308156,5.166531
39,1.0,28.27412,-38.46155,-50.352547,-3.2308156,5.166531
