index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-2.074599,2.6697016
1,0.025641026,-0.03968914,-0.061351784,-0.011438982,-2.074599,2.6697016
2,0.051282052,-0.034282357,-0.037326485,0.108295135,-2.074599,2.6697016
3,0.07692308,-0.05443361,-0.081125915,0.08078053,-2.074599,2.6697016
4,0.102564104,-0.07434515,-0.25925356,0.07915244,-2.074599,2.6697016
5,0.12820514,-0.15422991,-0.33663407,-0.100604884,-2.074599,2.6697016
6,0.15384616,-0.12006174,-0.3410701,-0.17000507,-2.074599,2.6697016
7,0.17948718,-0.046285577,-0.36797792,-0.30537844,-2.074599,2.6697016
8,0.20512821,0.018360399,-0.5778522,-0.14983733,-2.074599,2.6697016
9,0.23076923,0.057437774,-0.73570275,-0.11900866,-2.074599,2.6697016
10,0.25641027,-0.055105615,-0.91346914,0.0990082,-2.074599,2.6697016
11,0.2820513,-0.02299209,-0.89225996,0.14261651,-2.074599,2.6697016
12,0.30769232,0.24701525,-0.7930346,0.33020312,-2.074599,2.6697016
13,0.33333334,0.33101898,-1.0276666,0.502884,-2.074599,2.6697016
14,0.35897437,0.6243844,-0.79221916,0.060023546,-2.074599,2.6697016
15,0.3846154,0.35184073,-0.7843647,-0.031322986,-2.074599,2.6697016
16,0.41025642,0.19191982,-0.7321212,0.19133486,-2.074599,2.6697016
17,0.43589744,-1.4246751,-0.44270012,1.2140201,-2.074599,2.6697016
18,0.46153846,-1.092094,0.027306706,1.2438474,-2.074599,2.6697016
19,0.4871795,-1.4823349,0.1953824,0.7266064,-2.074599,2.6697016
20,0.5128205,-0.33738053,0.03144087,2.5040367,-2.074599,2.6697016
21,0.5384615,-0.90686214,-0.59569347,2.7678893,-2.074599,2.6697016
22,0.56410253,0.43052065,-2.0349555,2.828877,-2.074599,2.6697016
23,0.5897436,0.15937734,-1.9302161,4.572276,-2.074599,2.6697016
24,0.61538464,0.88413334,-3.2417724,8.535286,-2.074599,2.6697016
25,0.64102566,-1.2711852,-4.3460836,5.225543,-2.074599,2.6697016
26,0.6666667,-1.2621741,-5.4785404,5.1254735,-2.074599,2.6697016
27,0.6923077,0.73768175,-3.0618849,8.052569,-2.074599,2.6697016
28,0.71794873,0.6213206,-4.019479,11.246797,-2.074599,2.6697016
29,0.74358976,5.0403624,1.7053576,13.965353,-2.074599,2.6697016
30,0.7692308,4.115191,-1.6742787,21.76593,-2.074599,2.6697016
31,0.7948718,6.525931,-0.7908442,23.351526,-2.074599,2.6697016
32,0.82051283,8.380789,-3.0640504,35.033813,-2.074599,2.6697016
33,0.84615386,7.440396,2.055381,44.017124,-2.074599,2.6697016
34,0.8717949,20.781813,2.4398546,33.90607,-2.074599,2.6697016
35,0.8974359,30.665459,12.111424,38.183384,-2.074599,2.6697016
36,0.9230769,25.989529,6.618347,37.00549,-2.074599,2.6697016
37,0.94871795,27.93189,7.6286316,36.661343,-2.074599,2.6697016
38,0.974359,18.725502,15.90611,48.50006,-2.074599,2.6697016
39,1.0,18.919174,14.730781,62.407757,-2.074599,2.6697016
