index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.061162293,9.255123
1,0.025641026,0.034554716,0.039252385,-0.051270653,-0.061162293,9.255123
2,0.051282052,0.093308985,-0.040583238,0.024090316,-0.061162293,9.255123
3,0.07692308,0.06755806,0.0057215653,0.042482078,-0.061162293,9.255123
4,0.102564104,0.015678126,0.12867863,0.052424487,-0.061162293,9.255123
5,0.12820514,-0.0001307074,0.17540446,0.0388724,-0.061162293,9.255123
6,0.15384616,0.07547563,0.26576096,-0.17481947,-0.061162293,9.255123
7,0.17948718,-0.033519007,0.22449586,-0.0001026988,-0.061162293,9.255123
8,0.20512821,0.08974926,0.20818546,0.050819248,-0.061162293,9.255123
9,0.23076923,0.03488094,0.3943789,-0.32191074,-0.061162293,9.255123
10,0.25641027,0.078524925,0.4038219,-0.25403452,-0.061162293,9.255123
11,0.2820513,0.0932599,0.37947384,-0.49604395,-0.061162293,9.255123
12,0.30769232,0.037510745,0.56223965,-0.058042377,-0.061162293,9.255123
13,0.33333334,-0.44461778,0.25244245,-0.31017938,-0.061162293,9.255123
14,0.35897437,-0.15928617,-0.03712529,-0.6401727,-0.061162293,9.255123
15,0.3846154,0.12413329,-0.47519395,-0.17348659,-0.061162293,9.255123
16,0.41025642,0.25403628,-0.8204074,-0.25543705,-0.061162293,9.255123
17,0.43589744,0.10156405,-2.4558616,-1.1868078,-0.061162293,9.255123
18,0.46153846,-0.15629831,-1.913405,-0.9883468,-0.061162293,9.255123
19,0.4871795,-0.71960473,-2.5168233,-2.7126064,-0.061162293,9.255123
20,0.5128205,-0.6427474,-3.5085592,-2.9942408,-0.061162293,9.255123
21,0.5384615,-1.4656377,-5.0690804,-3.2285955,-0.061162293,9.255123
22,0.56410253,0.78466344,-3.4025755,-3.8218627,-0.061162293,9.255123
23,0.5897436,-0.2681539,-3.8359988,-5.1312184,-0.061162293,9.255123
24,0.61538464,1.40909,-3.7652438,-1.42543,-0.061162293,9.255123
25,0.64102566,3.9980345,-6.3785334,-0.21625185,-0.061162293,9.255123
26,0.6666667,6.7921147,-6.463758,1.3198001,-0.061162293,9.255123
27,0.6923077,7.2453017,-9.548052,1.597088,-0.061162293,9.255123
28,0.71794873,8.81889,-11.268864,4.8519464,-0.061162293,9.255123
29,0.74358976,7.9111834,-9.383367,6.2784595,-0.061162293,9.255123
30,0.7692308,8.927874,-13.463726,9.395912,-0.061162293,9.255123
31,0.7948718,6.136465,-13.298754,11.048412,-0.061162293,9.255123
32,0.82051283,10.041132,-7.052169,7.963074,-0.061162293,9.255123
33,0.84615386,9.591165,-3.1569214,6.0466323,-0.061162293,9.255123
34,0.8717949,0.45821857,13.545898,13.835908,-0.061162293,9.255123
35,0.8974359,-0.23531312,6.08246,10.860846,-0.061162293,9.255123
36,0.9230769,-0.4543125,23.337143,1.2834415,-0.061162293,9.255123
37,0.94871795,-9.946165,19.158428,16.53508,-0.061162293,9.255123
38,0.974359,-28.73195,12.037896,8.02759,-0.061162293,9.255123
39,1.0,7.25799,30.03003,15.70303,-0.061162293,9.255123
