index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,1.7655799,3.2285063
1,0.025641026,0.05374336,0.024355225,-0.07429061,1.7655799,3.2285063
2,0.051282052,0.107639,0.085563704,-0.08971016,1.7655799,3.2285063
3,0.07692308,0.16662635,0.10871093,-0.12118745,1.7655799,3.2285063
4,0.102564104,0.16392453,0.14039735,-0.14232658,1.7655799,3.2285063
5,0.12820514,0.124087125,0.16901365,-0.0025762916,1.7655799,3.2285063
6,0.15384616,0.081157446,0.07435272,0.017910568,1.7655799,3.2285063
7,0.17948718,-0.023142226,-0.09363609,0.050226934,1.7655799,3.2285063
8,0.20512821,-0.039105996,0.118945695,0.34806406,1.7655799,3.2285063
9,0.23076923,0.21643378,0.14005156,0.27575332,1.7655799,3.2285063
10,0.25641027,0.117841534,0.50892484,0.17524098,1.7655799,3.2285063
11,0.2820513,0.14919591,0.45730343,0.008461624,1.7655799,3.2285063
12,0.30769232,0.4570744,0.2706505,0.11398033,1.7655799,3.2285063
13,0.33333334,0.08626628,0.11859293,-0.29398352,1.7655799,3.2285063
14,0.35897437,0.018261224,0.5460655,-0.65763456,1.7655799,3.2285063
15,0.3846154,0.17862615,0.016056895,-1.4764862,1.7655799,3.2285063
16,0.41025642,0.30535904,0.68288845,-1.3835992,1.7655799,3.2285063
17,0.43589744,0.10650276,1.3476144,-1.0538429,1.7655799,3.2285063
18,0.46153846,0.98118275,2.3912058,-1.3101299,1.7655799,3.2285063
19,0.4871795,0.5274583,2.0444531,-2.0888727,1.7655799,3.2285063
20,0.5128205,1.6425308,1.6522889,-3.0350966,1.7655799,3.2285063
21,0.5384615,2.2740033,2.9297771,-2.1164186,1.7655799,3.2285063
22,0.56410253,2.3600607,4.903962,-0.69970393,1.7655799,3.2285063
23,0.5897436,2.8463216,5.5329695,0.268404,1.7655799,3.2285063
24,0.61538464,4.2076073,5.195436,0.7855899,1.7655799,3.2285063
25,0.64102566,5.6958265,8.461283,0.48106575,1.7655799,3.2285063
26,0.6666667,11.084437,10.574978,0.9379574,1.7655799,3.2285063
27,0.6923077,14.742421,8.867807,-1.0975705,1.7655799,3.2285063
28,0.71794873,16.389568,7.8198576,0.937029,1.7655799,3.2285063
29,0.74358976,10.644152,10.797867,-3.2227087,1.7655799,3.2285063
30,0.7692308,9.738322,15.076458,-6.9688525,1.7655799,3.2285063
31,0.7948718,4.237935,21.117039,-9.467569,1.7655799,3.2285063
32,0.82051283,1.9459467,19.711502,-4.2332253,1.7655799,3.2285063
33,0.84615386,8.436803,12.020097,-10.658419,1.7655799,3.2285063
34,0.8717949,6.1158977,29.729485,-3.5631456,1.7655799,3.2285063
35,0.8974359,7.053416,37.59928,-2.035851,1.7655799,3.2285063
36,0.9230769,-11.076138,47.719078,-1.6367639,1.7655799,3.2285063
37,0.94871795,-4.834221,21.278912,-3.9566865,1.7655799,3.2285063
38,0.974359,-11.59732,41.29459,-14.35778,1.7655799,3.2285063
39,1.0,-0.014335632,12.255194,-23.918644,1.7655799,3.2285063
