index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.22709268,5.4213667
1,0.025641026,-0.03977448,0.031304453,0.03333223,-0.22709268,5.4213667
2,0.051282052,-0.04391568,-0.028694782,0.01173012,-0.22709268,5.4213667
3,0.07692308,0.112370156,-0.08556464,0.008896995,-0.22709268,5.4213667
4,0.102564104,0.23521678,-0.004051164,0.06279939,-0.22709268,5.4213667
5,0.12820514,0.38096386,0.03386416,-0.041633606,-0.22709268,5.4213667
6,0.15384616,0.42659158,0.20696357,-0.32504383,-0.22709268,5.4213667
7,0.17948718,0.5605513,0.121041834,-0.3214225,-0.22709268,5.4213667
8,0.20512821,0.48521572,0.10694068,-0.40600672,-0.22709268,5.4213667
9,0.23076923,0.7284121,0.24176678,-0.23294757,-0.22709268,5.4213667
10,0.25641027,0.58866704,0.01768583,-0.41729403,-0.22709268,5.4213667
11,0.2820513,0.9642174,0.21772943,-0.08192071,-0.22709268,5.4213667
12,0.30769232,0.84866786,-0.11410721,-0.12285972,-0.22709268,5.4213667
13,0.33333334,0.8357984,0.22264399,-0.060355403,-0.22709268,5.4213667
14,0.35897437,0.8679655,-0.26072025,-0.599937,-0.22709268,5.4213667
15,0.3846154,0.13105798,-0.5215702,-0.21212426,-0.22709268,5.4213667
16,0.41025642,0.44815117,-0.5551421,-0.004709348,-0.22709268,5.4213667
17,0.43589744,1.5437193,-0.45854294,0.18403876,-0.22709268,5.4213667
18,0.46153846,1.6452276,-0.7524648,0.9559627,-0.22709268,5.4213667
19,0.4871795,2.1387799,-2.075149,0.41114634,-0.22709268,5.4213667
20,0.5128205,2.561072,-0.65354717,1.6019022,-0.22709268,5.4213667
21,0.5384615,4.3528233,-2.510213,1.0656598,-0.22709268,5.4213667
22,0.56410253,4.5162134,-2.9169197,3.4862185,-0.22709268,5.4213667
23,0.5897436,5.4678173,-4.742919,5.6417284,-0.22709268,5.4213667
24,0.61538464,5.6423173,-6.1264777,5.886502,-0.22709268,5.4213667
25,0.64102566,4.3932457,-5.772541,3.9011803,-0.22709268,5.4213667
26,0.6666667,1.4342344,-5.2362056,5.4159837,-0.22709268,5.4213667
27,0.6923077,-0.46940613,-6.6499,5.4174223,-0.22709268,5.4213667
28,0.71794873,4.2187986,-5.8023434,6.157089,-0.22709268,5.4213667
29,0.74358976,1.3495386,-8.391172,3.613682,-0.22709268,5.4213667
30,0.7692308,2.7005398,-10.828032,11.183964,-0.22709268,5.4213667
31,0.7948718,2.4884388,-15.334646,8.002697,-0.22709268,5.4213667
32,0.82051283,7.569231,-14.4675,5.3884277,-0.22709268,5.4213667
33,0.84615386,4.9294944,-15.517357,18.549492,-0.22709268,5.4213667
34,0.8717949,18.970362,-17.310389,15.525682,-0.22709268,5.4213667
35,0.8974359,18.467049,0.5781841,9.095102,-0.22709268,5.4213667
36,0.9230769,29.18631,5.358931,4.0356154,-0.22709268,5.4213667
37,0.94871795,21.81938,19.653198,10.824003,-0.22709268,5.4213667
38,0.974359,23.221653,5.7750635,12.641775,-0.22709268,5.4213667
39,1.0,27.967077,-8.193151,2.5590982,-0.22709268,5.4213667
