index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-2.6500535,3.1774147
1,0.025641026,-0.033309937,0.0021498138,0.058139987,-2.6500535,3.1774147
2,0.051282052,0.04633133,-0.017141331,0.11551069,-2.6500535,3.1774147
3,0.07692308,0.097425595,-0.011045314,0.10786591,-2.6500535,3.1774147
4,0.102564104,0.18823339,0.092026,0.14463373,-2.6500535,3.1774147
5,0.12820514,0.2833233,0.11371876,0.17155607,-2.6500535,3.1774147
6,0.15384616,0.6077367,0.21492335,0.16351636,-2.6500535,3.1774147
7,0.17948718,0.6722988,0.0031820685,0.37315923,-2.6500535,3.1774147
8,0.20512821,0.8084947,0.075331226,0.42842177,-2.6500535,3.1774147
9,0.23076923,0.6997175,0.081583664,0.45629463,-2.6500535,3.1774147
10,0.25641027,0.47891852,0.59500974,0.5159048,-2.6500535,3.1774147
11,0.2820513,0.7298592,0.6425869,0.31868333,-2.6500535,3.1774147
12,0.30769232,0.72251374,0.1546337,0.12665677,-2.6500535,3.1774147
13,0.33333334,0.2929897,0.25079167,-0.25313932,-2.6500535,3.1774147
14,0.35897437,0.19923243,-0.18659729,-0.025887758,-2.6500535,3.1774147
15,0.3846154,-0.694715,-0.5168253,-0.0206022,-2.6500535,3.1774147
16,0.41025642,-0.4235678,0.34966922,-0.29237834,-2.6500535,3.1774147
17,0.43589744,-0.9153799,0.49968317,0.22617427,-2.6500535,3.1774147
18,0.46153846,-1.279146,-0.013240069,0.26748437,-2.6500535,3.1774147
19,0.4871795,-1.5089624,-0.779402,0.92756164,-2.6500535,3.1774147
20,0.5128205,0.34445393,-1.1371571,-0.27862096,-2.6500535,3.1774147
21,0.5384615,-0.25530648,-1.6127644,-1.5289913,-2.6500535,3.1774147
22,0.56410253,0.6968851,-0.9656863,-1.6120981,-2.6500535,3.1774147
23,0.5897436,1.0505706,-2.3810196,-1.6870915,-2.6500535,3.1774147
24,0.61538464,1.1992238,-2.5907826,-4.533956,-2.6500535,3.1774147
25,0.64102566,-1.0232732,-6.151318,-0.616061,-2.6500535,3.1774147
26,0.6666667,-2.1277285,-9.025304,1.2582992,-2.6500535,3.1774147
27,0.6923077,-3.966023,-8.156376,-2.3666406,-2.6500535,3.1774147
28,0.71794873,-4.5054164,-13.028304,-2.8771064,-2.6500535,3.1774147
29,0.74358976,-0.12393236,-15.574698,-2.7504191,-2.6500535,3.1774147
30,0.7692308,-2.1262445,-10.076951,-3.8318422,-2.6500535,3.1774147
31,0.7948718,-9.004225,-10.615069,-10.4841795,-2.6500535,3.1774147
32,0.82051283,-12.8519745,-5.2464733,-15.027848,-2.6500535,3.1774147
33,0.84615386,-13.489801,-1.2632489,-13.382856,-2.6500535,3.1774147
34,0.8717949,-7.277937,2.6664681,-17.971054,-2.6500535,3.1774147
35,0.8974359,-6.05009,-6.2129064,-24.692043,-2.6500535,3.1774147
36,0.9230769,-17.385826,-12.224159,-38.1295,-2.6500535,3.1774147
37,0.94871795,0.95158005,-26.698168,-33.85104,-2.6500535,3.1774147
38,0.974359,-11.97448,-38.68974,-43.332413,-2.6500535,3.1774147
39,1.0,-12.077703,-13.002192,-28.531242,-2.6500535,3.1774147
