index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-0.8626827,5.483323
1,0.025641026,-0.06386502,-0.0155613115,0.056522578,-0.8626827,5.483323
2,0.051282052,-0.061313577,0.07193218,-0.014825575,-0.8626827,5.483323
3,0.07692308,-0.04355035,-0.008422852,-0.055770922,-0.8626827,5.483323
4,0.102564104,0.008683648,-0.020350343,-0.048051752,-0.8626827,5.483323
5,0.12820514,-0.011537941,0.09080843,-0.088712245,-0.8626827,5.483323
6,0.15384616,0.043399625,0.16335298,-0.2023904,-0.8626827,5.483323
7,0.17948718,0.012432011,0.33011454,-0.15442206,-0.8626827,5.483323
8,0.20512821,0.11638885,0.44073892,-0.17288403,-0.8626827,5.483323
9,0.23076923,0.18377426,0.59796643,-0.29121763,-0.8626827,5.483323
10,0.25641027,-0.14863989,0.45141804,-0.34524286,-0.8626827,5.483323
11,0.2820513,-0.5052993,1.0300144,-0.59201574,-0.8626827,5.483323
12,0.30769232,-0.6083938,0.80049205,-0.36542577,-0.8626827,5.483323
13,0.33333334,-0.40639782,0.7734188,-0.5349544,-0.8626827,5.483323
14,0.35897437,-0.76061463,0.9959749,-0.41901863,-0.8626827,5.483323
15,0.3846154,0.5208491,1.5560396,0.19500947,-0.8626827,5.483323
16,0.41025642,-0.31737643,1.307909,0.68181175,-0.8626827,5.483323
17,0.43589744,-0.60681725,2.443214,0.5792336,-0.8626827,5.483323
18,0.46153846,0.3593741,2.231735,-1.1530044,-0.8626827,5.483323
19,0.4871795,0.7309184,1.7530327,-1.4524801,-0.8626827,5.483323
20,0.5128205,0.03011924,1.1254575,-0.44933546,-0.8626827,5.483323
21,0.5384615,0.09715506,0.56130546,-0.39181885,-0.8626827,5.483323
22,0.56410253,0.110209316,-0.490987,0.17974535,-0.8626827,5.483323
23,0.5897436,-1.7273347,0.08187568,1.1131188,-0.8626827,5.483323
24,0.61538464,-0.92424464,2.477274,-0.31993032,-0.8626827,5.483323
25,0.64102566,1.058645,4.130352,-0.41152278,-0.8626827,5.483323
26,0.6666667,-0.16090822,2.77458,3.0265095,-0.8626827,5.483323
27,0.6923077,-0.36258876,0.5815742,-3.5688608,-0.8626827,5.483323
28,0.71794873,-1.8849151,-1.0559087,0.72000957,-0.8626827,5.483323
29,0.74358976,-6.186222,2.9277244,-3.7826512,-0.8626827,5.483323
30,0.7692308,-0.58466053,-2.0500002,-7.303829,-0.8626827,5.483323
31,0.7948718,6.949089,-2.5455036,-5.990747,-0.8626827,5.483323
32,0.82051283,11.842541,-1.3585293,-6.1805797,-0.8626827,5.483323
33,0.84615386,5.336553,3.0749042,-9.67984,-0.8626827,5.483323
34,0.8717949,6.3544054,18.410666,-11.453408,-0.8626827,5.483323
35,0.8974359,5.7272773,21.342726,-18.238832,-0.8626827,5.483323
36,0.9230769,8.142123,28.967537,-13.567633,-0.8626827,5.483323
37,0.94871795,-7.586725,30.973757,-16.811058,-0.8626827,5.483323
38,0.974359,-5.631036,26.602161,-13.268426,-0.8626827,5.483323
39,1.0,0.7183199,45.64894,-19.439453,-0.8626827,5.483323
