index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-1.0080552,9.707351
1,0.025641026,-0.031485513,-0.07154929,0.04069228,-1.0080552,9.707351
2,0.051282052,-0.12400274,-0.027790371,0.011976043,-1.0080552,9.707351
3,0.07692308,-0.26755363,0.037871134,-0.119860806,-1.0080552,9.707351
4,0.102564104,-0.15252991,0.11217183,-0.03680843,-1.0080552,9.707351
5,0.12820514,-0.06485664,0.13219209,0.12270917,-1.0080552,9.707351
6,0.15384616,-0.2883865,0.18050581,-0.034651637,-1.0080552,9.707351
7,0.17948718,-0.43982127,0.29146397,-0.010714894,-1.0080552,9.707351
8,0.20512821,-0.40450403,0.38251606,0.16761233,-1.0080552,9.707351
9,0.23076923,-0.24826157,0.20515187,0.28428242,-1.0080552,9.707351
10,0.25641027,-0.42384273,0.41301614,0.034984037,-1.0080552,9.707351
11,0.2820513,-0.54271364,0.3368623,-0.010150392,-1.0080552,9.707351
12,0.30769232,-0.2719816,0.5943478,-0.2816145,-1.0080552,9.707351
13,0.33333334,-0.23139672,0.48511046,-0.69328904,-1.0080552,9.707351
14,0.35897437,-0.09661344,0.3331104,-0.30322716,-1.0080552,9.707351
15,0.3846154,0.7790284,0.3192289,-0.35035992,-1.0080552,9.707351
16,0.41025642,1.2830942,-0.7349194,-0.57224923,-1.0080552,9.707351
17,0.43589744,1.9761077,-0.87572914,-0.7411083,-1.0080552,9.707351
18,0.46153846,2.152229,-1.1480227,-1.0376091,-1.0080552,9.707351
19,0.4871795,1.5643492,-0.48865747,-0.4803012,-1.0080552,9.707351
20,0.5128205,0.73337084,-1.5738853,-1.468072,-1.0080552,9.707351
21,0.5384615,0.00072461367,-2.1645195,-1.8861338,-1.0080552,9.707351
22,0.56410253,1.8397961,-3.63907,-0.7129859,-1.0080552,9.707351
23,0.5897436,2.6053038,-1.8484461,-1.1899164,-1.0080552,9.707351
24,0.61538464,1.2353593,0.22139096,-2.0596695,-1.0080552,9.707351
25,0.64102566,4.1086574,-0.8846042,-1.6892587,-1.0080552,9.707351
26,0.6666667,3.1638236,-1.863487,1.7740179,-1.0080552,9.707351
27,0.6923077,5.2347617,-1.7575628,0.47493005,-1.0080552,9.707351
28,0.71794873,6.806341,-4.2063046,-1.9363956,-1.0080552,9.707351
29,0.74358976,3.1826134,-3.3031015,-3.646699,-1.0080552,9.707351
30,0.7692308,-0.19646406,-2.1150913,-7.09081,-1.0080552,9.707351
31,0.7948718,-0.97163635,1.0464523,-7.395259,-1.0080552,9.707351
32,0.82051283,-2.7109041,-2.077542,-3.7335203,-1.0080552,9.707351
33,0.84615386,-3.003288,-3.843016,1.5407283,-1.0080552,9.707351
34,0.8717949,1.3622849,-4.192495,-1.2799566,-1.0080552,9.707351
35,0.8974359,-6.3479357,-2.963997,-3.7609105,-1.0080552,9.707351
36,0.9230769,0.9052439,-4.218185,-0.6900928,-1.0080552,9.707351
37,0.94871795,-20.986294,-6.6221337,-32.424248,-1.0080552,9.707351
38,0.974359,-33.42251,-21.218222,-44.875053,-1.0080552,9.707351
39,1.0,-33.095417,-12.9549055,-41.927956,-1.0080552,9.707351
