index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-3.3043435,2.9274588
1,0.025641026,0.044249225,-0.011109398,-0.12329258,-3.3043435,2.9274588
2,0.051282052,0.078664504,0.06871555,-0.08884102,-3.3043435,2.9274588
3,0.07692308,-0.031462207,0.046548348,-0.19383672,-3.3043435,2.9274588
4,0.102564104,-0.007992599,-0.009617567,-0.17302284,-3.3043435,2.9274588
5,0.12820514,-0.11875132,-0.21626188,-0.28686377,-3.3043435,2.9274588
6,0.15384616,-0.21690416,-0.34368557,-0.38095695,-3.3043435,2.9274588
7,0.17948718,-0.270948,-0.22627303,-0.29818192,-3.3043435,2.9274588
8,0.20512821,-0.40397096,-0.10887101,-0.083110124,-3.3043435,2.9274588
9,0.23076923,-0.52503157,-0.011041187,-0.32077533,-3.3043435,2.9274588
10,0.25641027,-0.6485928,0.15573066,-0.5936465,-3.3043435,2.9274588
11,0.2820513,-0.7341805,0.36993116,-0.5845692,-3.3043435,2.9274588
12,0.30769232,-0.756646,0.07735756,-0.33974022,-3.3043435,2.9274588
13,0.33333334,0.061529875,0.5554667,-0.5137703,-3.3043435,2.9274588
14,0.35897437,-0.12570845,0.6359973,-0.18225431,-3.3043435,2.9274588
15,0.3846154,0.6193244,0.7499215,-0.07702866,-3.3043435,2.9274588
16,0.41025642,-0.11610085,0.3404657,-0.35521066,-3.3043435,2.9274588
17,0.43589744,0.27580035,0.2145576,-0.53624535,-3.3043435,2.9274588
18,0.46153846,0.3746657,0.16283397,0.39281774,-3.3043435,2.9274588
19,0.4871795,0.2121236,-0.22105308,0.5999824,-3.3043435,2.9274588
20,0.5128205,-0.08203146,-1.1143761,0.9704894,-3.3043435,2.9274588
21,0.5384615,0.49768558,-2.2403708,0.6819307,-3.3043435,2.9274588
22,0.56410253,-0.82199085,-1.8401698,-0.15162396,-3.3043435,2.9274588
23,0.5897436,-1.4974947,-2.0142365,-1.8568083,-3.3043435,2.9274588
24,0.61538464,-2.9219766,-2.5691185,0.35569608,-3.3043435,2.9274588
25,0.64102566,-0.97322,-0.60347795,0.5912083,-3.3043435,2.9274588
26,0.6666667,-1.100126,-3.4925888,4.012147,-3.3043435,2.9274588
27,0.6923077,-2.4427588,-4.53173,5.3411813,-3.3043435,2.9274588
28,0.71794873,0.59179115,-10.280382,5.067016,-3.3043435,2.9274588
29,0.74358976,4.3272953,-9.941771,10.36274,-3.3043435,2.9274588
30,0.7692308,4.654007,-12.293635,9.936644,-3.3043435,2.9274588
31,0.7948718,3.681142,-13.419949,13.496423,-3.3043435,2.9274588
32,0.82051283,8.220964,-10.75114,9.663717,-3.3043435,2.9274588
33,0.84615386,3.793099,-15.232931,8.609387,-3.3043435,2.9274588
34,0.8717949,5.409213,-3.1613483,12.097558,-3.3043435,2.9274588
35,0.8974359,13.205799,-14.265813,25.139767,-3.3043435,2.9274588
36,0.9230769,8.475332,-4.1922235,20.50212,-3.3043435,2.9274588
37,0.94871795,20.222107,-16.368578,16.97679,-3.3043435,2.9274588
38,0.974359,33.09449,-17.80115,15.240023,-3.3043435,2.9274588
39,1.0,7.5934467,-3.6843405,15.791816,-3.3043435,2.9274588
