index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-8.422978,3.2758486
1,0.025641026,0.031814672,0.009216633,-0.10050953,-8.422978,3.2758486
2,0.051282052,0.06878709,0.09081583,-0.062363714,-8.422978,3.2758486
3,0.07692308,0.1064495,0.06449343,0.025508195,-8.422978,3.2758486
4,0.102564104,0.16630608,0.0405972,0.049912944,-8.422978,3.2758486
5,0.12820514,0.16413966,0.08651445,-0.021532029,-8.422978,3.2758486
6,0.15384616,0.13866012,-0.03023237,-0.074630946,-8.422978,3.2758486
7,0.17948718,0.22083649,0.14775987,-0.25071734,-8.422978,3.2758486
8,0.20512821,0.27633488,0.09773936,-0.43015835,-8.422978,3.2758486
9,0.23076923,0.37766957,0.3487313,-0.36901346,-8.422978,3.2758486
10,0.25641027,0.29873133,0.05928266,-0.65696156,-8.422978,3.2758486
11,0.2820513,0.35366794,0.06391779,-0.3126579,-8.422978,3.2758486
12,0.30769232,0.082703084,0.1918303,-0.30139783,-8.422978,3.2758486
13,0.33333334,0.46124154,0.0868718,-0.4899461,-8.422978,3.2758486
14,0.35897437,0.24202614,0.35574323,-0.20168427,-8.422978,3.2758486
15,0.3846154,-0.041589424,0.7418252,-0.12705204,-8.422978,3.2758486
16,0.41025642,0.17133541,0.6955942,-0.05935473,-8.422978,3.2758486
17,0.43589744,0.38920546,1.1656421,0.37617284,-8.422978,3.2758486
18,0.46153846,-0.19900912,0.68982434,0.36108124,-8.422978,3.2758486
19,0.4871795,-0.8517914,1.3007483,-0.7235813,-8.422978,3.2758486
20,0.5128205,-0.5780326,2.0167859,-0.87961245,-8.422978,3.2758486
21,0.5384615,-1.0473557,2.4179258,-0.5758265,-8.422978,3.2758486
22,0.56410253,0.7646655,5.0317793,-1.49934,-8.422978,3.2758486
23,0.5897436,0.2577148,3.1637516,1.0280623,-8.422978,3.2758486
24,0.61538464,0.9109043,3.2175798,2.5660837,-8.422978,3.2758486
25,0.64102566,1.6896904,1.0757465,3.1403406,-8.422978,3.2758486
26,0.6666667,2.733623,-1.4889922,1.8134009,-8.422978,3.2758486
27,0.6923077,4.6730514,0.36911058,4.600057,-8.422978,3.2758486
28,0.71794873,5.814789,1.9350758,3.2252707,-8.422978,3.2758486
29,0.74358976,6.472695,0.78349817,-5.54017,-8.422978,3.2758486
30,0.7692308,10.320005,4.0500617,-5.208211,-8.422978,3.2758486
31,0.7948718,7.6244745,7.4298086,-8.100157,-8.422978,3.2758486
32,0.82051283,1.9515858,11.595176,-14.72987,-8.422978,3.2758486
33,0.84615386,-2.251935,21.04615,-8.760123,-8.422978,3.2758486
34,0.8717949,6.7073784,28.750708,-6.8846235,-8.422978,3.2758486
35,0.8974359,12.126493,26.559246,-9.871879,-8.422978,3.2758486
36,0.9230769,6.000454,43.04598,-0.83763504,-8.422978,3.2758486
37,0.94871795,10.175154,53.50125,-1.1351506,-8.422978,3.2758486
38,0.974359,15.414328,40.30636,16.002876,-8.422978,3.2758486
39,1.0,33.579033,45.435547,17.100357,-8.422978,3.2758486
