index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,0.21197176,8.567083
1,0.025641026,-0.021322306,0.024816731,-0.02616652,0.21197176,8.567083
2,0.051282052,-0.037233062,0.1089473,-0.02724409,0.21197176,8.567083
3,0.07692308,-0.08576988,0.19227788,-0.10096886,0.21197176,8.567083
4,0.102564104,-0.033694476,0.29837114,-0.121149994,0.21197176,8.567083
5,0.12820514,-0.05298703,0.21553868,-0.002297096,0.21197176,8.567083
6,0.15384616,-0.06712683,0.3148872,0.034345094,0.21197176,8.567083
7,0.17948718,-0.09017171,0.2788597,0.34108487,0.21197176,8.567083
8,0.20512821,-0.12571988,0.25961888,0.33846146,0.21197176,8.567083
9,0.23076923,-0.20133081,-0.019123226,0.33098048,0.21197176,8.567083
10,0.25641027,-0.33501968,-0.37538886,0.3913344,0.21197176,8.567083
11,0.2820513,-0.37044415,-0.4884319,0.50185454,0.21197176,8.567083
12,0.30769232,-0.36682406,-0.8280325,0.42858455,0.21197176,8.567083
13,0.33333334,-0.2316169,-0.377674,-0.13300505,0.21197176,8.567083
14,0.35897437,-0.34371877,0.276593,0.4306765,0.21197176,8.567083
15,0.3846154,-0.23275858,-0.41979423,0.098686635,0.21197176,8.567083
16,0.41025642,-0.48789954,-0.9223801,0.27999,0.21197176,8.567083
17,0.43589744,0.46495992,-0.7338986,0.66263235,0.21197176,8.567083
18,0.46153846,1.080761,0.25834745,0.95555377,0.21197176,8.567083
19,0.4871795,0.9346234,-0.5009948,1.5914495,0.21197176,8.567083
20,0.5128205,1.1340933,-0.00966987,2.5503404,0.21197176,8.567083
21,0.5384615,1.7822652,0.99545836,3.5112114,0.21197176,8.567083
22,0.56410253,2.7472658,1.6762512,2.6645722,0.21197176,8.567083
23,0.5897436,3.7385352,4.1475506,2.496013,0.21197176,8.567083
24,0.61538464,6.6159544,3.3354473,0.7340292,0.21197176,8.567083
25,0.64102566,10.618763,3.000465,0.5116776,0.21197176,8.567083
26,0.6666667,10.540198,-0.8237865,3.4948206,0.21197176,8.567083
27,0.6923077,5.962379,-1.244382,4.9931197,0.21197176,8.567083
28,0.71794873,4.513632,-8.770794,7.8867025,0.21197176,8.567083
29,0.74358976,3.9380507,-5.539451,5.485694,0.21197176,8.567083
30,0.7692308,1.292495,-2.7428875,12.803204,0.21197176,8.567083
31,0.7948718,11.938486,-2.7725375,14.431474,0.21197176,8.567083
32,0.82051283,7.749583,-6.7206397,24.01613,0.21197176,8.567083
33,0.84615386,-5.042464,-4.264522,36.17529,0.21197176,8.567083
34,0.8717949,-8.080534,-7.230778,35.360485,0.21197176,8.567083
35,0.8974359,-17.868717,4.1261525,25.688606,0.21197176,8.567083
36,0.9230769,-27.853945,-2.5437818,26.476423,0.21197176,8.567083
37,0.94871795,-27.302374,0.16479564,22.077072,0.21197176,8.567083
38,0.974359,-22.168243,-5.140356,17.023043,0.21197176,8.567083
39,1.0,-11.132377,-22.204649,20.96526,0.21197176,8.567083
