index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-8.797733,2.1318705
1,0.025641026,0.043266065,0.07550149,0.0063579725,-8.797733,2.1318705
2,0.051282052,0.034936335,0.19898757,0.03753835,-8.797733,2.1318705
3,0.07692308,-0.02271583,0.24200313,0.10873494,-8.797733,2.1318705
4,0.102564104,0.14089116,0.29374844,0.17023961,-8.797733,2.1318705
5,0.12820514,0.33831516,0.23947905,0.1890708,-8.797733,2.1318705
6,0.15384616,0.40611866,0.15024689,-0.1436751,-8.797733,2.1318705
7,0.17948718,0.26239938,0.2574666,-0.19509625,-8.797733,2.1318705
8,0.20512821,0.28463528,0.31542206,-0.16517998,-8.797733,2.1318705
9,0.23076923,0.3799648,-0.0040394664,0.0996957,-8.797733,2.1318705
10,0.25641027,0.48178434,0.038627665,0.107614286,-8.797733,2.1318705
11,0.2820513,0.39939922,-0.24754025,0.15274581,-8.797733,2.1318705
12,0.30769232,0.60086316,-0.54299146,0.47765723,-8.797733,2.1318705
13,0.33333334,0.7366363,-0.8368305,0.44829798,-8.797733,2.1318705
14,0.35897437,1.5720234,-0.69253623,0.6621284,-8.797733,2.1318705
15,0.3846154,1.6652988,-0.7725904,0.5194663,-8.797733,2.1318705
16,0.41025642,1.880023,-0.24700612,0.25209084,-8.797733,2.1318705
17,0.43589744,2.3719425,-0.43831325,0.04509622,-8.797733,2.1318705
18,0.46153846,0.8067483,-0.6729824,0.6541517,-8.797733,2.1318705
19,0.4871795,0.12425619,-1.7537477,-0.13514268,-8.797733,2.1318705
20,0.5128205,1.6125095,-1.2566612,-0.035643205,-8.797733,2.1318705
21,0.5384615,1.4176877,-0.042585254,-1.0647911,-8.797733,2.1318705
22,0.56410253,0.8153793,1.2347591,-0.5595289,-8.797733,2.1318705
23,0.5897436,2.0663657,1.6497154,-1.3656356,-8.797733,2.1318705
24,0.61538464,2.4078314,1.0518229,-1.9837439,-8.797733,2.1318705
25,0.64102566,2.885102,-0.121592045,-2.4395118,-8.797733,2.1318705
26,0.6666667,4.8587227,-2.5798848,-1.2770975,-8.797733,2.1318705
27,0.6923077,2.0655682,0.694746,-0.9661863,-8.797733,2.1318705
28,0.71794873,6.704109,2.8975313,-1.3626459,-8.797733,2.1318705
29,0.74358976,4.912054,3.8849611,-4.213995,-8.797733,2.1318705
30,0.7692308,6.6991,5.2647324,-4.23071,-8.797733,2.1318705
31,0.7948718,13.748554,0.8192234,-4.3003573,-8.797733,2.1318705
32,0.82051283,18.529284,8.80267,-2.2673628,-8.797733,2.1318705
33,0.84615386,26.178108,8.637837,4.596553,-8.797733,2.1318705
34,0.8717949,31.49275,3.2061744,13.424467,-8.797733,2.1318705
35,0.8974359,36.828568,-10.044369,24.84802,-8.797733,2.1318705
36,0.9230769,23.708202,-13.632165,5.6891994,-8.797733,2.1318705
37,0.94871795,17.354696,-9.840724,1.8539934,-8.797733,2.1318705
38,0.974359,25.649393,-9.098721,3.0406432,-8.797733,2.1318705
39,1.0,32.175232,-17.147242,-12.492483,-8.797733,2.1318705
