index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-1.6839485,8.083168
1,0.025641026,0.053379346,-0.12531869,0.070336685,-1.6839485,8.083168
2,0.051282052,0.08414183,-0.26836058,0.10184237,-1.6839485,8.083168
3,0.07692308,0.09306356,-0.2682249,0.081347436,-1.6839485,8.083168
4,0.102564104,0.08427694,-0.250776,-0.012684181,-1.6839485,8.083168
5,0.12820514,0.18915942,-0.19080487,-0.12671766,-1.6839485,8.083168
6,0.15384616,0.09967311,-0.17642057,-0.19132853,-1.6839485,8.083168
7,0.17948718,0.09806547,-0.30251437,-0.24409768,-1.6839485,8.083168
8,0.20512821,-0.092960425,-0.21334091,-0.45762086,-1.6839485,8.083168
9,0.23076923,-0.20375617,0.081042975,-0.56298184,-1.6839485,8.083168
10,0.25641027,-0.18856768,0.29835737,-0.43615448,-1.6839485,8.083168
11,0.2820513,0.2888155,0.2972151,-0.4845907,-1.6839485,8.083168
12,0.30769232,0.41692474,0.062297106,-0.0940927,-1.6839485,8.083168
13,0.33333334,1.2962004,-0.038418792,-0.7505257,-1.6839485,8.083168
14,0.35897437,0.6186492,-0.18587586,-0.4981557,-1.6839485,8.083168
15,0.3846154,0.34063292,0.061145008,-1.1759908,-1.6839485,8.083168
16,0.41025642,0.50056684,0.71058106,-0.47964638,-1.6839485,8.083168
17,0.43589744,0.736859,0.49018675,0.23925024,-1.6839485,8.083168
18,0.46153846,0.06374669,-0.09830177,0.13139403,-1.6839485,8.083168
19,0.4871795,1.0552307,0.6530408,0.44966125,-1.6839485,8.083168
20,0.5128205,1.1972051,0.9765086,-0.12561876,-1.6839485,8.083168
21,0.5384615,1.3795767,0.3534571,-0.39874694,-1.6839485,8.083168
22,0.56410253,2.9315925,0.32290983,1.228686,-1.6839485,8.083168
23,0.5897436,2.94742,0.6314583,0.6708939,-1.6839485,8.083168
24,0.61538464,2.426432,-1.1020049,-0.09454924,-1.6839485,8.083168
25,0.64102566,2.708232,-2.1099606,2.525959,-1.6839485,8.083168
26,0.6666667,7.332445,-2.8323646,6.8045087,-1.6839485,8.083168
27,0.6923077,2.4669123,-0.5373137,2.8712242,-1.6839485,8.083168
28,0.71794873,4.2392206,2.1790948,1.7193478,-1.6839485,8.083168
29,0.74358976,0.6717088,-0.3304112,3.0040112,-1.6839485,8.083168
30,0.7692308,4.9744453,2.9673343,-5.352371,-1.6839485,8.083168
31,0.7948718,-4.992854,-0.50303936,-10.809982,-1.6839485,8.083168
32,0.82051283,-2.2610912,1.4511496,-15.684143,-1.6839485,8.083168
33,0.84615386,1.71404,-2.3717413,-9.934578,-1.6839485,8.083168
34,0.8717949,5.5231514,-1.1992825,-9.703064,-1.6839485,8.083168
35,0.8974359,-1.1506166,5.205838,-2.4500222,-1.6839485,8.083168
36,0.9230769,2.6179974,-1.9613633,8.733559,-1.6839485,8.083168
37,0.94871795,-17.432837,24.62173,8.222239,-1.6839485,8.083168
38,0.974359,-35.466362,19.760971,8.286101,-1.6839485,8.083168
39,1.0,-50.769253,16.313034,17.454132,-1.6839485,8.083168
