index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-1.3863705,3.451829
1,0.025641026,-0.0039249724,-0.10613627,-0.04924462,-1.3863705,3.451829
2,0.051282052,-0.009762235,-0.2176253,-0.0045636483,-1.3863705,3.451829
3,0.07692308,-0.042739574,-0.30875525,0.040534876,-1.3863705,3.451829
4,0.102564104,-0.13181776,-0.4682639,0.10506962,-1.3863705,3.451829
5,0.12820514,-0.16225734,-0.4016745,0.06747925,-1.3863705,3.451829
6,0.15384616,-0.27193016,-0.33264774,0.15824956,-1.3863705,3.451829
7,0.17948718,-0.19606265,-0.19454667,0.08641423,-1.3863705,3.451829
8,0.20512821,-0.20733012,-0.19032007,0.009853825,-1.3863705,3.451829
9,0.23076923,-0.13164333,-0.4167847,-0.11345555,-1.3863705,3.451829
10,0.25641027,-0.3073159,-0.3731282,0.1126281,-1.3863705,3.451829
11,0.2820513,-0.75537896,-0.42747742,-0.17923114,-1.3863705,3.451829
12,0.30769232,-0.6980767,-0.113288045,-0.06408051,-1.3863705,3.451829
13,0.33333334,-0.69618046,-0.0481281,0.20862904,-1.3863705,3.451829
14,0.35897437,0.09929681,-0.069788225,0.44058287,-1.3863705,3.451829
15,0.3846154,-0.13082744,0.4889511,1.4879261,-1.3863705,3.451829
16,0.41025642,-0.22176608,0.8635556,1.7737615,-1.3863705,3.451829
17,0.43589744,-0.76530564,1.4927309,2.6359396,-1.3863705,3.451829
18,0.46153846,-1.012358,0.8758391,3.4133925,-1.3863705,3.451829
19,0.4871795,-0.17417264,-0.26092327,2.5397766,-1.3863705,3.451829
20,0.5128205,1.0533105,0.121760935,2.8330235,-1.3863705,3.451829
21,0.5384615,3.3075066,-0.31288025,3.0868437,-1.3863705,3.451829
22,0.56410253,2.7953067,-1.8805913,1.2704482,-1.3863705,3.451829
23,0.5897436,4.061369,-6.3228126,1.3040683,-1.3863705,3.451829
24,0.61538464,-0.353837,-5.861994,1.1403906,-1.3863705,3.451829
25,0.64102566,-2.00884,-2.4212863,2.2551475,-1.3863705,3.451829
26,0.6666667,-5.6045103,-1.2856811,3.185677,-1.3863705,3.451829
27,0.6923077,-4.3017,-0.9735198,-1.1941166,-1.3863705,3.451829
28,0.71794873,-3.9156895,-0.39471453,-2.5640404,-1.3863705,3.451829
29,0.74358976,-4.9509177,-1.5677927,-9.085607,-1.3863705,3.451829
30,0.7692308,-6.8358355,-3.4688294,-7.822118,-1.3863705,3.451829
31,0.7948718,-0.25742006,-0.29953957,-10.012723,-1.3863705,3.451829
32,0.82051283,0.43328577,-2.88526,-10.066421,-1.3863705,3.451829
33,0.84615386,1.2412834,-2.8391855,8.037236,-1.3863705,3.451829
34,0.8717949,5.3428807,-1.6496521,13.194929,-1.3863705,3.451829
35,0.8974359,7.0175123,-6.211313,10.098505,-1.3863705,3.451829
36,0.9230769,15.064292,-22.98466,17.23074,-1.3863705,3.451829
37,0.94871795,27.814724,-25.21477,16.993359,-1.3863705,3.451829
38,0.974359,3.569437,-6.1205997,12.293247,-1.3863705,3.451829
39,1.0,18.217896,-16.633457,16.800117,-1.3863705,3.451829
