index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-1.3499327,2.0368166
1,0.025641026,0.00024940222,0.051671524,0.012196216,-1.3499327,2.0368166
2,0.051282052,0.010250532,0.09528358,-0.117487326,-1.3499327,2.0368166
3,0.07692308,0.010152441,0.14526083,-0.1072806,-1.3499327,2.0368166
4,0.102564104,0.0821808,0.14333263,-0.057730302,-1.3499327,2.0368166
5,0.12820514,0.13958962,0.025061458,-0.031518515,-1.3499327,2.0368166
6,0.15384616,0.10860634,0.07772195,-0.09612708,-1.3499327,2.0368166
7,0.17948718,0.025701046,-0.11618981,-0.06965149,-1.3499327,2.0368166
8,0.20512821,0.21953335,-0.148932,-0.015079599,-1.3499327,2.0368166
9,0.23076923,0.24896675,-0.33476618,0.0677861,-1.3499327,2.0368166
10,0.25641027,0.117386445,-0.36195618,0.22420108,-1.3499327,2.0368166
11,0.2820513,0.14066383,-0.6097058,0.055091873,-1.3499327,2.0368166
12,0.30769232,0.41572148,-0.78957784,-0.27724743,-1.3499327,2.0368166
13,0.33333334,-0.34511602,-0.7442806,-0.1721657,-1.3499327,2.0368166
14,0.35897437,-0.50886905,-0.84208286,0.31859982,-1.3499327,2.0368166
15,0.3846154,-0.92474645,-0.3787201,0.56208855,-1.3499327,2.0368166
16,0.41025642,-0.9441054,0.3584866,1.3272202,-1.3499327,2.0368166
17,0.43589744,-1.5187589,0.8592001,1.3525994,-1.3499327,2.0368166
18,0.46153846,-1.889947,1.1006457,1.9604285,-1.3499327,2.0368166
19,0.4871795,-2.7445686,1.2157196,2.063333,-1.3499327,2.0368166
20,0.5128205,-2.9472535,1.1904315,1.3296304,-1.3499327,2.0368166
21,0.5384615,-1.8905898,-0.77989244,3.4462917,-1.3499327,2.0368166
22,0.56410253,-2.6098735,-0.798948,4.7400274,-1.3499327,2.0368166
23,0.5897436,-3.113873,-0.08994931,7.0422144,-1.3499327,2.0368166
24,0.61538464,-1.6892833,-0.1471965,5.766628,-1.3499327,2.0368166
25,0.64102566,-1.507179,-1.6228229,5.7523756,-1.3499327,2.0368166
26,0.6666667,-0.5710625,1.0138355,5.898964,-1.3499327,2.0368166
27,0.6923077,-3.6437774,4.0277367,3.987497,-1.3499327,2.0368166
28,0.71794873,-7.374854,8.087242,3.8077786,-1.3499327,2.0368166
29,0.74358976,-7.0544806,6.2230744,6.4293146,-1.3499327,2.0368166
30,0.7692308,-13.667676,12.972917,12.804197,-1.3499327,2.0368166
31,0.7948718,-17.584055,3.6458082,10.288549,-1.3499327,2.0368166
32,0.82051283,-16.610752,9.469387,7.2977047,-1.3499327,2.0368166
33,0.84615386,-14.335112,2.2922792,2.9283032,-1.3499327,2.0368166
34,0.8717949,-27.112976,3.3493652,3.207153,-1.3499327,2.0368166
35,0.8974359,-37.83723,0.04769826,11.95191,-1.3499327,2.0368166
36,0.9230769,-43.400257,3.927552,14.804076,-1.3499327,2.0368166
37,0.94871795,-40.14775,14.172198,18.57959,-1.3499327,2.0368166
38,0.974359,-31.275045,-1.5292177,3.7832708,-1.3499327,2.0368166
39,1.0,-32.860928,2.1343062,21.38924,-1.3499327,2.0368166
