index,timestep,Offset_Tr_X,Offset_Tr_Y,Offset_Tr_Z,accumulated_integrand:TotalIntegrand,accumulated_integrand:FlowIntegrand
0,0.0,0.0,0.0,0.0,-2.0093098,6.0104446
1,0.025641026,-0.13339563,-0.017551549,-0.03975609,-2.0093098,6.0104446
2,0.051282052,-0.07558373,-0.07075291,-0.115387656,-2.0093098,6.0104446
3,0.07692308,0.008474976,-0.0780541,-0.0635549,-2.0093098,6.0104446
4,0.102564104,-0.027194794,-0.1472846,0.029740602,-2.0093098,6.0104446
5,0.12820514,-0.08744368,-0.03695582,0.05717325,-2.0093098,6.0104446
6,0.15384616,0.02575773,0.043622084,-0.07313508,-2.0093098,6.0104446
7,0.17948718,-0.15435222,-0.13186783,-0.22776397,-2.0093098,6.0104446
8,0.20512821,-0.03930144,-0.29751164,-0.2030358,-2.0093098,6.0104446
9,0.23076923,-0.1022773,-0.25423682,-0.28697678,-2.0093098,6.0104446
10,0.25641027,-0.15525183,-0.10955745,0.044858813,-2.0093098,6.0104446
11,0.2820513,-0.39713243,-0.21804973,0.08728213,-2.0093098,6.0104446
12,0.30769232,-0.9637914,0.32196215,0.31663874,-2.0093098,6.0104446
13,0.33333334,-1.3611228,0.025160372,0.39314163,-2.0093098,6.0104446
14,0.35897437,-0.9806123,-0.6762865,1.1336898,-2.0093098,6.0104446
15,0.3846154,-1.8176107,-0.3877063,1.7722063,-2.0093098,6.0104446
16,0.41025642,-1.2228875,-0.51506686,1.7801466,-2.0093098,6.0104446
17,0.43589744,-1.119402,0.18286932,1.4699264,-2.0093098,6.0104446
18,0.46153846,-0.30547488,-0.39387244,1.8356131,-2.0093098,6.0104446
19,0.4871795,-0.91044253,-0.053260326,1.1252751,-2.0093098,6.0104446
20,0.5128205,-0.3834846,0.48050207,2.2510676,-2.0093098,6.0104446
21,0.5384615,-0.9105816,0.4388434,1.6931986,-2.0093098,6.0104446
22,0.56410253,-2.4859107,1.4337231,1.9631516,-2.0093098,6.0104446
23,0.5897436,-2.3228645,0.54456705,1.9443085,-2.0093098,6.0104446
24,0.61538464,-3.7484512,2.8243704,2.7177567,-2.0093098,6.0104446
25,0.64102566,-4.2420225,2.1674376,4.141881,-2.0093098,6.0104446
26,0.6666667,-5.109874,2.5892968,2.854423,-2.0093098,6.0104446
27,0.6923077,-2.506673,2.6324503,8.006138,-2.0093098,6.0104446
28,0.71794873,-1.4657619,4.626728,7.768197,-2.0093098,6.0104446
29,0.74358976,-2.0851653,2.6717203,7.5677776,-2.0093098,6.0104446
30,0.7692308,-7.5677433,3.2015505,11.10558,-2.0093098,6.0104446
31,0.7948718,-15.723628,2.1840682,15.384341,-2.0093098,6.0104446
32,0.82051283,-21.130476,7.009955,14.718392,-2.0093098,6.0104446
33,0.84615386,-20.777777,9.6811075,19.002247,-2.0093098,6.0104446
34,0.8717949,-23.830925,7.213887,8.404283,-2.0093098,6.0104446
35,0.8974359,-19.628613,25.082851,15.500958,-2.0093098,6.0104446
36,0.9230769,-19.733833,22.076134,-3.0978441,-2.0093098,6.0104446
37,0.94871795,-18.256742,33.367516,-22.183361,-2.0093098,6.0104446
38,0.974359,-25.431822,38.09205,-34.30205,-2.0093098,6.0104446
39,1.0,-25.730324,23.98299,-41.647877,-2.0093098,6.0104446
